Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"1,031,630","1,325,800","1,382,570","1,361,742","1,298,322","1,128,126","1,133,341","1,079,637","1,047,030","1,276,424","1,156,308","1,312,518","907,854","1,025,112","1,075,761","1,173,769","1,059,453","1,462,434","1,462,435",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-20.541%,17.522%,21.991%,26.130%,24.000%,-11.618%,-1.986%,-17.743%,15.330%,24.516%,7.487%,11.821%,-14.309%,-29.904%,-26.440%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"380,205","332,177","345,369","219,745","290,896","246,182","244,817","327,609","180,599","393,213","262,597","447,420","126,432","269,163","180,145","225,323","183,594","228,333","228,334",Financials in USD,Fiscal year is January - December
Gross Profit,"651,425","993,623","1,037,201","1,141,997","1,007,426","881,944","888,524","752,028","866,431","883,211","893,711","865,098","781,422","755,949","895,616","948,446","875,859","1,234,101","1,234,101",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,367,895","1,685,932","2,048,012","2,568,945","1,586,594","1,849,364","2,125,734","1,184,265","4,248,858","1,911,405","1,074,233","2,686,306","1,517,182","1,334,165","970,703","1,805,586","620,895","1,614,598","1,614,599",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-177,177,"13,800",-,-,-,-,-,-,-,-,750,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,367,895","1,685,932","2,048,012","2,568,945","1,586,417","1,849,541","2,139,534","1,184,265","4,248,858","1,911,405","1,074,233","2,686,306","1,517,182","1,334,165","970,703","1,806,336","620,895","1,614,598","1,614,599",Financials in USD,Fiscal year is January - December
Operating Income,"-716,470","-692,309","-1,010,811","-1,426,948","-578,991","-967,597","-1,251,010","-432,237","-3,382,427","-1,028,194","-180,522","-1,821,208","-735,760","-578,216","-75,087","-857,890","254,964","-380,497","-380,498",Financials in USD,Fiscal year is January - December
Interest Expense,"-493,544","-117,364","-430,959","-569,505","-426,048","-2,016,314","-1,881,166","-1,092,915","-1,833,911","-645,651","-525,366","-785,012","-7,322,599","-132,360","-90,230","-66,852","-26,654","-32,617","-32,618",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"38,609","25,586","21,141","-174,002","-1,525","1,289,590","391,107","889,349","18,238,375","-22,539,553","196,486","1,758,065","2,738,707","-62,647","-5,140","-2,065",970,"-15,189","-15,190",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,171,405","-784,087","-1,420,629","-2,170,455","-1,006,564","-1,694,321","-2,741,069","-635,803","13,022,037","-24,213,398","-509,402","-848,155","-5,319,652","-773,223","-170,457","-926,807","229,280","-428,304","-428,305",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-52,854","-52,855",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"306,459",-,"1,405,293","468,678","189,689","4,364,173","-754,506",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,171,405","-784,087","-1,420,629","-1,863,996","-1,006,564","-289,028","-2,272,391","-446,114","17,386,210","-24,967,904","-509,402","-848,155","-5,319,652","-773,223","-170,457","-926,807","229,280","-481,159","-481,159",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"33,529","1,888","-35,417","95,618",-,-,-,-,-,-,378,-65,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,171,405","-784,087","-1,420,629","-1,863,996","-1,040,093","-290,916","-2,236,974","-541,732","17,386,210","-24,967,904","-509,402","-848,155","-5,319,652","-773,223","-170,835","-926,742","229,280","-481,159","-481,159",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,925,-69,"2,279",-800,"-1,707","3,997",244,"22,871","30,707","19,665","14,662","8,649","10,262","10,658","4,077","43,013","-41,868","404,908","404,908",Financials in USD,Fiscal year is January - December
Net Income,"-1,170,480","-784,156","-1,418,350","-1,864,796","-1,041,800","-286,919","-2,236,730","-518,861","17,416,917","-24,948,239","-494,740","-839,506","-5,309,390","-762,565","-166,758","-883,729","187,412","-76,251","-76,251",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,170,480","-784,156","-1,418,350","-1,864,796","-1,041,800","-286,919","-2,236,730","-518,861","17,416,917","-24,948,239","-494,740","-839,506","-5,309,390","-762,565","-166,758","-883,729","187,412","-76,251","-76,251",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"120,569,794","116,754,047","83,469,544","105,213,535","100,572,563","91,773,957","58,307,347","49,106,832","45,588,294","44,712,562","44,685,673","101,465,827","19,103,079","35,684,022","34,930,348","9,225,602","9,457,153","9,283,710","9,283,710",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"120,569,794","116,754,047","83,469,544","105,213,535","100,572,563","91,773,957","58,307,347","49,106,832","45,588,294","44,712,562","44,685,673","101,465,827","19,103,079","35,684,022","34,930,348","9,225,602","9,457,153","9,283,710","9,283,710",Financials in USD,Fiscal year is January - December
Shares Change (YoY),19.883%,27.219%,43.154%,114.254%,120.610%,105.253%,30.483%,-51.603%,138.644%,25.301%,27.928%,999.829%,101.996%,284.372%,276.254%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.010,-0.007,-0.017,-0.018,-0.010,-0.003,-0.038,-0.011,0.382,-0.558,-0.011,-0.008,-0.278,-0.021,-0.005,-0.096,0.020,-0.008,-0.008,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.010,-0.010,-0.020,-0.019,-0.010,-0.003,-0.040,-0.013,0.380,-0.560,-0.011,-0.008,-0.280,-0.021,-0.005,-0.096,0.020,-0.010,-0.010,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-422,619","-176,358","1,017,485","-1,132,003","-5,317","-324,026","-574,666","-240,798","-231,386","-663,847","-80,917","-1,549,270","-18,033","-629,544","282,754","-153,380","97,823","-111,379","-111,379",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.004,-0.002,0.012,-0.011,-0.000,-0.004,-0.010,-0.005,-0.005,-0.015,-0.002,-0.015,-0.001,-0.018,0.008,-0.017,0.010,-0.012,-0.012,Financials in USD,Fiscal year is January - December
Gross Margin,63.145%,74.945%,75.020%,83.863%,77.594%,78.178%,78.399%,69.656%,82.751%,69.194%,77.290%,65.911%,86.073%,73.743%,83.254%,80.803%,82.671%,84.387%,84.387%,Financials in USD,Fiscal year is January - December
Operating Margin,-69.450%,-52.218%,-73.111%,-104.788%,-44.595%,-85.770%,-110.382%,-40.035%,-323.050%,-80.553%,-15.612%,-138.757%,-81.044%,-56.405%,-6.980%,-73.088%,24.066%,-26.018%,-26.018%,Financials in USD,Fiscal year is January - December
Profit Margin,-113.459%,-59.146%,-102.588%,-136.942%,-80.242%,-25.433%,-197.357%,-48.059%,1663.459%,-1954.542%,-42.786%,-63.961%,-584.829%,-74.388%,-15.501%,-75.290%,17.690%,-5.214%,-5.214%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-40.966%,-13.302%,73.594%,-83.129%,-0.410%,-28.723%,-50.705%,-22.304%,-22.099%,-52.008%,-6.998%,-118.038%,-1.986%,-61.412%,26.284%,-13.067%,9.233%,-7.616%,-7.616%,Financials in USD,Fiscal year is January - December
EBITDA,"-531,473","-686,975","-856,676","-1,271,200","-420,435","-813,702","-1,131,412","1,142,522","-3,268,975","-918,597","-73,402","-1,717,730","-634,638","-466,223","351,220","-849,775","395,686","-168,057","-168,058",Financials in USD,Fiscal year is January - December
EBITDA Margin,-51.518%,-51.816%,-61.962%,-93.351%,-32.383%,-72.129%,-99.830%,105.825%,-,-71.966%,-6.348%,-130.873%,-69.905%,-45.480%,32.648%,-72.397%,37.348%,-11.492%,-11.492%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"184,997","5,334","154,135","155,748","158,556","153,895","119,598","1,574,759","113,452","109,597","107,120","103,478","101,122","111,993","426,307","8,115","140,722","212,440","212,440",Financials in USD,Fiscal year is January - December
EBIT,"-716,470","-692,309","-1,010,811","-1,426,948","-578,991","-967,597","-1,251,010","-432,237","-3,382,427","-1,028,194","-180,522","-1,821,208","-735,760","-578,216","-75,087","-857,890","254,964","-380,497","-380,498",Financials in USD,Fiscal year is January - December
EBIT Margin,-69.450%,-52.218%,-73.111%,-104.788%,-44.595%,-85.770%,-110.382%,-40.035%,-,-80.553%,-15.612%,-138.757%,-81.044%,-56.405%,-6.980%,-73.088%,24.066%,-26.018%,-26.018%,Financials in USD,Fiscal year is January - December
