Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2024,Q2 2024,Q1 2024,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020","Oct '19 Oct 31, 2019",+9 Quarters,,
Revenue,"6,992,714","7,718,129","6,654,474","6,522,291","6,295,717","6,004,637","4,530,540","5,072,635","4,251,808","4,700,127","3,732,713","3,760,075","3,028,991","1,538,422","1,051,185","1,056,702","903,994","1,172,612","1,106,296","431,629",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),11.071%,28.536%,46.880%,28.578%,48.072%,27.755%,21.374%,34.908%,40.370%,205.516%,255.096%,255.831%,235.068%,31.196%,-4.982%,144.817%,16.806%,-37.796%,32.600%,-45.380%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,068,778","4,342,537","3,396,819","2,112,681","3,148,696","3,407,170","2,013,124","3,430,567","2,307,223","2,476,425","1,419,990","648,275","787,833","931,256","910,841","529,834","331,780","1,079,544","452,751","603,916",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,923,936","3,375,592","3,257,655","4,409,610","3,147,021","2,597,467","2,517,416","1,642,068","1,944,585","2,223,702","2,312,723","3,111,800","2,241,158","607,166","140,344","526,868","572,214","93,068","653,545","-172,287",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,390,671","3,008,543","2,019,324","1,881,389","1,641,725","1,407,521","1,535,242","1,570,885","1,207,892","1,469,533","1,603,926","1,323,612","1,216,980","775,919","666,739","382,102","549,350","586,037","670,768","850,484",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,947,228","3,248,022","2,330,561","2,177,464","1,935,760","1,570,904","1,706,503","1,800,927","1,458,583","1,740,215","1,674,423","1,448,582","1,338,133","864,037","798,329","481,541","946,302","619,247","763,926","442,103",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"976,708","127,570","927,094","2,232,146","1,211,261","1,026,563","810,913","-158,859","486,002","483,487","638,300","1,663,218","903,025","-256,871","-657,985","45,327","-374,088","-526,179","-110,381","-614,390",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-873,226","-458,040","-471,350","-514,249","-325,651","-293,836","-263,612","-212,160","-166,820","-248,693","-266,347","-251,798","-236,321","-402,440","-256,884","-138,766","-418,756","-142,408","-158,724","-130,951",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-636,944","-7,354,330","-5,541,590","-3,849,952","-459,404","-100,789","288,134","4,794","-1,420","-1,366","-5,440","1,270","3,977","-961,688","-319,627",710,"370,432","89,046","15,000","152,973",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-533,462","-7,684,800","-5,085,846","-2,132,055","426,206","631,938","835,435","-366,225","317,762","233,428","366,513","1,412,690","670,681","-1,620,999","-1,234,496","-92,729","-422,412","-579,541","-254,105","-592,368",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"143,732",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"115,104","663,459","1,292,848","129,113",-,-,-,-,"-146,891","-19,082","-167,804","-169,143","-422,867","253,300","302,808","294,740","69,064","-627,287",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"10,000",-,"-2,177","-13,881",-,-,"-168,144",-,-,-,"-6,250",31,"-7,573",-,-,"-20,918","-2,450",-,"20,918","-70,403",Upgrade,Financials in USD,Fiscal year is January - December
