Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"6,886,000","8,487,000","7,958,000","5,819,000","3,239,000","3,172,000","3,212,000","1,081,000","78,000","569,000",Financials in AUD,Fiscal year is July - June
Other Revenue,"2,153,000","832,000","4,061,000","2,796,000","2,546,000","2,281,000","125,000","4,150,000","951,000","1,000",Financials in AUD,Fiscal year is July - June
Revenue,"9,039,000","9,319,000","12,019,000","8,615,000","5,785,000","5,453,000","3,337,000","5,231,000","1,029,000","570,000",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-24.794%,8.172%,107.761%,57.986%,73.359%,4.244%,224.295%,817.719%,-59.044%,496.827%,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"7,162,000","5,016,000","9,124,000","5,971,000",-,-,"48,000",-,"641,000",-,Financials in AUD,Fiscal year is July - June
Gross Profit,"1,877,000","4,303,000","2,895,000","2,644,000","5,785,000","5,453,000","3,289,000","5,231,000","388,000","570,000",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","6,868,000","12,036,000","8,113,000","10,903,000","16,153,000","11,544,000","14,610,000","8,518,000","6,394,000","7,452,000",Financials in AUD,Fiscal year is July - June
Research & Development,"375,000","380,000","1,718,000","2,571,000","2,044,000","947,000","957,000","1,074,000","692,000","591,000",Financials in AUD,Fiscal year is July - June
Operating Expenses,"12,582,000","18,114,000","15,704,000","19,561,000","21,717,000","13,768,000","16,893,000","10,897,000","8,140,000","9,149,000",Financials in AUD,Fiscal year is July - June
