Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Revenue,"14,455","42,229","40,442","14,821","4,385","2,037","40,691","35,579","34,503","29,520","38,552","40,258","34,895","76,303","73,493","136,853","180,994","100,677","291,488","108,607",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),229.647%,1973.098%,-0.612%,-58.343%,-87.291%,-93.100%,5.548%,-11.623%,-1.123%,-61.312%,-47.543%,-70.583%,-80.720%,-24.210%,-74.787%,26.008%,129.373%,80.745%,392.661%,119.386%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"2,745","1,110","20,372","15,795","1,361","1,513",-,-,"1,836",194,"2,016","840,683","2,581","24,902","15,145","20,871","50,218","48,101","110,025","1,759",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"11,710","41,119","20,070",-974,"3,024",524,"40,691","35,579","32,667","29,326","36,536","-800,425","32,314","51,401","58,348","115,982","130,776","52,576","181,463","106,848",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","122,953","168,486","162,859","120,423","154,502","227,940","196,633","183,774","205,501","221,715","196,478","215,888","184,205","208,259","166,707","295,359","239,786","186,854","190,203","312,139",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,423,"2,065","8,908","-32,602","8,349","24,288","8,753","22,197","13,902","15,405","13,768","39,566","17,434","2,648","23,418","-2,323","28,448","63,297","40,978","15,195",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"123,853","171,370","172,573","187,633","163,662","253,031","206,187","206,894","221,227","239,158","212,244","257,487","203,670","212,867","192,123","320,340","270,383","595,053","278,453","410,301",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-112,143","-130,251","-152,503","-188,607","-160,638","-252,507","-165,496","-171,315","-188,560","-209,832","-175,708","-1,057,912","-171,356","-161,466","-133,775","-204,358","-139,607","-542,477","-96,990","-303,453",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-15,075","-12,806","-11,408","-11,914","-10,136","-5,948","-3,083",-588,-,-,-,-73,-,-,-,-,"-3,696","-6,843","-5,136","-4,789",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,1,-,-,-,-,2,1,-,2,"1,776","3,011","3,499","3,736","3,239","3,096","4,228",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-299,-147,310,-144,-33,210,"-1,564",222,"1,011","-3,841","-11,147",567,"9,165",-514,"-35,149","2,333","-18,429","-2,580","1,599",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-50,874","67,543","-11,969","-7,356","-22,257","-3,555","2,409",656,"-10,500","-5,500","-28,536","-13,968","-31,819","-54,182","-30,091","2,458","-62,948","-63,445","-9,239",-160,Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-178,092","-75,813","-176,027","-207,567","-193,174","-262,043","-165,960","-172,811","-198,838","-214,319","-208,084","-1,083,100","-202,606","-204,707","-161,369","-233,550","-200,182","-627,955","-110,849","-302,575",Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,"-741,995",-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,"15,595",-,-,-,-,-,-,-,-,-,-,-,"1,290","-53,646",-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
