Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","385,257","391,410","360,872","188,939","165,421","117,353","145,011","346,636","106,982","160,611","1,122,107","2,519,772","2,354,600","104,896","7,702","6,916","5,932","1,105",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"385,257","391,410","360,872","188,939","165,421","117,353","145,011","346,636","106,982","160,611","1,122,107","2,519,772","2,354,600","104,896","7,702","6,916","5,932","1,105",-,Financials in USD,Fiscal year is January - December
Operating Income,"-385,257","-391,410","-360,872","-188,939","-165,421","-117,353","-145,011","-346,636","-106,982","-160,611","-1,122,107","-2,519,772","-2,354,600","-104,896","-7,702","-6,916","-5,932","-1,105",-,Financials in USD,Fiscal year is January - December
Interest Expense,"-74,887","-79,265","-65,070","-102,022","-143,279","-161,329","-157,993","-251,950","-185,651","-250,329","-182,603","-116,966","-31,604","-2,513",-538,-552,-552,-545,-157,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-5,000",-,-,-,-,-,-,-,-270,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-460,144","-470,675","-425,942","-290,961","-308,700","-278,682","-303,004","-603,586","-292,633","-410,940","-1,304,710","-2,636,738","-2,386,204","-107,409","-8,240","-7,738","-6,484","-1,650",-157,Financials in USD,Fiscal year is January - December
Net Income,"-460,144","-470,675","-425,942","-290,961","-308,700","-278,682","-303,004","-603,586","-292,633","-410,940","-1,304,710","-2,636,738","-2,386,204","-107,409","-8,240","-7,738","-6,484","-1,650",-157,Financials in USD,Fiscal year is January - December
Net Income to Common,"-460,144","-470,675","-425,942","-290,961","-308,700","-278,682","-303,004","-603,586","-292,633","-410,940","-1,304,710","-2,636,738","-2,386,204","-107,409","-8,240","-7,738","-6,484","-1,650",-157,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,103,952","14,871,098","14,896,791","14,896,932","14,896,791","14,883,698","14,858,357","14,548,754","14,530,668","14,351,954","14,249,005","14,144,877","13,643,369","12,925,420","12,925,420","12,425,420","12,425,420","12,425,420","12,425,420",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,103,952","14,871,098","14,896,791","14,896,932","14,896,791","14,883,698","14,858,357","14,548,754","14,530,668","14,351,954","14,249,005","14,144,877","13,643,369","12,925,420","12,925,420","12,425,420","12,425,420","12,425,420","12,425,420",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-45.599%,-0.085%,0.259%,2.393%,2.520%,3.705%,4.276%,2.855%,6.504%,11.037%,10.240%,13.838%,9.802%,4.024%,4.024%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.057,-0.032,-0.029,-0.020,-0.021,-0.019,-0.020,-0.041,-0.020,-0.029,-0.092,-0.186,-0.175,-0.008,-0.001,-0.001,-0.001,-0.000,-0.000,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.057,-0.032,-0.029,-0.020,-0.021,-0.019,-0.020,-0.041,-0.020,-0.029,-0.092,-0.186,-0.175,-0.008,-0.001,-0.001,-0.001,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-77,547","-90,520","-73,709","-37,851","-21,909","-18,133","-28,872","-52,526","-344,952","-79,098","-185,044","-89,876","-51,539","-89,111","-7,702","-7,186","-5,931","-1,106",-30,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.010,-0.006,-0.005,-0.003,-0.001,-0.001,-0.002,-0.004,-0.024,-0.006,-0.013,-0.006,-0.004,-0.007,-0.001,-0.001,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is January - December
EBITDA,"-217,374","-225,102","-194,565","-128,469","-165,169","-117,104","-144,765","-346,384","-106,731","-160,361","-1,121,859","-2,519,772","-2,354,517","-104,759","-7,565","-6,779","-5,851","-1,024",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"167,883","166,308","166,307","60,470",252,249,246,252,251,250,248,-,83,137,137,137,81,81,81,Financials in USD,Fiscal year is January - December
EBIT,"-385,257","-391,410","-360,872","-188,939","-165,421","-117,353","-145,011","-346,636","-106,982","-160,611","-1,122,107","-2,519,772","-2,354,600","-104,896","-7,702","-6,916","-5,932","-1,105",-,Financials in USD,Fiscal year is January - December
