Fiscal Quarter,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Currency,Fiscal_Year_period
Period Ending,"Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012",,
Revenue,"99,833","112,290","214,488","332,067","241,239","239,319","276,355","274,772","228,349","218,577","228,310","174,214","114,824","114,824",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-58.617%,-53.079%,-22.387%,20.852%,5.645%,9.490%,21.044%,57.721%,98.869%,90.358%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"77,679","103,569","85,438","265,006","107,091","187,944","224,118","165,449","191,076","135,402","89,936","153,697","83,847","83,848",Financials in USD,Fiscal year is January - December
Gross Profit,"22,154","8,721","129,050","67,061","134,148","51,375","52,237","109,323","37,273","83,175","138,374","20,517","30,976","30,977",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","229,157","243,004","596,571","186,921","111,610","124,889","99,697","89,368","61,385","45,246","109,313","18,777","25,492","25,493",Financials in USD,Fiscal year is January - December
Research & Development,"11,632","16,391","14,299","14,259","16,413","14,434","15,020","22,655","9,370",669,"35,534",205,834,834,Financials in USD,Fiscal year is January - December
Operating Expenses,"240,789","259,395","610,870","201,180","128,023","139,323","114,717","112,023","70,755","45,915","144,847","18,982","26,326","26,327",Financials in USD,Fiscal year is January - December
Operating Income,"-218,635","-250,674","-481,820","-134,119","6,125","-87,948","-62,480","-2,700","-33,482","37,260","-6,473","1,535","4,650","4,650",Financials in USD,Fiscal year is January - December
Interest Expense,"-105,098","-109,633","-51,802","-44,295","-29,109","-29,092","-53,740","-14,937","-1,760","-14,918","-23,461","-10,778","-9,731","-9,732",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,812,699","181,780","-117,079",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,136,432","-178,527","-650,701","-178,414","-22,984","-117,040","-116,220","-17,637","-35,242","22,342","-29,934","-9,243","-5,081","-5,082",Financials in USD,Fiscal year is January - December
Net Income,"-2,136,432","-178,527","-650,701","-178,414","-22,984","-117,040","-116,220","-17,637","-35,242","22,342","-29,934","-9,243","-5,081","-5,082",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,136,432","-178,527","-650,701","-178,414","-22,984","-117,040","-116,220","-17,637","-35,242","22,342","-29,934","-9,243","-5,081","-5,082",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,186,871","49,341,468","47,003,017","45,215,091","45,050,000","45,050,000","45,227,969","20,048,098","19,855,000","19,855,000","26,366,155","17,684,615",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,186,871","49,341,468","47,003,017","45,215,091","45,050,000","45,050,000","45,227,969","20,048,098","19,855,000","19,855,000","26,366,155","17,684,615",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.842%,9.526%,3.925%,125.533%,126.895%,126.895%,71.538%,13.365%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.041,-0.004,-0.014,-0.004,-0.001,-0.003,-0.003,-0.001,-0.002,0.001,-0.001,-0.001,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.041,-0.004,-0.014,-0.004,-0.001,-0.003,-0.003,-0.001,-0.002,0.001,-0.001,-0.001,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-61,844","-248,656","-166,148","-25,157","-145,880","-89,759","-144,464","-99,024","-39,861","15,479","-33,750",558,"2,949","2,948",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.005,-0.004,-0.001,-0.003,-0.002,-0.003,-0.005,-0.002,0.001,-0.001,0.000,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,22.191%,7.766%,60.166%,20.195%,55.608%,21.467%,18.902%,39.787%,16.323%,38.053%,60.608%,11.777%,26.977%,26.978%,Financials in USD,Fiscal year is January - December
Operating Margin,-219.001%,-223.238%,-224.637%,-40.389%,2.539%,-36.749%,-22.609%,-0.983%,-14.663%,17.047%,-2.835%,0.881%,4.050%,4.050%,Financials in USD,Fiscal year is January - December
Profit Margin,-2140.006%,-158.987%,-303.374%,-53.728%,-9.527%,-48.905%,-42.055%,-6.419%,-15.433%,10.222%,-13.111%,-5.306%,-4.425%,-4.426%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-61.947%,-221.441%,-77.463%,-7.576%,-60.471%,-37.506%,-52.275%,-36.039%,-17.456%,7.082%,-14.783%,0.320%,2.568%,2.567%,Financials in USD,Fiscal year is January - December
EBITDA,"-208,648","-240,716","-465,778","-125,257","14,875","-79,299","-56,899","15,079","-28,061","42,683","2,410","4,128","10,700","10,701",Financials in USD,Fiscal year is January - December
EBITDA Margin,-208.997%,-214.370%,-217.158%,-37.720%,6.166%,-33.135%,-20.589%,5.488%,-12.289%,19.528%,1.056%,2.369%,9.319%,9.319%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,987","9,958","16,042","8,862","8,750","8,649","5,581","17,779","5,421","5,423","8,883","2,593","6,050","6,051",Financials in USD,Fiscal year is January - December
EBIT,"-218,635","-250,674","-481,820","-134,119","6,125","-87,948","-62,480","-2,700","-33,482","37,260","-6,473","1,535","4,650","4,650",Financials in USD,Fiscal year is January - December
EBIT Margin,-219.001%,-223.238%,-224.637%,-40.389%,2.539%,-36.749%,-22.609%,-0.983%,-14.663%,17.047%,-2.835%,0.881%,4.050%,4.050%,Financials in USD,Fiscal year is January - December
