Fiscal Year,TTM,FY 2018,FY 2017,FY 2016,FY 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015",,
"Selling, General & Admin","16,406,000","18,606,000","15,098,000","7,996,000","4,603,000",Financials in USD,Fiscal year is January - December
Research & Development,"26,770,000","51,592,000","30,484,000","10,993,000","2,407,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"43,176,000","70,198,000","45,582,000","18,989,000","7,010,000",Financials in USD,Fiscal year is January - December
Operating Income,"-43,176,000","-70,198,000","-45,582,000","-18,989,000","-7,010,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,800,000",-,"-734,000",-,"-484,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"104,000",-,"493,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"501,000","3,027,000","-2,023,000","-473,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-44,371,000","-67,171,000","-47,846,000","-19,462,000","-7,494,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,003,000",-,-,"-1,700,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"24,500,000","-6,300,000","-2,989,000",-,"-3,800,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-52,569,000","-73,471,000","-50,835,000","-21,162,000","-11,294,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-4,618,000",-,"-290,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-47,951,000","-73,471,000","-50,545,000","-21,162,000","-11,294,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,951,000","-73,471,000","-50,545,000","-21,162,000","-11,294,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,639,750","20,450,000","9,735,000","1,694,000","1,709,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,639,750","20,450,000","9,735,000","1,694,000","1,709,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.175%,110.067%,474.675%,-0.878%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.800,-3.593,-5.192,-12.492,-6.609,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.800,-3.593,-5.192,-12.492,-6.609,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-54,639,000","-61,732,000","-41,286,000","-17,847,000","-10,067,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.051,-3.019,-4.241,-10.535,-5.891,Financials in USD,Fiscal year is January - December
EBITDA,"-43,024,000","-70,041,000","-45,462,000","-18,922,000","-6,978,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"152,000","157,000","120,000","67,000","32,000",Financials in USD,Fiscal year is January - December
EBIT,"-43,176,000","-70,198,000","-45,582,000","-18,989,000","-7,010,000",Financials in USD,Fiscal year is January - December
