Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2015,Q1 2015,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015",+20 Quarters,,
Operating Revenue,"77,923","57,618","62,437","34,705","31,431","26,193",194,595,884,772,"1,406","1,717","1,929","1,950",255,"3,695",-,-,"72,574","315,295",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"77,923","57,618","62,437","34,705","31,431","26,193",194,595,884,772,"1,406","1,717","1,929","1,950",255,"3,695",-,-,"72,574","315,295",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),147.918%,119.975%,32084.021%,5732.773%,3455.543%,3292.876%,-86.202%,-65.347%,-54.173%,-60.410%,451.373%,-53.532%,-,-,-99.649%,-98.828%,-,-,416.982%,5206.210%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,483","10,242","18,901",-,-,22,"75,107",315,606,504,440,643,526,968,239,"1,174",-,-,"27,523","81,010",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"57,440","47,377","43,536","34,705","31,431","26,171","-74,913",280,278,268,966,"1,074","1,403",982,16,"2,521",-,-,"45,051","234,285",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,755","149,223",207,"102,378","98,640","92,112","37,897","65,401","98,564","90,533","90,769","88,094","111,878","72,006","117,113","30,357","29,800","16,307","402,531","456,509",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"74,864","169,331","-12,393","109,778","106,040","99,512","37,897","65,401","343,189","212,846","90,769","88,094","111,878","72,006","117,113","30,357","29,800","16,307","402,531","456,509",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,424","-121,955","55,929","-75,073","-74,609","-73,342","-112,810","-65,121","-342,911","-212,578","-89,803","-87,020","-110,475","-71,025","-117,097","-27,836","-29,800","-16,307","-357,480","-222,224",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-28,809","-28,809","-19,345","-8,329","-7,045","-7,045","-65,534","-27,814","-48,234","-36,049","-230,369",-,-,-,"-2,291",-,-,-,"-3,451","-1,685",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),824,668,-,957,-,28,"6,225",107,747,508,"147,299","-136,983","-2,180","-1,908","64,571","-64,571","2,000","1,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-45,409","-150,096","36,584","-82,445","-81,654","-80,358","-172,119","-92,828","-390,398","-248,119","-172,873","-224,003","-112,655","-72,932","-54,817","-92,407","-27,800","-15,307","-360,931","-223,909",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,"67,497",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-45,409","-150,096","36,584","-82,445","-81,654","-80,358","-172,119","-92,828","-390,398","-248,119","-105,376","-224,003","-112,655","-72,932","-54,817","-92,407","-27,800","-15,307","-360,931","-223,909",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-45,409","-150,096","36,584","-82,445","-81,654","-80,358","-172,119","-92,828","-390,398","-248,119","-105,376","-224,003","-112,655","-72,932","-54,817","-92,407","-27,800","-15,307","-360,931","-223,909",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,"-1,767",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-45,409","-150,096","36,584","-82,445","-81,654","-82,125","-172,119","-92,828","-390,398","-248,119","-105,376","-224,003","-112,655","-72,932","-54,817","-92,407","-27,800","-15,307","-360,931","-223,909",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-45,409","-150,096","36,584","-82,445","-81,654","-82,125","-172,119","-92,828","-390,398","-248,119","-105,376","-224,003","-112,655","-72,932","-54,817","-92,407","-27,800","-15,307","-360,931","-223,909",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,990,434,946","2,651,268,537","1,817,307,378","1,512,978,664","1,098,043,328","939,579,934","673,924,961","632,653,995","617,980,082","590,198,522","528,372,311","523,091,366","499,993,540","499,993,540","499,993,540","499,993,540","499,993,540","499,993,540","386,009,024","340,340,917",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,990,434,946","2,651,268,537","1,817,307,378","1,512,978,664","1,098,043,328","939,579,934","673,924,961","632,653,995","617,980,082","590,198,522","528,372,311","523,091,366","499,993,540","499,993,540","499,993,540","499,993,540","499,993,540","499,993,540","386,009,024","340,340,917",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),172.342%,182.176%,169.660%,139.148%,77.683%,59.197%,27.547%,20.945%,23.598%,18.041%,5.676%,4.620%,-,-,29.529%,46.910%,36.857%,35.816%,25.402%,15.873%,Upgrade,Financials in USD,Fiscal year is January - December
