Fiscal Year,TTM,FY 2013,FY 2012,FY 2011,FY 2010,FY 2009,2008 - 2006,Currency,Fiscal_Year_period
Period Ending,"Sep '14 Sep 30, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009",2008 - 2006,,
"Selling, General & Admin","8,025,000","7,786,000","6,911,000","8,019,000","7,913,000","7,469,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,567,000","7,989,000","8,688,000","10,765,000","10,974,000","15,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"66,000","-110,000",-,"1,005,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"17,878,000","15,932,000","16,055,000","22,930,000","23,749,000","27,512,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,878,000","-15,932,000","-16,055,000","-22,930,000","-23,749,000","-27,512,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-7,823,000","-7,622,000","-2,957,000","-849,000","-2,105,000","-3,468,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"36,000","47,000","27,000","53,000","62,000","211,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-38,096,000","5,245,000","2,221,000","14,436,000","192,000","1,824,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-63,761,000","-18,262,000","-16,764,000","-9,290,000","-25,600,000","-28,945,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-665,000","-665,000","-165,000","-2,400,000",-,"-900,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-7,371,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-64,426,000","-18,927,000","-16,929,000","-19,061,000","-25,600,000","-29,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-64,426,000","-18,927,000","-16,929,000","-19,061,000","-25,600,000","-29,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"3,993,000","14,059,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-64,426,000","-18,927,000","-16,929,000","-19,061,000","-29,593,000","-43,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,567,750","4,024,000","2,374,000","2,162,000","920,000","70,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,567,750","4,024,000","2,374,000","2,162,000","920,000","70,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),420.589%,69.503%,9.806%,135.000%,1214.286%,3.633%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.889,-4.704,-7.131,-8.816,-32.166,-627.200,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.889,-4.704,-7.131,-8.816,-32.166,-627.200,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,351,000","-17,259,000","-19,509,000","-21,969,000","-19,563,000","-26,310,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.168,-4.289,-8.218,-10.161,-21.264,-375.857,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-17,658,000","-15,665,000","-15,599,000","-19,789,000","-18,887,000","-22,575,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"220,000","267,000","456,000","3,141,000","4,862,000","4,937,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,878,000","-15,932,000","-16,055,000","-22,930,000","-23,749,000","-27,512,000",Upgrade,Financials in USD,Fiscal year is January - December
