Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",,
Revenue,"2,962","24,062","5,650","2,177","153,476","82,489","350,815","1,091,941","1,306,201","880,652","393,559","119,155",-,"3,345","328,696","50,622","127,100",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-98.070%,-70.830%,-98.389%,-99.801%,-88.250%,-90.633%,-10.861%,816.404%,-,26227.414%,19.733%,135.382%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"62,758","162,450","71,861","192,454","346,073","157,163","423,435","1,006,084","1,123,717","809,350","454,987","181,724",-,"134,942","316,636","53,431","73,333",Financials in USD,Fiscal year is January - December
Gross Profit,"-59,796","-138,388","-66,211","-190,277","-192,597","-74,674","-72,620","85,857","182,484","71,302","-61,428","-62,569",-,"-131,597","12,060","-2,809","53,767",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","342,834","727,976","224,550","504,753","415,119","527,610","405,008","405,158","357,246","420,891","302,559","647,081","756,800","256,741","40,535","34,551","35,629",Financials in USD,Fiscal year is January - December
Operating Expenses,"342,834","727,976","239,540","537,630","415,119","527,610","405,008","405,158","357,246","420,891","302,559","647,081","756,800","256,741","40,535","34,551","35,629",Financials in USD,Fiscal year is January - December
Operating Income,"-402,630","-866,364","-305,751","-727,907","-607,716","-602,284","-477,628","-319,301","-174,762","-349,589","-363,987","-709,650","-756,800","-388,338","-28,475","-37,360","18,138",Financials in USD,Fiscal year is January - December
Interest Expense,"-369,763","-477,745","-295,936","-426,045","-388,273","-448,996","-421,381","-753,861","-532,410","-437,066","-372,322","-372,469","-154,147","-34,096","-10,334","-10,975","-11,085",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,186","6,462","117,432","-99,961","13,877","136,652","-59,319","-32,448,130","-7,014,164","1,178,836","-2,110,718","404,361","-2,030,995",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-758,207","-1,337,647","-484,255","-1,253,913","-982,112","-914,628","-958,328","-33,521,292","-7,721,336","392,181","-2,847,027","-677,758","-2,941,942","-422,434","-38,809","-48,335","7,053",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,"25,553",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-195,385",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-27,593",-,"-505,671",-,"-431,998","-458,373","39,534,532","31,642",-,"74,304","-355,773",73,-,-,-,-,Financials in USD,Fiscal year is January - December
