Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Nov '24 Nov 30, 2024","Aug '24 Aug 31, 2024","Aug '23 Aug 31, 2023","Aug '22 Aug 31, 2022","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020",2019 - 2015,,
Revenue,"40,637","130,074","410,165","29,958",-,"7,157",Upgrade,Financials in USD,Fiscal year is September - August
Revenue Growth (YoY),-91.866%,-68.287%,1269.133%,-,-,-27.288%,Upgrade,Financials in USD,Fiscal year is September - August
Gross Profit,"40,637","130,074","410,165","29,958",-,"7,157",Upgrade,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","406,344","518,426","909,980","1,800,647","828,644","1,368,147",Upgrade,Financials in USD,Fiscal year is September - August
Research & Development,"82,370","194,788","431,565","1,183,281","1,771,533","1,682,462",Upgrade,Financials in USD,Fiscal year is September - August
Operating Expenses,"488,714","713,214","1,341,545","2,983,928","2,600,177","3,050,609",Upgrade,Financials in USD,Fiscal year is September - August
Operating Income,"-448,077","-583,140","-931,380","-2,953,970","-2,600,177","-3,043,452",Upgrade,Financials in USD,Fiscal year is September - August
Interest Expense,"-19,611","-19,611","-1,174","-1,273","-2,391","-8,134",Upgrade,Financials in USD,Fiscal year is September - August
Currency Exchange Gain (Loss),"-3,513","-3,513","3,361","-58,571","-21,985","-62,852",Upgrade,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"9,108",-,"-54,810","-722,236","-961,830","-4,423,000",Upgrade,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-462,093","-606,264","-984,003","-3,736,050","-3,586,383","-7,537,438",Upgrade,Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Investments,-,-,-,-,"195,968","69,974",Upgrade,Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Assets,"-88,934","-88,934","-2,726,231","12,800","195,968",-,Upgrade,Financials in USD,Fiscal year is September - August
Pretax Income,"-551,027","-695,198","-3,710,234","-3,723,250","-3,194,447","-7,467,464",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-551,027","-695,198","-3,710,234","-3,723,250","-3,194,447","-7,467,464",Upgrade,Financials in USD,Fiscal year is September - August
Net Income,"-551,027","-695,198","-3,710,234","-3,723,250","-3,194,447","-7,467,464",Upgrade,Financials in USD,Fiscal year is September - August
Net Income to Common,"-551,027","-695,198","-3,710,234","-3,723,250","-3,194,447","-7,467,464",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"31,085,329","30,247,691","8,824,636","1,222,641","1,154,325","1,121,260",Upgrade,Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"31,085,329","30,247,691","8,824,636","1,222,641","1,154,325","1,121,260",Upgrade,Financials in USD,Fiscal year is September - August
Shares Change (YoY),101.195%,242.764%,621.768%,5.918%,2.949%,1.586%,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.018,-0.023,-0.420,-3.045,-2.767,-6.660,Upgrade,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.018,-0.023,-0.420,-3.045,-2.767,-6.660,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-211,500","-245,465","-112,521","-1,680,848","-2,493,856","-2,850,703",Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.007,-0.008,-0.013,-1.375,-2.160,-2.542,Upgrade,Financials in USD,Fiscal year is September - August
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,100.000%,Upgrade,Financials in USD,Fiscal year is September - August
Operating Margin,-1102.633%,-448.314%,-227.074%,-9860.371%,-,-42524.130%,Upgrade,Financials in USD,Fiscal year is September - August
Profit Margin,-1355.974%,-534.463%,-904.571%,-12428.233%,-,-104337.907%,Upgrade,Financials in USD,Fiscal year is September - August
Free Cash Flow Margin,-520.462%,-188.712%,-27.433%,-5610.682%,-,-39830.977%,Upgrade,Financials in USD,Fiscal year is September - August
EBITDA,"-397,138","-510,820","-769,319","-2,755,443","-2,379,251","-2,828,297",Upgrade,Financials in USD,Fiscal year is September - August
EBITDA Margin,-,-,-187.563%,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
D&A For EBITDA,"50,939","72,320","162,061","198,527","220,926","215,155",Upgrade,Financials in USD,Fiscal year is September - August
EBIT,"-448,077","-583,140","-931,380","-2,953,970","-2,600,177","-3,043,452",Upgrade,Financials in USD,Fiscal year is September - August
EBIT Margin,-,-,-227.074%,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
