Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Aug '22 Aug 31, 2022","May '22 May 31, 2022","Feb '22 Feb 28, 2022","Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019","Aug '19 Aug 31, 2019","May '19 May 31, 2019","Feb '19 Feb 28, 2019","Nov '18 Nov 30, 2018","Aug '18 Aug 31, 2018","May '18 May 31, 2018","Feb '18 Feb 28, 2018","Nov '17 Nov 30, 2017",+20 Quarters,,
Revenue,"-930,958","792,406","627,390","569,562","630,320","940,491","25,816","4,530","-2,749","19,750",-,"10,003",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Revenue Growth (YoY),-,-15.745%,2330.237%,12473.113%,-,4661.980%,-,-54.714%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Cost of Revenue,"-830,805","780,778","767,896","455,968","679,237","729,589","6,653","1,300","4,833","16,788",-,"2,900",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Gross Profit,"-100,153","11,628","-140,506","113,594","-48,917","210,902","19,163","3,230","-7,582","2,962",-,"7,103",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","843,245","354,816","938,224","333,840","542,316","706,904","431,571","447,391","1,603,017","1,238,650","410,915","373,793","524,650","5,825","4,682","14,761","4,104","17,550","5,178","24,204",Upgrade,Financials in USD,Fiscal year is September - August
Operating Expenses,"843,245","354,816","938,224","333,840","542,316","706,904","431,571","447,391","1,603,017","1,238,650","410,915","373,793","524,650","5,825","4,682","14,761","4,104","17,550","5,178","24,204",Upgrade,Financials in USD,Fiscal year is September - August
Operating Income,"-943,398","-343,188","-1,078,730","-220,246","-591,233","-496,002","-412,408","-444,161","-1,610,599","-1,235,688","-410,915","-366,690","-524,650","-5,825","-4,682","-14,761","-4,104","-17,550","-5,178","-24,204",Upgrade,Financials in USD,Fiscal year is September - August
Interest Expense,"-2,125,488","-301,220","-2,487,747","-1,255,486","-1,100,567","-3,630,290","-1,933,728","-772,755","-585,568","-283,448","-522,203","-31,250",-,"-2,644","-2,661","-2,522","-2,289","-29,920","-1,856","-1,745",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Equity Investments,"-934,867",-,"934,867",-,-,-,"-359,391","148,015",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"319,843","145,714","1,550,626","1,771,934","-1,151,949","1,410,329","594,757","715,677","1,168,023","-1,280,180","170,922","12,503",100,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-3,683,910","-498,694","-1,080,984","296,202","-2,843,749","-2,715,963","-2,110,770","-353,224","-1,028,144","-2,799,316","-762,196","-385,437","-524,550","-8,469","-7,343","-17,283","-6,393","-47,470","-7,034","-25,949",Upgrade,Financials in USD,Fiscal year is September - August
Gain (Loss) on Sale of Investments,"-2,181,818","-7,231","-10,909","71,876","-55,435",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Asset Writedown,"-11,858,121",-,"-60,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Other Unusual Items,"-478,568",-,"454,768",-,"-36,841",-,-,-,"-5,002","50,747",-,-,"158,048","10,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Pretax Income,"-18,202,417","-505,925","-697,125","368,078","-2,936,025","-2,715,963","-2,110,770","-353,224","-1,033,146","-2,748,569","-762,196","-385,437","-366,502","1,531","-7,343","-17,283","-6,393","-47,470","-7,034","-25,949",Upgrade,Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-18,202,417","-505,925","-697,125","368,078","-2,936,025","-2,715,963","-2,110,770","-353,224","-1,033,146","-2,748,569","-762,196","-385,437","-366,502","1,531","-7,343","-17,283","-6,393","-47,470","-7,034","-25,949",Upgrade,Financials in USD,Fiscal year is September - August
Minority Interest in Earnings,"4,951,099","31,347","193,701","11,627","373,461","-92,318",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is September - August
Net Income,"-13,251,318","-474,578","-503,424","379,705","-2,562,564","-2,808,281","-2,110,770","-353,224","-1,033,146","-2,748,569","-762,196","-385,437","-366,502","1,531","-7,343","-17,283","-6,393","-47,470","-7,034","-25,949",Upgrade,Financials in USD,Fiscal year is September - August
Net Income to Common,"-13,251,318","-474,578","-503,424","379,705","-2,562,564","-2,808,281","-2,110,770","-353,224","-1,033,146","-2,748,569","-762,196","-385,437","-366,502","1,531","-7,343","-17,283","-6,393","-47,470","-7,034","-25,949",Upgrade,Financials in USD,Fiscal year is September - August
