Fiscal Year,TTM,FY 2013,FY 2012,FY 2009,FY 2008,FY 2007,Currency,Fiscal_Year_period
Period Ending,"Dec '13 Dec 31, 2013","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007",,
Operating Revenue,-,-,-,"1,451,797","6,700,421","3,313,657",Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,"74,098","41,574",Financials in USD,Fiscal year is January - December
Revenue,-,-,-,"1,451,797","6,774,519","3,355,231",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-78.570%,101.909%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"1,241,218","2,448,949","5,749,073",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"210,579","4,325,570","-2,393,842",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,260","2,260","2,165","1,453,326","1,870,018","236,303",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,"511,728",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,260","2,260","2,165","1,995,564","2,269,116","755,090",Financials in USD,Fiscal year is January - December
Operating Income,"-2,260","-2,260","-2,165","-1,784,985","2,056,454","-3,148,932",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-608,219","-130,410","-35,617",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-1,196","70,797","3,282",Financials in USD,Fiscal year is January - December
Pretax Income,"-2,260","-2,260","-2,165","-2,394,400","1,996,841","-3,181,267",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"17,864","672,601","-660,774",Financials in USD,Fiscal year is January - December
Net Income,"-2,260","-2,260","-2,165","-2,412,264","1,324,240","-2,520,493",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,260","-2,260","-2,165","-2,412,264","1,324,240","-2,520,493",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),-,-,"36,834","22,989","22,989",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),-,-,"36,834","22,989","22,989",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,60.224%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-,-,-0.059,-104.931,57.603,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-,-,-0.059,-104.931,57.603,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,-,"318,622","-2,484,893","-1,201,585",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,13.860,-108.091,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,14.505%,63.850%,-71.347%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-122.950%,30.356%,-93.851%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-166.157%,19.547%,-75.121%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,21.947%,-36.680%,-35.812%,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-1,242,747","2,455,552","-3,142,595",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-85.601%,36.247%,-93.662%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"542,238","399,098","6,337",Financials in USD,Fiscal year is January - December
EBIT,"-2,260","-2,260","-2,165","-1,784,985","2,056,454","-3,148,932",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-122.950%,30.356%,-93.851%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,33.683%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"1,451,797","6,774,519","3,355,232",Financials in USD,Fiscal year is January - December
