Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017",,
Operating Revenue,"1,402,329","1,266,456","1,617,517","4,542,972","1,574,357","1,902,456",Financials in USD,Fiscal year is January - December
Other Revenue,"-4,793",-,"9,964","86,750","64,380","76,935",Financials in USD,Fiscal year is January - December
Revenue,"1,397,536","1,266,456","1,627,481","4,629,722","1,638,737","1,979,391",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),11.873%,-22.183%,-64.847%,182.518%,-17.210%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"438,288","424,744","718,618","5,168,555","651,305","722,110",Financials in USD,Fiscal year is January - December
Gross Profit,"959,248","841,712","908,863","-538,833","987,432","1,257,281",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,384,891","3,274,812","2,994,656","6,775,652","2,231,298","1,304,418",Financials in USD,Fiscal year is January - December
Research & Development,"-40,000",-,-,-,"10,784",-,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"8,628","8,628","2,129","7,491","3,900",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,939,542","3,819,553","4,052,893","8,197,075","2,552,500","1,596,861",Financials in USD,Fiscal year is January - December
Operating Income,"-3,980,294","-2,977,841","-3,144,030","-8,735,908","-1,565,068","-339,580",Financials in USD,Fiscal year is January - December
Interest Expense,"-55,802","-20,611","-67,983","-118,269","-41,667","-217,870",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-81,538","-16,928","-14,215",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-18,818",-266,"-26,561","-21,112",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,054,914","-2,998,718","-3,238,574","-8,956,827","-1,623,663","-571,665",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-4,619,528",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-612,222","-389,399","-225,492","135,451","85,055",-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"15,229","15,229","56,535","-11,614",-,"-5,750",Financials in USD,Fiscal year is January - December
Asset Writedown,"-15,020","-15,020","-73,463",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"89,886","-940,660","42,346",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,666,927","-3,298,022","-4,421,654","-13,410,172","-1,538,608","-577,415",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,666,927","-3,298,022","-4,421,654","-13,410,172","-1,538,608","-577,415",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"3,316","-1,669,013",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-4,666,927","-3,298,022","-4,418,338","-15,079,185","-1,538,608","-577,415",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,666,927","-3,298,022","-4,418,338","-15,079,185","-1,538,608","-577,415",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"214,177,998","192,723,258","139,419,484","98,770,343","74,256,845","100,052",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"214,177,998","192,723,258","139,419,484","98,770,343","74,256,845","100,052",Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.711%,38.233%,41.155%,33.012%,74118.252%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.022,-0.017,-0.032,-0.153,-0.021,-5.771,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.022,-0.017,-0.032,-0.153,-0.021,-5.771,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,013,942","-2,158,610","-2,286,722","-4,410,363","-3,880,447","79,806",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.011,-0.016,-0.045,-0.052,0.798,Financials in USD,Fiscal year is January - December
Gross Margin,68.638%,66.462%,55.845%,-11.639%,60.256%,63.519%,Financials in USD,Fiscal year is January - December
Operating Margin,-284.808%,-235.132%,-193.184%,-188.692%,-95.505%,-17.156%,Financials in USD,Fiscal year is January - December
Profit Margin,-333.940%,-260.413%,-271.483%,-325.704%,-93.890%,-29.171%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-144.107%,-170.445%,-140.507%,-95.262%,-236.795%,4.032%,Financials in USD,Fiscal year is January - December
EBITDA,"-3,957,617","-2,932,847","-3,083,780","-8,665,663","-1,536,297","-316,044",Financials in USD,Fiscal year is January - December
EBITDA Margin,-283.185%,-231.579%,-189.482%,-187.174%,-93.749%,-15.967%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"22,677","44,994","60,250","70,245","28,771","23,536",Financials in USD,Fiscal year is January - December
EBIT,"-3,980,294","-2,977,841","-3,144,030","-8,735,908","-1,565,068","-339,580",Financials in USD,Fiscal year is January - December
EBIT Margin,-284.808%,-235.132%,-193.184%,-188.692%,-95.504%,-17.156%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,397,536","1,266,456","1,627,481","4,629,722","1,638,737","1,979,391",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"18,833","30,700","5,488",-,-,Financials in USD,Fiscal year is January - December
