Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,-,-,-,-,"3,405",-,"155,368","112,816","320,508","233,184",Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,"125,200",-,"42,016",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"125,200",-,"42,016",-,"3,405",-,"155,368","112,816","320,508","233,184",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),197.982%,-,1133.950%,-,-97.808%,-,-51.524%,-51.619%,-32.512%,-20.892%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,-,-,-,-,-,-,"-680,343","680,343","-1,228,777","1,228,777",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"125,200",-,"42,016",-,"3,405",-,"835,711","-567,527","1,549,285","-995,593",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","201,422",-,"211,812",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"333,488","405,492","378,893","929,457","857,333","605,801","1,609,230",-,"2,383,801",-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,-,-,-,-,"-33,001","33,001",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"555,839","1,149,095","590,705","930,707","857,333","605,801","1,609,230",-,"2,350,800","33,001",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-430,639","-1,149,095","-548,689","-930,707","-853,928","-605,801","-773,519","-567,527","-801,515","-1,028,594",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-50,581",-,"-8,494",-,-534,-,"-6,969",-,"-36,825",-,Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,-,"50,581",-,"8,494",-,534,-,"6,969",-,"36,825",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-17,485",-445,"-15,897","-4,283","6,197","6,729","47,518","-48,168","501,776","-203,706",Upgrade,Financials in AUD,Fiscal year is July - June
