Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021",,
Operating Revenue,"448,700,000","516,600,000","496,600,000","492,800,000","483,800,000","458,100,000","434,700,000",Financials in EUR,Fiscal year is January - December
Other Revenue,"2,200,000","3,800,000","1,900,000","2,300,000","2,000,000",-,-,Financials in EUR,Fiscal year is January - December
Revenue,"450,900,000","520,400,000","498,500,000","495,100,000","485,800,000","458,100,000","434,700,000",Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-9.549%,5.110%,2.614%,8.077%,11.755%,-,-,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"352,900,000","452,900,000","401,400,000","415,900,000","388,100,000","400,600,000","383,100,000",Financials in EUR,Fiscal year is January - December
Gross Profit,"98,000,000","67,500,000","97,100,000","79,200,000","97,700,000","57,500,000","51,600,000",Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","66,600,000","68,200,000","65,500,000","71,300,000","58,100,000","51,900,000","38,400,000",Financials in EUR,Fiscal year is January - December
Research & Development,"13,900,000","16,300,000","13,300,000","10,400,000","11,400,000","7,000,000","10,000,000",Financials in EUR,Fiscal year is January - December
Other Operating Expenses,-,"-400,000",-,"2,000,000","-2,000,000","500,000","2,000,000",Financials in EUR,Fiscal year is January - December
Operating Expenses,"80,500,000","84,100,000","78,800,000","83,700,000","67,500,000","59,400,000","50,400,000",Financials in EUR,Fiscal year is January - December
Operating Income,"17,500,000","-16,600,000","18,300,000","-4,500,000","30,200,000","-1,900,000","1,200,000",Financials in EUR,Fiscal year is January - December
Interest Expense,"-9,200,000","-5,000,000","-3,000,000","-1,300,000","-400,000","-300,000","-700,000",Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"3,000,000","500,000","300,000",-,"100,000","100,000","100,000",Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,300,000","-900,000","2,400,000","200,000","-1,300,000","1,100,000",-,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-500,000","1,000,000","-1,000,000","8,200,000","-100,000",-,"100,000",Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"12,100,000","-21,000,000","17,000,000","2,600,000","28,500,000","-1,000,000","700,000",Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,"-49,700,000","-8,000,000","-4,300,000","-1,300,000","-4,800,000","-3,700,000","-800,000",Financials in EUR,Fiscal year is January - December
Asset Writedown,"-3,900,000","-226,400,000",-,"-21,800,000",-,"-8,900,000",-,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"-900,000",-,Financials in EUR,Fiscal year is January - December
Pretax Income,"-41,500,000","-255,400,000","12,700,000","-20,500,000","23,700,000","-14,500,000","-100,000",Financials in EUR,Fiscal year is January - December
Income Tax Expense,"-6,700,000","-2,900,000","-50,100,000","11,200,000","7,000,000","-7,500,000","1,000,000",Financials in EUR,Fiscal year is January - December
Net Income,"-34,800,000","-252,500,000","62,800,000","-31,700,000","16,700,000","-7,000,000","-1,100,000",Financials in EUR,Fiscal year is January - December
Net Income to Common,"-34,800,000","-252,500,000","62,800,000","-31,700,000","16,700,000","-7,000,000","-1,100,000",Financials in EUR,Fiscal year is January - December
Net Income Growth,-,-,276.048%,-,-,-,-,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"94,300,000","94,500,000","93,900,000","94,600,000","92,800,000","90,000,000","90,000,000",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"95,900,000","94,500,000","95,500,000","94,600,000","93,200,000","90,000,000","90,000,000",Financials in EUR,Fiscal year is January - December
Shares Change (YoY),0.419%,-0.106%,2.468%,5.111%,3.556%,-,-,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.369,-2.672,0.669,-0.335,0.180,-0.078,-0.012,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.370,-2.681,0.660,-0.336,0.180,-0.080,-0.012,Financials in EUR,Fiscal year is January - December
EPS Growth,-,-,266.756%,-,-,-,-,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"9,900,000","-35,400,000","-111,300,000","14,100,000","-75,700,000","-29,100,000","-11,100,000",Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,0.103,-0.375,-1.165,0.149,-0.812,-0.323,-0.123,Financials in EUR,Fiscal year is January - December
Operating Margin,3.881%,-3.190%,3.671%,-0.909%,6.217%,-0.415%,0.276%,Financials in EUR,Fiscal year is January - December
Profit Margin,-7.718%,-48.520%,12.598%,-6.403%,3.438%,-1.528%,-0.253%,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,2.196%,-6.802%,-22.327%,2.848%,-15.583%,-6.352%,-2.553%,Financials in EUR,Fiscal year is January - December
EBITDA,"42,700,000","242,500,000","54,400,000","55,300,000","64,900,000","31,900,000","34,500,000",Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"25,200,000","259,100,000","36,100,000","59,800,000","34,700,000","33,800,000","33,300,000",Financials in EUR,Fiscal year is January - December
EBIT,"17,500,000","-16,600,000","18,300,000","-4,500,000","30,200,000","-1,900,000","1,200,000",Financials in EUR,Fiscal year is January - December
