Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019,,
Revenue,"26,994,762","25,157,606","12,491,839","9,385,992","7,633,656","611,829",Upgrade,Financials in CAD,Fiscal year is July - June
Revenue Growth (YoY),59.617%,101.392%,33.090%,22.955%,1147.678%,14537.057%,Upgrade,Financials in CAD,Fiscal year is July - June
Cost of Revenue,"18,086,328","17,153,388","8,812,172","7,165,398","3,006,939","240,429",Upgrade,Financials in CAD,Fiscal year is July - June
Gross Profit,"8,908,434","8,004,218","3,679,667","2,220,594","4,626,717","371,400",Upgrade,Financials in CAD,Fiscal year is July - June
"Selling, General & Admin","11,120,107","10,126,369","7,038,912","3,402,881","2,323,549","407,268",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Expenses,"12,225,520","11,255,097","9,023,271","5,552,803","2,467,408","429,621",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Income,"-3,317,086","-3,250,879","-5,343,604","-3,332,209","2,159,309","-58,221",Upgrade,Financials in CAD,Fiscal year is July - June
Interest Expense,"-775,067","-716,856","-30,188","-91,145","-315,182","-546,339",Upgrade,Financials in CAD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-23,295",-1,"66,665",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
EBT Excluding Unusual Items,"-4,115,448","-3,967,736","-5,307,127","-3,423,354","1,844,127","-604,560",Upgrade,Financials in CAD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"-1,787,040",-,Upgrade,Financials in CAD,Fiscal year is July - June
Pretax Income,"-4,115,448","-3,967,736","-5,307,127","-3,423,354","57,087","-604,560",Upgrade,Financials in CAD,Fiscal year is July - June
Income Tax Expense,-,-,-,"-335,447","335,447",-,Upgrade,Financials in CAD,Fiscal year is July - June
Net Income,"-4,115,448","-3,967,736","-5,307,127","-3,087,907","-278,360","-604,560",Upgrade,Financials in CAD,Fiscal year is July - June
Net Income to Common,"-4,115,448","-3,967,736","-5,307,127","-3,087,907","-278,360","-604,560",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Outstanding (Basic),"185,952,275","177,397,825","150,123,889","118,511,846","84,994,390","78,876,883",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Outstanding (Diluted),"185,952,275","177,397,825","150,123,889","118,511,846","84,994,390","78,876,883",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Change (YoY),17.825%,18.168%,26.674%,39.435%,7.756%,177.247%,Upgrade,Financials in CAD,Fiscal year is July - June
EPS (Basic),-0.022,-0.022,-0.035,-0.026,-0.003,-0.008,Upgrade,Financials in CAD,Fiscal year is July - June
EPS (Diluted),-0.022,-0.022,-0.035,-0.026,-0.003,-0.008,Upgrade,Financials in CAD,Fiscal year is July - June
Free Cash Flow,"-530,082","-534,838","-949,951","-312,713","-707,548","-718,531",Upgrade,Financials in CAD,Fiscal year is July - June
Free Cash Flow Per Share,-0.003,-0.003,-0.006,-0.003,-0.008,-0.009,Upgrade,Financials in CAD,Fiscal year is July - June
Gross Margin,33.001%,31.816%,29.456%,23.659%,60.609%,60.703%,Upgrade,Financials in CAD,Fiscal year is July - June
Operating Margin,-12.288%,-12.922%,-42.777%,-35.502%,28.287%,-9.516%,Upgrade,Financials in CAD,Fiscal year is July - June
Profit Margin,-15.245%,-15.772%,-42.485%,-32.899%,-3.646%,-98.812%,Upgrade,Financials in CAD,Fiscal year is July - June
Free Cash Flow Margin,-1.964%,-2.126%,-7.605%,-3.332%,-9.269%,-117.440%,Upgrade,Financials in CAD,Fiscal year is July - June
EBITDA,"-2,219,451","-2,167,803","-4,677,344","-3,124,810","2,338,221","43,267",Upgrade,Financials in CAD,Fiscal year is July - June
EBITDA Margin,-8.222%,-8.617%,-37.443%,-33.292%,30.630%,7.072%,Upgrade,Financials in CAD,Fiscal year is July - June
D&A For EBITDA,"1,097,635","1,083,076","666,260","207,399","178,912","101,488",Upgrade,Financials in CAD,Fiscal year is July - June
EBIT,"-3,317,086","-3,250,879","-5,343,604","-3,332,209","2,159,309","-58,221",Upgrade,Financials in CAD,Fiscal year is July - June
EBIT Margin,-12.288%,-12.922%,-42.777%,-35.502%,28.287%,-9.516%,Upgrade,Financials in CAD,Fiscal year is July - June
Effective Tax Rate,-,-,-,-,587.607%,-,Upgrade,Financials in CAD,Fiscal year is July - June
Revenue as Reported,"26,994,760","25,157,605","12,491,839","9,385,992","7,633,656","611,829",Upgrade,Financials in CAD,Fiscal year is July - June
