Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","296,765","236,479","503,405","156,507","578,574","358,181","817,739","845,410","840,855","1,023,830","769,391","517,016","48,597","11,223",Financials in USD,Fiscal year is January - December
Research & Development,"31,409","41,746","23,197","89,535","19,951","14,575","15,602","133,124","58,270","54,396","21,143","26,466","14,125","2,650",Financials in USD,Fiscal year is January - December
Operating Expenses,"328,174","278,225","526,602","246,042","598,525","372,756","833,341","978,534","899,125","1,078,226","790,534","543,482","62,722","13,873",Financials in USD,Fiscal year is January - December
Operating Income,"-328,174","-278,225","-526,602","-246,042","-598,525","-372,756","-833,341","-978,534","-899,125","-1,078,226","-790,534","-543,482","-62,722","-13,873",Financials in USD,Fiscal year is January - December
Pretax Income,"-328,174","-278,225","-526,602","-246,042","-598,525","-372,756","-833,341","-978,534","-899,125","-1,078,226","-790,534","-543,482","-62,722","-13,873",Financials in USD,Fiscal year is January - December
Net Income,"-328,174","-278,225","-526,602","-246,042","-598,525","-372,756","-833,341","-978,534","-899,125","-1,078,226","-790,534","-543,482","-62,722","-13,873",Financials in USD,Fiscal year is January - December
Net Income to Common,"-328,174","-278,225","-526,602","-246,042","-598,525","-372,756","-833,341","-978,534","-899,125","-1,078,226","-790,534","-543,482","-62,722","-13,873",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,351,391","11,337,668","11,337,107","10,028,865","9,999,132","9,999,132","9,999,132",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,346,535","11,351,391","11,337,668","11,337,107","10,028,865","9,999,132","9,999,132","9,999,132",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,-,-0.043%,0.078%,0.083%,13.139%,13.524%,13.387%,13.381%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.029,-0.025,-0.046,-0.022,-0.053,-0.033,-0.073,-0.086,-0.079,-0.095,-0.079,-0.054,-0.006,-0.001,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.029,-0.025,-0.046,-0.022,-0.053,-0.033,-0.073,-0.086,-0.079,-0.095,-0.079,-0.054,-0.006,-0.001,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-217,947","-209,182","-237,351","-295,031","-351,613","-522,909","-446,090","-622,261","-555,285","-1,003,287","363,781",-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.019,-0.018,-0.021,-0.026,-0.031,-0.046,-0.039,-0.055,-0.049,-0.088,0.036,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-327,266","-277,318","-525,694","-245,135","-597,617","-371,849","-832,433","-977,627","-898,218","-1,077,396","-789,857",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,908,907,908,907,908,907,908,907,907,830,677,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-328,174","-278,225","-526,602","-246,042","-598,525","-372,756","-833,341","-978,534","-899,125","-1,078,226","-790,534","-543,482","-62,722","-13,873",Financials in USD,Fiscal year is January - December
