Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,-,-,"105,469",-,"290,798",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-63.731%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"212,181",-,"1,192,232",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"-106,712",-,"-901,434",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,987,972",-,"2,329,889",-,"4,206,264",-,"3,062,199","1,110,077","1,522,960","1,150,152",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,963,664",-,"2,261,154",-,"3,563,883",-,"3,393,710","1,944,085","884,747","1,994,933",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-34,298",-,"-111,405",-,"-255,820",-,-,"-191,703","13,000","6,501",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,917,338",-,"4,479,638",-,"7,514,327",-,"6,455,909","2,862,459","2,420,707","3,151,586",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,917,338",-,"-4,586,350",-,"-8,415,761",-,"-6,455,909","-2,862,459","-2,420,707","-3,151,586",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,492",-,"-532,980",-,"-376,848",-,"-172,462","-131,999","-3,152","-3,367",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,513,-,240,-,-,-,-,258,-,"17,882",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-237,007",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-179,508",-,"-116,477",-,"58,293",-,"291,892","-303,531","-30,022","44,548",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-204,344",-,"449,713",-,"-428,742","-2,254,575","-215,262","132,480",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,339,832",-,"-5,439,911",-,"-8,284,603",-,"-6,765,221","-5,552,306","-2,669,143","-2,960,043",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"29,461",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,339,832",-,"-5,410,450",-,"-8,284,603",-,"-6,765,221","-5,552,306","-2,669,143","-2,960,043",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"10,596",-,"-46,085",-,"-10,642","-10,642","-10,642","67,557",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,339,832",-,"-5,421,046",-,"-8,238,518",-,"-6,754,579","-5,541,664","-2,658,501","-3,027,600",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,339,832",-,"-5,421,046",-,"-8,238,518",-,"-6,754,579","-5,541,664","-2,658,501","-3,027,600",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,060,714",-,"209,955",-,"38,745",-,"31,137","18,607","11,463",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,060,714",-,"209,955",-,"38,745",-,"31,137","18,607","11,463",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),881.503%,-,441.889%,-,24.434%,-,171.630%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.106,-,-25.820,-,-212.634,-,-216.931,-297.827,-231.920,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.106,-,-25.820,-,-212.634,-,-216.931,-297.827,-231.920,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,203,770",-,"-7,715,449",-,"-5,583,730",-,"-4,918,569","-3,213,961","-1,629,509","-3,202,436",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.555,-,-36.748,-,-144.115,-,-157.965,-172.729,-142.154,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-4348.529%,-,-2894.023%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-5139.943%,-,-2833.072%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-7315.371%,-,-1920.140%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,"-8,415,317",-,"-6,432,273","-2,854,661","-2,408,469","-3,134,805",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"46,191",444,"22,999","23,636","7,798","12,238","16,781",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,917,338",-,"-4,586,350",-,"-8,415,761",-,"-6,455,909","-2,862,459","-2,420,707","-3,151,586",Upgrade,Financials in USD,Fiscal year is January - December
