Fiscal Year,TTM,FY 2021,FY 2020,FY 2011,FY 2010,FY 2009,2008,Currency,Fiscal_Year_period
Period Ending,"Apr '22 Apr 30, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020","Jul '11 Jul 31, 2011","Jul '10 Jul 31, 2010","Jul '09 Jul 31, 2009",2008,,
Revenue,"6,939","5,238",-,"80,077","33,401","7,915",Upgrade,Financials in USD,Fiscal year is August - July
Revenue Growth (YoY),-,-,-,139.744%,321.996%,12.830%,Upgrade,Financials in USD,Fiscal year is August - July
Cost of Revenue,"2,441","4,295",-,"6,752",802,"1,795",Upgrade,Financials in USD,Fiscal year is August - July
Gross Profit,"4,498",943,-,"73,325","32,599","6,120",Upgrade,Financials in USD,Fiscal year is August - July
"Selling, General & Admin","695,459","168,140","1,632,091","40,536","262,522","1,153,975",Upgrade,Financials in USD,Fiscal year is August - July
Research & Development,"1,012,519","773,177","20,000",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"1,707,978","941,317","1,652,091","40,536","262,522","1,153,975",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-1,703,480","-940,374","-1,652,091","32,789","-229,923","-1,147,855",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-6,002","-20,400",-,"-71,641","-94,106","-42,332",Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-1,709,482","-960,774","-1,652,091","-38,852","-324,029","-1,190,187",Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Assets,-,-,-,"-3,600",-,-,Upgrade,Financials in USD,Fiscal year is August - July
Other Unusual Items,-,-,-,"223,262",-,-,Upgrade,Financials in USD,Fiscal year is August - July
Pretax Income,"-1,709,482","-960,774","-1,652,091","180,810","-324,029","-1,190,187",Upgrade,Financials in USD,Fiscal year is August - July
Income Tax Expense,-,-,-,-,-,"17,330",Upgrade,Financials in USD,Fiscal year is August - July
Net Income,"-1,709,482","-960,774","-1,652,091","180,810","-324,029","-1,207,517",Upgrade,Financials in USD,Fiscal year is August - July
Net Income to Common,"-1,709,482","-960,774","-1,652,091","180,810","-324,029","-1,207,517",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"452,856,689","393,192,510","302,721,539","26,368,000","26,368,000","23,332,165",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"452,856,689","393,192,510","302,721,539","26,368,000","26,368,000","23,332,165",Upgrade,Financials in USD,Fiscal year is August - July
Shares Change (YoY),49.595%,29.886%,1048.064%,-,13.011%,16.649%,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.004,-0.002,-0.005,0.007,-0.012,-0.052,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.004,-0.002,-0.005,0.007,-0.012,-0.052,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-1,027,341","-786,580","-42,564","12,091","-210,769","-153,241",Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.002,-0.002,-0.000,0.000,-0.008,-0.007,Upgrade,Financials in USD,Fiscal year is August - July
Gross Margin,64.822%,18.003%,-,91.568%,97.599%,77.322%,Upgrade,Financials in USD,Fiscal year is August - July
Operating Margin,-24549.359%,-17952.921%,-,40.947%,-688.372%,-14502.274%,Upgrade,Financials in USD,Fiscal year is August - July
Profit Margin,-24635.855%,-18342.383%,-,225.795%,-970.118%,-15256.058%,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Margin,-14805.318%,-15016.800%,-,15.099%,-631.026%,-1936.083%,Upgrade,Financials in USD,Fiscal year is August - July
EBITDA,-,-,-,"36,410","-215,610","-1,144,829",Upgrade,Financials in USD,Fiscal year is August - July
EBITDA Margin,-,-,-,45.469%,-,-,Upgrade,Financials in USD,Fiscal year is August - July
D&A For EBITDA,-,-,-,"3,621","14,313","3,026",Upgrade,Financials in USD,Fiscal year is August - July
EBIT,"-1,703,480","-940,374","-1,652,091","32,789","-229,923","-1,147,855",Upgrade,Financials in USD,Fiscal year is August - July
EBIT Margin,-,-,-,40.947%,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Advertising Expenses,-,"56,144",-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
