Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2015,,
Operating Revenue,"5,493,497","4,751,981","3,949,667","2,325,589","110,956",-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue,"5,493,497","4,751,981","3,949,667","2,325,589","110,956",-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),19.083%,20.313%,69.835%,1995.956%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"3,264,190","2,731,513","2,242,815","1,707,913","91,607",-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"2,229,307","2,020,468","1,706,852","617,676","19,349",-,Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","6,691,878","6,742,597","5,996,153","5,741,201","3,068,241","325,173",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"30,206","51,380","305,624","753,181","14,998",-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Operating Expenses,"-163,249",-,"-205,636","433,359",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"7,639,986","8,207,532","6,659,662","10,126,461","4,665,862","325,173",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-5,410,679","-6,187,064","-4,952,810","-9,508,785","-4,646,513","-325,173",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,"-234,685","-259,371","-55,925","-50,429","-10,724",-,Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"583,341","531,180","208,847","63,548","17,042",-,Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-16,986","-6,009","-19,478","-13,526","8,214",-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-160,847","10,294","-82,498",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-5,239,856","-5,910,970","-4,901,864","-9,509,192","-4,631,981","-325,173",Upgrade,Financials in CAD,Fiscal year is April - March
