Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,null 2020,Q1 2020,Q4 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
Revenue,"216,683,000","222,390,000","221,306,000","237,189,000","240,088,000","234,115,000","227,060,000","225,927,000","227,588,000","223,662,000","202,235,000","211,420,000","206,469,000","199,066,000","120,895,000","74,032,000","64,351,000",-,"42,849,000","24,331,734",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-9.749%,-5.008%,-2.534%,4.985%,5.492%,4.674%,12.275%,6.862%,10.229%,12.356%,67.282%,185.579%,220.848%,-,182.142%,204.261%,276.823%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"107,586,000","108,050,000","108,346,000","119,578,000","106,868,000","118,924,000","117,875,000","122,591,000","104,594,000","125,547,000","99,006,000","102,021,000","108,268,000","129,856,000","48,761,000","137,354,000","-50,651,000",-,"-4,442,000","10,316,579",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"109,097,000","114,340,000","112,960,000","117,611,000","133,220,000","115,191,000","109,185,000","103,336,000","122,994,000","98,115,000","103,229,000","109,399,000","98,201,000","69,210,000","72,134,000","-63,322,000","115,002,000",-,"47,291,000","14,015,155",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","92,327,000","87,074,000","90,289,000","69,894,000","86,316,000","84,660,000","75,243,000","68,770,000","85,710,000","100,263,000","89,560,000","81,774,000","76,477,000","70,013,000","42,665,000","19,101,000","11,136,000",-,"6,850,000","7,089,926",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"92,327,000","87,074,000","90,289,000","85,704,000","86,316,000","84,660,000","75,243,000","81,038,000","85,710,000","100,263,000","89,560,000","81,774,000","76,477,000","70,013,000","42,665,000","17,192,000","11,822,000",-,"9,026,000","8,162,129",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"16,770,000","27,266,000","22,671,000","31,907,000","46,904,000","30,531,000","33,942,000","22,298,000","37,284,000","-2,148,000","13,669,000","27,625,000","21,724,000","-803,000","29,469,000","-80,514,000","103,180,000",-,"38,265,000","5,853,026",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-12,771,000","-14,237,000","-15,114,000","-14,709,000","-15,166,000","-14,013,000","-15,906,000","-15,349,000","-11,785,000","-11,624,000","-10,671,000","-8,956,000","-8,113,000","-5,434,000","-1,767,000",-,"-4,543,000",-,"-3,887,000","-1,381,497",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,791,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"-45,000","-101,000","-160,000","-93,000","-209,000","-144,000","2,005,000","1,886,000","1,289,000","645,000","803,000","923,000","647,000",-,"269,000","-280,837",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-484,000","-1,195,000","-759,000","-1,415,000","2,145,000","-1,411,000","230,000","-14,836,000","-595,000","15,619,000","2,534,000","-2,073,000","233,000","-131,000","-867,000","1,192,320,000","5,202,000",-,"-182,000","-90,758",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"3,515,000","11,834,000","6,798,000","15,783,000","33,838,000","15,006,000","18,106,000","-7,980,000","24,695,000","1,703,000","7,537,000","18,482,000","15,133,000","-5,723,000","27,638,000","1,114,520,000","104,486,000",-,"34,465,000","4,099,934",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,"-4,612,000","-81,000",-,-,"-17,844,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-37,931,000",-,-,-,"-113,031,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"-6,571,000",-,-,-,"175,000","-171,000","14,099,000",-,-,-,-,"-1,000","458,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-604,000",-,"-143,000","-568,000","-234,000","-388,000","67,000","-408,000","1,518,000","-276,000","8,568,000","-647,000","-9,000","-429,000",-,"-1,655,000","-189,000",-,-,"5,017,349",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-13,686,000",-,-,-,"-116,151,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-3,068,000",-,"3,466,000",-,-,"910,000","20,932,000",-,-,-,"12,469,000",-,-,-,"-1,198,027,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"2,911,000","8,766,000","6,655,000","-32,936,000","27,033,000","14,618,000","19,083,000","-216,638,000","26,388,000","1,256,000","25,592,000","30,223,000","15,124,000","-6,152,000","9,794,000","-85,163,000","104,755,000",-,"34,465,000","9,117,283",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"45,478,000","30,530,000","11,477,000","44,350,000","44,797,000","27,679,000","28,320,000","-528,000","69,381,000","11,103,000","25,515,000","37,049,000","27,086,000","23,438,000","16,414,000","-1,772,000","17,879,000",-,"13,872,000","4,220,400",Upgrade,Financials in USD,Fiscal year is January - December
