Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","1,038,111","810,424","868,278","971,891",52,"16,929",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"2,016,579","1,671,677","1,949,201","1,502,439",-,"42,798",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"3,054,690","2,482,101","2,817,479","2,474,330",52,"59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-3,054,690","-2,482,101","-2,817,479","-2,474,330",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-264,469","-151,309",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"9,796","22,370","28,275","8,539",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,030","-1,885","-2,030","-3,741",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-3,051,607",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-3,311,393","-2,612,925","-2,791,234","-5,521,139",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-3,311,393","-2,612,925","-2,791,234","-5,521,139",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-3,311,393","-2,612,925","-2,791,234","-5,521,139",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"74,971,372","69,848,394","69,828,794","53,622,734",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"74,971,372","69,848,394","69,828,794","53,622,734",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),7.363%,0.028%,30.222%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.044,-0.037,-0.040,-0.103,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.044,-0.037,-0.040,-0.103,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-2,472,464","-1,861,711","-1,916,860","-2,308,183",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.033,-0.027,-0.027,-0.043,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-2,517,112","-1,945,992","-2,281,370","-2,061,599",-,"-59,535",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"537,578","536,109","536,109","412,731",-,192,Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-3,054,690","-2,482,101","-2,817,479","-2,474,330",-52,"-59,727",Upgrade,Financials in CAD,Fiscal year is January - December
