Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"13,000","13,000","692,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-98.121%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"13,000","13,000","602,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"90,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,185,000","11,185,000","9,742,000",Financials in USD,Fiscal year is January - December
Research & Development,"24,081,000","24,081,000","27,851,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"35,266,000","35,266,000","37,593,000",Financials in USD,Fiscal year is January - December
Operating Income,"-35,266,000","-35,266,000","-37,503,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-15,718,000","-15,718,000","74,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-50,984,000","-50,984,000","-37,429,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,000,000","-1,000,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-51,984,000","-51,984,000","-37,429,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-3,912,000","-3,912,000","584,000",Financials in USD,Fiscal year is January - December
Net Income,"-48,072,000","-48,072,000","-38,013,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-48,072,000","-48,072,000","-38,013,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,019,063","6,019,063","2,895,130",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,019,063","6,019,063","2,895,130",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,107.903%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-7.987,-7.987,-13.130,Financials in USD,Fiscal year is January - December
EPS (Diluted),-7.987,-7.987,-13.130,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,485,000","-29,485,000","-34,510,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.899,-4.899,-11.920,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,13.006%,Financials in USD,Fiscal year is January - December
Operating Margin,-271276.923%,-271276.923%,-5419.509%,Financials in USD,Fiscal year is January - December
Profit Margin,-369784.615%,-369784.615%,-5493.208%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-226807.692%,-226807.692%,-4986.994%,Financials in USD,Fiscal year is January - December
EBITDA,"-34,897,000","-34,897,000","-37,341,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"369,000","369,000","162,000",Financials in USD,Fiscal year is January - December
EBIT,"-35,266,000","-35,266,000","-37,503,000",Financials in USD,Fiscal year is January - December
