Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters,,
Revenue,"6,273,949","6,122,751","6,445,660","6,053,443","6,252,950","3,314,872","1,170,218","1,136,100","771,263","1,102,557","1,037,961","1,217,811","987,967","792,221","270,907","-282,267","881,956","709,468","260,903","122,715",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),0.336%,84.706%,450.808%,432.827%,710.742%,200.653%,12.742%,-6.710%,-21.934%,39.173%,283.143%,-,12.020%,11.664%,3.834%,-,17742.525%,4181.383%,986.055%,408.305%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"2,703,973","3,240,417","3,449,847","4,333,970","3,389,702","1,826,857","582,262","3,060,737","244,687","389,642","-762,526","-470,125","480,797","559,230","-132,815","970,674","2,192,932","763,214","-1,786,645","-520,373",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"3,569,976","2,882,334","2,995,813","1,719,473","2,863,248","1,488,015","587,956","-1,924,637","526,576","712,915","1,800,487","1,687,936","507,170","232,991","403,722","-1,252,941","-1,310,976","-53,746","2,047,548","643,088",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","3,812,053","3,518,906","3,289,824","4,021,791","3,402,147","2,686,826","1,777,902","2,426,364","2,402,887","2,345,572","2,045,487","3,747,231","2,762,910","2,519,136","2,840,555","4,436,965","2,954,438","2,924,462","3,185,943","7,102,556",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"4,345,976","4,675,781","3,885,735","4,531,559","4,209,464","3,347,550","2,949,754","3,001,031","2,922,743","3,149,788","2,452,199","4,906,312","3,081,665","2,938,237","3,319,014","5,491,840","4,360,261","4,532,917","4,033,278","8,217,533",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-776,000","-1,793,447","-889,922","-2,812,086","-1,346,216","-1,859,535","-2,361,798","-4,925,668","-2,396,167","-2,436,873","-651,712","-3,218,376","-2,574,495","-2,705,246","-2,915,292","-6,744,781","-5,671,237","-4,586,663","-1,985,730","-7,574,445",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-51,110","-72,581","-74,240","-171,827","-139,443","-66,905","-56,887","-626,657","-67,012","-429,424","-80,438","-426,266","-12,922","-31,270","-132,809","-121,901","-47,282","-93,928","-52,780","-71,402",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,501",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-13,455","-25,727","-10,106","-2,890",-990,"-16,262","-8,209","133,171","-7,058","-25,079","-10,504","-46,110","-6,186","-14,649","-10,474","-28,666","25,441","-65,292","-9,009","-299,405",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"55,056","-53,428","-43,360","-65,179","62,488","183,799","-83,875","-7,519","-424,638","58,585","-196,422","-27,967","-77,238","-16,584","-97,924","-993,552","546,308","-2,213,454","-62,017","-752,674",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-785,509","-1,945,183","-1,017,628","-3,051,982","-1,424,161","-1,758,903","-2,510,769","-5,426,673","-2,894,875","-2,832,791","-939,076","-3,718,719","-2,670,841","-2,767,749","-3,156,499","-7,888,900","-5,146,770","-6,959,337","-2,109,536","-8,667,425",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,520,382","-686,845",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-338,213",-,-,-,"518,141",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-879,-,-,659,82,-343,"2,414","2,584","5,001","-1,530,994",-,-,-,"-1,762","53,738",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-1,118,467",-,-,-,"-4,160,727",-,-,-,"-10,255,672",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-786,388","-1,945,183","-1,017,628","-3,051,323","-1,424,079","-1,759,246","-2,508,355","-6,542,556","-2,889,874","-4,363,785","-939,076","-8,217,659","-2,670,841","-2,769,511","-3,102,761","-17,626,431","-7,667,152","-7,646,182","-2,109,536","-8,667,425",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"13,767",-,-,-,"-2,187,601",-,-,-,"-1,033,393",Upgrade,Financials in CAD,Fiscal year is January - December
