Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"897,568,000","938,452,000","879,412,000","737,850,000","228,530,000","65,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-3.195%,6.714%,19.186%,222.868%,246.426%,112.147%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"443,560,000","463,246,000","456,350,000","406,831,000","92,961,000","29,928,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"454,008,000","475,206,000","423,062,000","331,019,000","135,569,000","36,040,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","339,584,000","316,118,000","344,301,000","270,929,000","43,263,000","36,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"355,394,000","331,928,000","356,569,000","270,929,000","43,263,000","39,137,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"98,614,000","143,278,000","66,493,000","60,090,000","92,306,000","-3,097,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-56,831,000","-59,793,000","-49,431,000","-24,270,000","-10,458,000","-789,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,"390,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"-306,000","1,558,000","4,623,000","2,692,000","-456,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,853,000","1,127,000","2,721,000","-2,837,000","-701,000","94,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"37,930,000","84,306,000","21,341,000","37,606,000","83,839,000","-3,858,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-37,931,000","-37,931,000","-113,031,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-6,571,000","14,103,000",-,"457,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-1,315,000","-1,123,000","9,403,000","-1,085,000","-1,844,000","-4,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-13,686,000","-13,686,000","-116,151,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"398,000","2,803,000","20,932,000","12,469,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,604,000","27,798,000","-163,403,000","48,990,000","82,452,000","-8,491,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"131,835,000","145,146,000","105,470,000","103,988,000","42,296,000","10,333,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-146,439,000","-117,348,000","-268,873,000","-54,998,000","40,156,000","-18,824,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"78,000",-,"-291,000","-2,509,000","-1,755,000","551,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-146,361,000","-117,348,000","-269,164,000","-57,507,000","38,401,000","-18,273,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-146,361,000","-117,348,000","-269,164,000","-57,507,000","38,401,000","-18,273,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"345,956,513","342,774,236","331,409,315","290,443,432","263,919,366","261,432,115",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"345,956,513","342,774,236","331,409,315","290,443,432","270,719,280","261,432,115",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.352%,3.429%,14.105%,7.286%,3.552%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.423,-0.342,-0.812,-0.198,0.146,-0.070,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.423,-0.342,-0.812,-0.200,0.140,-0.070,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"6,413,000","73,380,000","-24,827,000","41,607,000","11,474,000","-65,701,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.019,0.214,-0.075,0.143,0.042,-0.251,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,50.582%,50.637%,48.107%,44.863%,59.322%,54.632%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,10.987%,15.267%,7.561%,8.144%,40.391%,-4.695%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-16.306%,-12.504%,-30.607%,-7.794%,16.803%,-27.700%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,0.714%,7.819%,-2.823%,5.639%,5.021%,-99.595%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"242,338,000","284,411,000","207,880,000","156,334,000","100,172,000","4,296,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,26.999%,30.306%,23.639%,21.188%,43.833%,6.512%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"143,724,000","141,133,000","141,387,000","96,244,000","7,866,000","7,393,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"98,614,000","143,278,000","66,493,000","60,090,000","92,306,000","-3,097,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,10.987%,15.267%,7.561%,8.144%,40.391%,-4.695%,Upgrade,Financials in USD,Fiscal year is January - December
