Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"12,131,191","7,049,639","13,995,909","12,267,811","5,375,226","8,383,690","11,909,228","23,013,553","13,434,493","16,885,479","12,080,307","6,492,956","3,540,260","3,114,937","2,478,280","3,131,159","2,869,892","3,961,772","3,805,497","4,777,122",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),125.687%,-15.912%,17.522%,-46.693%,-59.989%,-50.350%,-1.416%,254.439%,279.478%,442.081%,387.447%,107.366%,23.359%,-21.375%,-34.876%,-34.455%,-52.251%,-56.464%,-47.583%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,640,691","3,700,364","9,961,882","5,437,411","3,201,517","6,581,605","7,407,431","7,091,853","4,609,614","5,222,712","4,078,717","2,178,073","1,529,689","1,279,294","929,766","1,039,794","1,027,154","1,406,100","1,325,712","1,827,822",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"5,490,500","3,349,275","4,034,027","6,830,400","2,173,709","1,802,085","4,501,797","15,921,700","8,824,879","11,662,767","8,001,590","4,314,883","2,010,571","1,835,643","1,548,514","2,091,365","1,842,738","2,555,672","2,479,785","2,949,300",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,365,984","3,371,952","3,526,955","9,323,359","1,930,243","1,972,528","4,017,501","15,748,579","8,921,172","11,248,363","9,011,508","5,287,268","2,861,376","2,668,043","1,969,874","1,618,763","1,393,990","2,253,086","2,289,269","2,843,990",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-5,536",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,156,790","4,051,787","3,537,090","10,589,121","3,084,817","3,265,578","5,469,906","19,865,503","10,481,225","13,397,055","10,359,300","6,764,060","7,558,037","2,831,729","1,982,367","1,631,132","1,406,360","2,265,455","2,301,638","2,092,577",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"333,710","-702,512","496,937","-3,758,721","-911,108","-1,463,493","-968,109","-3,943,803","-1,656,346","-1,734,288","-2,357,710","-2,449,177","-5,547,466","-996,086","-433,853","460,233","436,378","290,217","178,147","856,723",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-211,457","-300,540","-327,174","-563,931","-278,153","-226,211","-279,316","-472,374","-373,740","-248,078","-297,492","-411,732","-618,263","-630,387","-558,711","-96,186","-3,679","-4,043","-4,391","-1,539",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,185,65,-,-,-,-,"1,900","20,246","17,772",-,-,-,864,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-110,359","189,778","51,770","-37,170","-16,591","-151,555","-35,038","-21,913","-15,336","-53,797","-37,961","-10,546","-15,220","21,431",-241,-351,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,127,897","-6,312,707","-417,007","1,311,676","1,588,246","-847,193","-1,228,116","-107,786","147,134","304,597","-102,369","230,930","165,481","114,261","288,273","-2,734,684","-509,906",-,-,-864,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,139,791","-7,125,981","-195,474","-3,048,146","382,394","-2,688,452","-2,510,579","-4,545,691","-1,898,223","-1,731,566","-2,795,532","-2,640,525","-6,015,468","-1,488,881","-684,286","-2,353,216","-77,207","286,174","173,756","855,184",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,"-105,219","-371,227",-,"-420,754",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-10,928,429",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"10,591",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-834,272",-,-,-,"-1,824,289",-,-,-,"-2,524,600",-,-,-,"-11,886",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
