Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"431,619","553,956","805,600","827,100",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-26.633%,-31.237%,-2.599%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"210,040","236,222","423,569","553,155",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"221,579","317,734","382,031","273,945",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","418,115","583,595","1,370,114","3,303,120","834,167","508,596",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"451,078","656,483","1,738,471","4,906,968","2,021,138","2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-229,499","-338,749","-1,356,440","-4,633,023","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,"-81,232","-52,564","-4,447",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-219,283","-419,981","-1,409,004","-4,637,470","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-219,283","-419,981","-1,409,004","-4,637,470","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-219,283","-419,981","-1,409,004","-4,637,470","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-219,283","-419,981","-1,409,004","-4,637,470","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"280,504,320","280,343,234","280,120,290","260,617,139","190,399,252","65,887,914",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"280,504,320","280,343,234","280,120,290","260,617,139","190,399,252","65,887,914",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),0.106%,0.080%,7.483%,36.879%,188.974%,275.937%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.001,-0.001,-0.005,-0.018,-0.011,-0.031,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.001,-0.005,-0.018,-0.011,-0.031,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"62,328","-18,620","-441,353","-3,977,219","-1,026,782","-378,083",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,0.000,-0.000,-0.002,-0.015,-0.005,-0.006,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,51.337%,57.357%,47.422%,33.121%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-53.172%,-61.151%,-168.376%,-560.153%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-50.805%,-75.815%,-174.901%,-560.690%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,14.441%,-3.361%,-54.786%,-480.863%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-201,997","-271,322","-1,251,467","-4,553,916","-2,002,456",-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-46.800%,-48.979%,-155.346%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"27,502","67,427","104,973","79,107","18,682",-,Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-229,499","-338,749","-1,356,440","-4,633,023","-2,021,138","-2,041,096",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-53.172%,-61.151%,-168.376%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"431,619","553,956","805,600","827,100",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
