Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+8 Quarters,,
Rental Revenue,-,"3,830,000","3,894,000","4,059,000","-12,517,000","4,171,000","4,136,000","4,211,000","4,751,000","5,428,000","5,489,000","5,269,000","5,157,000","5,198,000","2,298,000","1,321,000","1,137,000","621,000","354,000","338,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Revenue,-,-,-,-,-,-,-,-,"-234,000",-,-,-,-,"-1,000","-243,000","-9,000","120,000","-309,000","-158,000",-,Upgrade,Financials in USD,Fiscal year is October - September
Total Revenue,-,"3,830,000","3,894,000","4,059,000","-12,517,000","4,171,000","4,136,000","4,211,000","4,517,000","5,428,000","5,489,000","5,269,000","5,157,000","5,197,000","2,055,000","1,312,000","1,257,000","312,000","196,000","338,000",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY,-,-8.175%,-5.851%,-3.610%,-,-23.158%,-24.649%,-20.080%,-12.410%,4.445%,167.105%,301.601%,310.263%,1565.705%,948.469%,288.166%,257.042%,-3.749%,-36.766%,9.092%,Upgrade,Financials in USD,Fiscal year is October - September
Property Expenses,-,"2,787,000","3,310,000","4,006,000","-10,691,000","3,500,000","3,796,000","3,395,000","3,418,000","3,948,000","3,562,000","3,459,000","4,244,000","3,420,000","1,573,000","1,069,000","1,859,000","258,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Administrative",-,"2,475,000","2,371,000","2,731,000","-5,229,000","3,210,000","3,807,000","4,905,000","4,232,000","4,952,000","4,126,000","4,720,000","3,289,000","2,557,000","4,350,000","3,138,000","10,027,000","3,481,000","2,748,000","3,123,000",Upgrade,Financials in USD,Fiscal year is October - September
Total Operating Expenses,-,"5,262,000","5,681,000","6,737,000","-15,920,000","6,710,000","7,603,000","8,300,000","7,650,000","8,900,000","7,688,000","8,179,000","7,533,000","5,977,000","5,923,000","4,207,000","11,886,000","3,739,000","2,748,000","3,123,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,-,"-1,432,000","-1,787,000","-2,678,000","3,403,000","-2,539,000","-3,467,000","-4,089,000","-3,133,000","-3,472,000","-2,199,000","-2,910,000","-2,376,000","-780,000","-3,868,000","-2,895,000","-10,629,000","-3,427,000","-2,552,000","-2,785,000",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,-,"-253,000","-590,000","-287,000","-45,000","-247,000","-180,000","-178,000","-355,000","-243,000","-646,000","-710,000","-410,000","-753,000","-863,000","-408,000","-1,486,000","-306,000","-241,000","-558,000",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),-,"188,000","46,000","-288,000","-62,000","89,000","-68,000","41,000","62,000","50,000","22,000","-43,000","-223,000","187,000","89,000","-69,000","36,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non-Operating Income,-,"105,000","62,000","174,000","-104,000","2,366,000","254,000","1,748,000","2,521,000","7,336,000","-5,074,000","298,000","548,000","399,000","-133,000","60,000","2,220,000",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,-,"-1,392,000","-2,269,000","-3,079,000","3,192,000","-331,000","-3,461,000","-2,478,000","-905,000","3,671,000","-7,897,000","-3,365,000","-2,461,000","-947,000","-4,775,000","-3,312,000","-9,859,000","-3,733,000","-2,793,000","-3,343,000",Upgrade,Financials in USD,Fiscal year is October - September
