Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020","Oct '19 Oct 31, 2019","Jul '19 Jul 31, 2019","Apr '19 Apr 30, 2019","Jan '19 Jan 31, 2019","Oct '18 Oct 31, 2018","Jul '18 Jul 31, 2018","Apr '18 Apr 30, 2018",+20 Quarters,,
"Selling, General & Admin","3,009,912","2,538,497","2,812,797","2,517,105","2,590,893","3,269,723","6,083,837","2,847,151","3,110,696","3,240,732","2,694,310","3,731,517","7,468,375","4,418,217","2,782,186","2,691,796","3,733,408","2,764,089","5,746,762","5,138,942",Upgrade,Financials in USD,Fiscal year is August - July
Research & Development,"4,653,595","4,768,372","5,319,626","7,030,607","6,825,540","6,645,771","7,793,121","7,589,779","8,915,381","9,799,361","7,510,597","6,103,163","6,055,218","5,420,159","4,737,031","4,222,193","4,746,530","4,739,445","6,854,206","4,153,228",Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"7,663,507","7,306,869","8,132,423","9,547,712","9,416,433","9,915,494","13,876,958","10,436,930","12,026,077","13,040,093","10,204,907","9,834,680","13,523,593","9,838,376","7,519,217","6,913,989","8,479,938","7,503,534","12,600,968","9,292,170",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-7,663,507","-7,306,869","-8,132,423","-9,547,712","-9,416,433","-9,915,494","-13,876,958","-10,436,930","-12,026,077","-13,040,093","-10,204,907","-9,834,680","-13,523,593","-9,838,376","-7,519,217","-6,913,989","-8,479,938","-7,503,534","-12,600,968","-9,292,170",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-33,551","-11,081","-4,797","-2,701","-5,382","-8,045","-3,270","-1,732","-4,722","-6,134","-4,044",-,-78,-992,"-2,818",-987,-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Currency Exchange Gain (Loss),"853,764","-781,546","-110,314","-36,191","-480,072","116,924","-331,124","35,365","328,592","-176,917","360,146","-108,409","-154,672","-3,503","-95,506","-77,965","63,912","-171,914","-63,878",-,Upgrade,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),"-14,636","38,098","31,269","2,182","-2,583","-2,010","-1,364","1,723",-440,-623,"3,033","54,908","46,768","82,387","106,372","113,360","105,903","114,402","225,314","91,217",Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-6,857,930","-8,061,398","-8,216,265","-9,584,422","-9,904,470","-9,808,625","-14,212,716","-10,401,574","-11,702,647","-13,223,767","-9,845,772","-9,888,181","-13,631,575","-9,760,484","-7,511,169","-6,879,581","-8,310,123","-7,561,046","-12,439,532","-9,200,953",Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-12,134",-,-,Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-703,-,-,-,-,"-859,600",Upgrade,Financials in USD,Fiscal year is August - July
Other Unusual Items,-,-,-,-,-,-,-,"960,790",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
