Fiscal Year,TTM,FY 2020,FY 2019,FY 2018,FY 2017,FY 2016,2015,Currency,Fiscal_Year_period
Period Ending,"Sep '21 Sep 30, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016",2015,,
"Selling, General & Admin","1,570,000","1,871,000","3,661,000","3,352,000","3,129,000","3,451,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-2,055,000","-2,055,000","5,790,000","7,750,000","1,674,000","1,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"-485,000","-184,000","9,451,000","11,102,000","4,803,000","5,073,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"485,000","184,000","-9,451,000","-11,102,000","-4,803,000","-5,073,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,931,000","-225,000","-209,000","-153,000","-12,000","-180,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"115,000","115,000","-269,000","54,000","-54,000","-7,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,712,000","2,712,000","520,000","14,016,000","-17,298,000","629,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"381,000","2,786,000","-9,409,000","2,815,000","-22,167,000","-4,631,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-113,000","-6,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-15,630,000","-15,630,000","-33,769,000","-2,493,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"12,170,000","12,170,000","17,344,000","6,514,000","-9,583,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,079,000","-674,000","-25,834,000","6,836,000","-31,863,000","-11,554,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-4,884,000","-4,884,000","-4,622,000","-99,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,718,000","4,210,000","-21,212,000","6,935,000","-31,863,000","-11,554,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,718,000","4,210,000","-21,212,000","6,935,000","-31,863,000","-11,554,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,411,354","26,691,185","22,440,662","9,775,416","6,206,783","1,470,396",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,411,354","26,691,185","22,440,662","10,917,170","6,206,783","1,470,396",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.437%,18.941%,105.554%,75.891%,322.116%,39.746%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.133,0.158,-0.945,0.709,-5.134,-7.858,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.133,0.158,-0.945,-0.200,-5.200,-7.858,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-953,000","-309,000","-6,483,000","-4,848,000","-5,561,000","-1,636,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.027,-0.012,-0.289,-0.444,-0.896,-1.113,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,"-4,784,000","-5,054,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,"19,000","19,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"485,000","184,000","-9,451,000","-11,102,000","-4,803,000","-5,073,000",Upgrade,Financials in USD,Fiscal year is January - December
