Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
Revenue,"561,371,000","448,218,000","391,311,000","316,109,000","309,589,000","260,528,000","229,568,000","224,452,000","166,394,000","151,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),43.459%,41.792%,26.397%,21.334%,34.857%,16.073%,37.967%,48.177%,36.525%,27.509%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"254,385,000","213,713,000","216,263,000","180,524,000","141,091,000","116,629,000","90,949,000","76,732,000","58,221,000","50,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"306,986,000","234,505,000","175,048,000","135,585,000","168,498,000","143,899,000","138,619,000","147,720,000","108,173,000","101,391,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","217,511,000","199,820,000","187,919,000","184,221,000","166,590,000","187,895,000","114,582,000","120,258,000","77,424,000","68,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"236,384,000","225,496,000","207,331,000","212,490,000","177,606,000","183,271,000","175,130,000","147,950,000","115,451,000","123,186,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"457,758,000","427,727,000","397,617,000","396,328,000","345,731,000","370,863,000","290,943,000","267,564,000","192,875,000","191,673,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-150,772,000","-193,222,000","-222,569,000","-260,743,000","-177,233,000","-226,964,000","-152,324,000","-119,844,000","-84,702,000","-90,282,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-14,226,000","-15,047,000","-12,463,000","-9,966,000","-3,303,000","-1,236,000","-1,142,000",-,"-4,510,000","-394,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"43,778,000","47,271,000","25,915,000","8,847,000","4,371,000","6,552,000",-,"6,785,000","4,312,000","2,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"230,000",-,-,-,-,-,"-285,000","-314,000","-169,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"62,111,000",-,-,-,-,-,-,"-1,257,000","1,257,000","3,623,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,788,000","-14,512,000","-805,000","6,832,000","-7,787,000","-8,362,000","4,842,000","-11,245,000","-74,523,000","7,443,000",Upgrade,Financials in USD,Fiscal year is January - December
