Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019,,
"Selling, General & Admin","2,185,652","2,957,692","2,604,092","3,142,291","1,061,224","59,746",Upgrade,Financials in CAD,Fiscal year is July - June
Research & Development,"2,932,454","3,861,452","3,581,365","3,760,262","1,158,504","433,451",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Expenses,"11,120,826","12,746,726","6,494,458","7,273,823","2,825,745","673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Operating Income,"-11,120,826","-12,746,726","-6,494,458","-7,273,823","-2,825,745","-673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Interest Expense,"-409,924","-397,854","-262,933",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
Interest & Investment Income,"6,897","21,886","6,809",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
Currency Exchange Gain (Loss),"16,225","4,803","-66,299","-23,867",-,-,Upgrade,Financials in CAD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-95,124","-75,154","-50,902","-46,308","-33,509",-,Upgrade,Financials in CAD,Fiscal year is July - June
Pretax Income,"-11,602,752","-13,193,045","-6,867,783","-7,343,998","-2,859,254","-673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Income Tax Expense,-,-,"-105,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
Net Income,"-11,602,752","-13,193,045","-6,762,783","-7,343,998","-2,859,254","-673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Net Income to Common,"-11,602,752","-13,193,045","-6,762,783","-7,343,998","-2,859,254","-673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Outstanding (Basic),"45,045,493","44,632,421","39,660,282","36,077,323","26,596,154","943,207",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Outstanding (Diluted),"45,045,493","44,632,421","39,660,282","36,077,323","26,596,154","943,207",Upgrade,Financials in CAD,Fiscal year is July - June
Shares Change (YoY),8.817%,12.537%,9.931%,35.649%,2719.758%,-,Upgrade,Financials in CAD,Fiscal year is July - June
EPS (Basic),-0.258,-0.296,-0.171,-0.204,-0.108,-0.714,Upgrade,Financials in CAD,Fiscal year is July - June
EPS (Diluted),-0.258,-0.296,-0.171,-0.204,-0.108,-0.714,Upgrade,Financials in CAD,Fiscal year is July - June
Free Cash Flow,"-2,976,052","-4,491,619","-7,723,231","-6,044,395","-2,289,649","-132,829",Upgrade,Financials in CAD,Fiscal year is July - June
Free Cash Flow Per Share,-0.066,-0.101,-0.195,-0.168,-0.086,-0.141,Upgrade,Financials in CAD,Fiscal year is July - June
EBITDA,"-11,051,619","-12,675,782","-6,480,635",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
D&A For EBITDA,"69,207","70,944","13,823",-,-,-,Upgrade,Financials in CAD,Fiscal year is July - June
EBIT,"-11,120,826","-12,746,726","-6,494,458","-7,273,823","-2,825,745","-673,182",Upgrade,Financials in CAD,Fiscal year is July - June
Advertising Expenses,-,"1,710,061","1,962,702","2,524,152",-,-,Upgrade,Financials in CAD,Fiscal year is July - June
