Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"26,461,000","21,162,000","20,675,000","21,943,000","21,607,000","22,451,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),25.105%,2.356%,-5.779%,1.555%,-3.759%,-1.310%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,086,000","4,069,000","3,992,000","3,684,000","3,057,000","2,906,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"21,375,000","17,093,000","16,683,000","18,259,000","18,550,000","19,545,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,684,000","5,425,000","4,546,000","5,112,000","6,257,000","7,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"29,000","139,000","98,000","88,000","129,000","396,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,492,000","6,791,000","5,633,000","5,200,000","6,386,000","8,043,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"9,883,000","10,302,000","11,050,000","13,059,000","12,164,000","11,502,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-80,000","-323,000","-965,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,429,000","1,870,000","464,000",-,"32,000","179,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"39,000","778,000","-35,000","83,000","88,000","-109,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"5,000","4,000","11,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"11,351,000","12,950,000","11,479,000","13,067,000","11,965,000","10,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,861,000","-269,000",-,-,"-154,000","-1,454,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-758,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-5,275,000","-3,454,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-1,250,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"9,490,000","12,681,000","11,479,000","11,059,000","6,536,000","5,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-6,366,000","-7,702,000","-15,157,000","3,301,000","2,150,000","3,071,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"15,856,000","20,383,000","26,636,000","7,758,000","4,386,000","2,639,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,"163,000","603,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"15,856,000","20,383,000","26,636,000","7,758,000","4,549,000","3,242,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"15,856,000","20,383,000","26,636,000","7,758,000","4,549,000","3,242,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-51.075%,-23.476%,243.336%,70.543%,40.315%,497.053%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,385,968","25,004,838","25,376,290","26,597,842","27,025,028","26,849,983",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,888,417","25,422,202","25,799,159","26,830,021","27,365,118","26,955,758",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.823%,-1.461%,-3.842%,-1.955%,1.519%,-0.153%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.650,0.815,1.050,0.292,0.168,0.121,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.633,0.800,1.030,0.290,0.166,0.121,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-49.997%,-22.330%,255.174%,74.745%,37.445%,672.663%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-66,980,000","15,978,000","10,644,000","13,814,000","11,680,000","7,135,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.691,0.629,0.413,0.515,0.427,0.265,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,80.779%,80.772%,80.692%,83.211%,85.852%,87.056%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,37.349%,48.682%,53.446%,59.513%,56.297%,51.232%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,59.922%,96.319%,128.832%,35.355%,21.053%,14.440%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-253.127%,75.503%,51.482%,62.954%,54.057%,31.780%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"12,573,000","11,440,000","11,951,000","13,659,000","13,222,000","12,543,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,47.515%,54.059%,57.804%,62.248%,61.193%,55.868%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,690,000","1,138,000","901,000","600,000","1,058,000","1,041,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"9,883,000","10,302,000","11,050,000","13,059,000","12,164,000","11,502,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,37.349%,48.681%,53.446%,59.513%,56.297%,51.231%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,29.849%,32.895%,53.783%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"26,461,000","21,162,000","20,675,000","21,943,000","21,607,000","22,451,000",Upgrade,Financials in USD,Fiscal year is January - December
