Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020",,
Revenue,"-12,060","314,747","67,910","216,379","23,025","27,702","9,367",-,-,-,-,Financials in CAD,Fiscal year is May - April
Revenue Growth (YoY),-,1036.189%,624.992%,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is May - April
Cost of Revenue,"71,265","112,916","45,880","148,305","17,168","15,977","5,330",-,-,-,-,Financials in CAD,Fiscal year is May - April
Gross Profit,"-83,325","201,831","22,030","68,074","5,857","11,725","4,037",-,-,-,-,Financials in CAD,Fiscal year is May - April
"Selling, General & Admin","447,375","572,599","759,073","833,948","1,165,459","1,850,569","1,093,971","1,209,032","1,649,975","1,340,385","718,100",Financials in CAD,Fiscal year is May - April
Research & Development,"56,250","169,256","144,345","130,583","133,928","138,338","252,955","101,827","216,542","14,202",-,Financials in CAD,Fiscal year is May - April
Operating Expenses,"563,420","805,320","1,024,304","1,411,360","1,806,629","2,890,790","1,958,551","8,360,822","5,619,349","4,341,111","812,790",Financials in CAD,Fiscal year is May - April
Operating Income,"-646,745","-603,489","-1,002,274","-1,343,286","-1,800,772","-2,879,065","-1,954,514","-8,360,822","-5,619,349","-4,341,111","-812,790",Financials in CAD,Fiscal year is May - April
Interest Expense,-2,-,-31,"-15,220","-15,692","-16,316","-16,916","-17,495",-,-,-,Financials in CAD,Fiscal year is May - April
Interest & Investment Income,-,-,-,"30,000",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is May - April
Currency Exchange Gain (Loss),"-3,757","1,908","-3,822","-3,499","-2,983","-31,213","11,899","-8,510","-3,508","-4,640","6,658",Financials in CAD,Fiscal year is May - April
Other Non Operating Income (Expenses),"-103,638","-134,393","-146,788","-1,124,676","-212,192","-264,302","-1,011,659","-2,611,945","-7,537,404","-1,058,564","-11,153",Financials in CAD,Fiscal year is May - April
EBT Excluding Unusual Items,"-754,142","-735,974","-1,152,915","-2,456,681","-2,031,639","-3,190,896","-2,971,190","-10,998,772","-13,160,261","-5,404,315","-817,285",Financials in CAD,Fiscal year is May - April
Asset Writedown,-,"-912,139","-21,286","-8,909,836","-156,840","-2,726,466",-,-,-,-,-,Financials in CAD,Fiscal year is May - April
Other Unusual Items,"62,604","-830,547",-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is May - April
Pretax Income,"-691,538","-2,478,660","-1,174,201","-11,366,517","-2,188,479","-5,917,362","-2,971,190","-10,998,772","-13,160,261","-5,404,315","-817,285",Financials in CAD,Fiscal year is May - April
Net Income,"-691,538","-2,478,660","-1,174,201","-11,366,517","-2,188,479","-5,917,362","-2,971,190","-10,998,772","-13,160,261","-5,404,315","-817,285",Financials in CAD,Fiscal year is May - April
Net Income to Common,"-691,538","-2,478,660","-1,174,201","-11,366,517","-2,188,479","-5,917,362","-2,971,190","-10,998,772","-13,160,261","-5,404,315","-817,285",Financials in CAD,Fiscal year is May - April
Shares Outstanding (Basic),"9,713,755","6,074,529","5,479,071","4,772,398","4,243,727","4,163,548","3,938,930","3,111,133","2,558,445","1,615,171","552,791",Financials in CAD,Fiscal year is May - April
Shares Outstanding (Diluted),"9,713,755","6,074,529","5,479,071","4,772,398","4,243,727","4,163,548","3,938,930","3,111,133","2,558,445","1,615,171","552,791",Financials in CAD,Fiscal year is May - April
Shares Change (YoY),128.897%,45.898%,39.100%,53.397%,65.871%,157.778%,612.553%,-,-,-,-,Financials in CAD,Fiscal year is May - April
EPS (Basic),-0.071,-0.408,-0.214,-2.382,-0.516,-1.421,-0.754,-3.535,-5.144,-3.346,-1.478,Financials in CAD,Fiscal year is May - April
EPS (Diluted),-0.071,-0.410,-0.214,-2.382,-0.516,-1.500,-0.754,-3.535,-5.144,-3.346,-1.478,Financials in CAD,Fiscal year is May - April
Free Cash Flow,"289,121","-558,045","-890,503","-1,449,783","-1,462,685","-2,477,753","-2,587,913","-4,311,249","-3,575,722","-1,616,383","-951,254",Financials in CAD,Fiscal year is May - April
Free Cash Flow Per Share,0.030,-0.092,-0.163,-0.304,-0.345,-0.595,-0.657,-1.386,-1.398,-1.001,-1.721,Financials in CAD,Fiscal year is May - April
Gross Margin,-,64.125%,32.440%,31.461%,25.438%,42.325%,43.098%,-,-,-,-,Financials in CAD,Fiscal year is May - April
Operating Margin,-,-191.738%,-1475.886%,-620.802%,-7820.942%,-10392.986%,-20865.955%,-,-,-,-,Financials in CAD,Fiscal year is May - April
Profit Margin,-,-787.509%,-1729.055%,-5253.059%,-9504.795%,-21360.775%,-31719.761%,-,-,-,-,Financials in CAD,Fiscal year is May - April
Free Cash Flow Margin,-,-177.300%,-1311.299%,-670.020%,-6352.595%,-8944.311%,-27627.981%,-,-,-,-,Financials in CAD,Fiscal year is May - April
EBITDA,"-646,640","-603,384","-980,278","-1,201,601","-1,668,737","-2,731,562","-1,823,696","-5,656,060","-4,460,374","-3,982,081",-,Financials in CAD,Fiscal year is May - April
EBITDA Margin,-,-191.704%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is May - April
D&A For EBITDA,105,105,"21,996","141,685","132,035","147,503","130,818","2,704,762","1,158,975","359,030",-,Financials in CAD,Fiscal year is May - April
EBIT,"-646,745","-603,489","-1,002,274","-1,343,286","-1,800,772","-2,879,065","-1,954,514","-8,360,822","-5,619,349","-4,341,111","-812,790",Financials in CAD,Fiscal year is May - April
EBIT Margin,-,-191.738%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is May - April
Advertising Expenses,"21,461","22,478",-,-,"120,711","100,223","189,488",-,"41,514","106,499","63,400",Financials in CAD,Fiscal year is May - April
