Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Other Revenue,"-3,098,034","8,068,065","6,964,327","4,813,301","7,624,275","5,345,608","3,146,348","4,085,197","1,759,193","2,374,648",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"-3,098,034","8,068,065","6,964,327","4,813,301","7,624,275","5,345,608","3,146,348","4,085,197","1,759,193","2,374,648",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,67.620%,-8.656%,-9.958%,142.321%,30.853%,78.852%,72.034%,-29.688%,46.104%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"-3,098,034","8,068,065","6,964,327","4,813,301","7,624,275","5,345,608","3,146,348","4,085,197","1,759,193","2,374,648",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","25,349,752","34,557,167","11,173,358","9,255,098","7,371,049","6,690,202","7,302,603","3,008,180","2,493,428","3,021,712",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"42,209,563","44,675,921","18,213,858","12,650,912","22,780,171","13,831,721","8,223,102","7,132,264","5,130,590","4,233,455",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"154,225","-154,225","-779,249","779,249","-31,812","31,812",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"67,713,540","79,078,863","28,607,967","22,685,259","30,119,408","20,553,735","15,525,705","10,140,444","7,624,018","7,255,167",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-70,811,574","-71,010,798","-21,643,640","-17,871,958","-22,495,133","-15,208,127","-12,379,357","-6,055,247","-5,864,825","-4,880,519",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-212,954","-265,407","-13,052","-14,401","-197,091",-,-,"-112,435","-2,154","-2,875",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"1,954,252","2,561,371","1,386,143","493,659",-,"375,760","143,800","90,176","191,978","110,208",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-632,912",-,"-249,232",-,"-132,990",-,"-81,268",-,"-136,804",-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,"-106,744",-,"-125,801","14,769","17,421","-17,421",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-69,703,188","-68,714,834","-20,519,781","-17,392,700","-22,931,958","-14,832,367","-12,442,626","-6,062,737","-5,794,384","-4,790,607",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-11,262,517",-,"-2,409",-,"-104,849",-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,"50,000",-,"75,862",-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-80,965,705","-68,714,834","-20,522,190","-17,392,700","-23,036,807","-14,832,367","-12,392,626","-6,062,737","-5,717,392","-4,790,607",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-80,965,705","-68,714,834","-20,522,190","-17,392,700","-23,036,807","-14,832,367","-12,392,626","-6,062,737","-5,717,392","-4,790,607",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-80,965,705","-68,714,834","-20,522,190","-17,392,700","-23,036,807","-14,832,367","-12,392,626","-6,062,737","-5,717,392","-4,790,607",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"7,295,611,316","6,882,004,092","6,419,334,618","6,132,016,636","5,834,806,628","5,439,586,966","4,795,333,832","4,531,748,112","4,422,154,503","3,727,634,101",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"7,295,611,316","6,882,004,092","6,419,334,618","6,132,016,636","5,834,806,628","5,439,586,966","4,795,333,832","4,531,748,112","4,422,154,503","3,727,634,101",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),13.651%,12.231%,10.018%,12.729%,21.677%,20.033%,8.439%,21.572%,15.569%,11.692%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.011,-0.010,-0.003,-0.003,-0.004,-0.003,-0.003,-0.001,-0.001,-0.001,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.011,-0.010,-0.003,-0.003,-0.004,-0.003,-0.003,-0.001,-0.001,-0.001,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-50,204,809","-58,594,954","-10,377,404","-21,093,552","-20,697,829","-10,407,995","-9,352,784","-4,064,021","-6,792,780","-3,650,010",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.007,-0.009,-0.002,-0.003,-0.004,-0.002,-0.002,-0.001,-0.002,-0.001,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-,-880.147%,-310.779%,-371.304%,-295.046%,-284.498%,-393.452%,-148.224%,-333.382%,-205.526%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-,-851.689%,-294.676%,-361.347%,-302.151%,-277.468%,-393.873%,-148.407%,-325.001%,-201.740%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-726.258%,-149.008%,-438.235%,-271.473%,-194.702%,-297.258%,-99.482%,-386.130%,-153.707%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-68,294,423","-69,152,198","-20,550,154","-16,761,533","-21,350,128","-14,097,115","-10,504,823","-6,041,380","-5,845,998","-4,871,613",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"2,517,151","1,858,600","1,093,486","1,110,425","1,145,005","1,111,012","1,874,534","13,867","18,827","8,906",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-70,811,574","-71,010,798","-21,643,640","-17,871,958","-22,495,133","-15,208,127","-12,379,357","-6,055,247","-5,864,825","-4,880,519",Upgrade,Financials in AUD,Fiscal year is July - June
