Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Jan '23 Jan 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020","Jul '19 Jul 31, 2019","Jul '18 Jul 31, 2018",2017 - 2013,,
"Selling, General & Admin","10,878,312","11,190,519","15,282,417","18,312,268","11,971,479","18,689,839",Upgrade,Financials in USD,Fiscal year is August - July
Research & Development,"21,772,200","25,821,543","34,097,641","25,096,817","18,445,199","17,415,520",Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"32,650,512","37,012,062","49,380,058","43,409,085","30,416,678","36,105,359",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-32,650,512","-37,012,062","-49,380,058","-43,409,085","-30,416,678","-36,105,359",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-52,130","-20,925","-15,857","-5,114","-3,805",-,Upgrade,Financials in USD,Fiscal year is August - July
Currency Exchange Gain (Loss),"-74,287","-509,652","-144,085","103,136","-281,473","-63,878",Upgrade,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),"56,914","28,857",-704,"185,052","440,037","-2,091,351",Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-32,720,015","-37,513,782","-49,540,704","-43,126,011","-30,261,919","-38,260,588",Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Investments,-,-,-,-,"-12,134",-,Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Assets,-,-,-,-,-703,"-875,098",Upgrade,Financials in USD,Fiscal year is August - July
Other Unusual Items,-,-,"960,790",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Pretax Income,"-32,720,015","-37,513,782","-47,579,914","-43,126,011","-30,274,756","-39,135,686",Upgrade,Financials in USD,Fiscal year is August - July
Income Tax Expense,"-3,334,148","-3,334,148","-2,412,183","-872,585","1,297",680,Upgrade,Financials in USD,Fiscal year is August - July
Net Income,"-29,385,867","-34,179,634","-45,167,731","-42,253,426","-30,276,053","-39,136,366",Upgrade,Financials in USD,Fiscal year is August - July
Net Income to Common,"-29,385,867","-34,179,634","-45,167,731","-42,253,426","-30,276,053","-39,136,366",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"1,989,011","1,786,557","1,495,608","751,570","320,603","182,379",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"1,989,011","1,786,557","1,495,608","751,570","320,603","182,379",Upgrade,Financials in USD,Fiscal year is August - July
Shares Change (YoY),13.174%,19.454%,98.998%,134.424%,75.789%,98.733%,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Basic),-14.774,-19.132,-30.200,-56.220,-94.435,-214.588,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Diluted),-14.774,-19.132,-30.200,-56.220,-94.435,-214.588,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-25,010,455","-32,383,196","-42,098,637","-33,145,364","-29,013,867","-23,287,082",Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-12.574,-18.126,-28.148,-44.101,-90.498,-127.685,Upgrade,Financials in USD,Fiscal year is August - July
EBITDA,"-32,398,345","-36,754,776","-49,143,194","-43,192,450","-30,172,966","-35,770,865",Upgrade,Financials in USD,Fiscal year is August - July
D&A For EBITDA,"252,167","257,286","236,864","216,635","243,712","334,494",Upgrade,Financials in USD,Fiscal year is August - July
EBIT,"-32,650,512","-37,012,062","-49,380,058","-43,409,085","-30,416,678","-36,105,359",Upgrade,Financials in USD,Fiscal year is August - July
