Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Apr '24 Apr 30, 2024","Jul '23 Jul 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020","Jul '19 Jul 31, 2019",2018 - 2015,,
Revenue,"20,062,943","18,273,280","12,537,937","11,975,021","11,962,525","18,059,774",Upgrade,Financials in CAD,Fiscal year is August - July
Revenue Growth (YoY),25.843%,45.744%,4.701%,0.104%,-33.761%,43.895%,Upgrade,Financials in CAD,Fiscal year is August - July
Cost of Revenue,"18,152,878","22,497,349","12,647,864","9,561,569","9,677,851","12,762,794",Upgrade,Financials in CAD,Fiscal year is August - July
Gross Profit,"1,910,065","-4,224,069","-109,927","2,413,452","2,284,674","5,296,980",Upgrade,Financials in CAD,Fiscal year is August - July
"Selling, General & Admin","4,645,424","4,942,005","4,467,831","4,510,383","14,949,007","12,411,779",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Expenses,"5,035,983","5,419,913","4,980,047","6,033,928","18,917,450","15,265,457",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Income,"-3,125,918","-9,643,982","-5,089,974","-3,620,476","-16,632,776","-9,968,477",Upgrade,Financials in CAD,Fiscal year is August - July
Interest Expense,"-1,847,709","-1,720,004","-1,759,566","-2,106,708","-3,697,978","-2,788,838",Upgrade,Financials in CAD,Fiscal year is August - July
Interest & Investment Income,-,-,"16,489",-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Currency Exchange Gain (Loss),"2,506","52,032","-43,962","45,474",-53,"5,391",Upgrade,Financials in CAD,Fiscal year is August - July
Other Non Operating Income (Expenses),"-3,024,108","-61,825","632,909","306,239","185,327",-,Upgrade,Financials in CAD,Fiscal year is August - July
EBT Excluding Unusual Items,"-7,995,229","-11,373,779","-6,244,104","-5,375,471","-20,145,480","-12,751,924",Upgrade,Financials in CAD,Fiscal year is August - July
Impairment of Goodwill,"-4,599,734","-4,599,734","-11,540,439",-,-,"-5,044,866",Upgrade,Financials in CAD,Fiscal year is August - July
Gain (Loss) on Sale of Investments,"-87,323","-87,323",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Gain (Loss) on Sale of Assets,"-14,566","36,283","255,146",-,-,"-1,850,837",Upgrade,Financials in CAD,Fiscal year is August - July
Asset Writedown,-,-,-,"-427,459",-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Other Unusual Items,"2,581,332","2,581,332","12,723",-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Pretax Income,"-10,115,520","-13,443,221","-17,516,674","-5,802,930","-20,145,480","-19,647,627",Upgrade,Financials in CAD,Fiscal year is August - July
Income Tax Expense,-,"515,534","549,000","482,000","-128,050","-1,112,470",Upgrade,Financials in CAD,Fiscal year is August - July
Earnings From Continuing Operations,"-10,115,520","-13,958,755","-18,065,674","-6,284,930","-20,017,430","-18,535,157",Upgrade,Financials in CAD,Fiscal year is August - July
Earnings From Discontinued Operations,-,-,-,-,"-2,186,192","-576,834",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Company,"-10,115,520","-13,958,755","-18,065,674","-6,284,930","-22,203,622","-19,111,991",Upgrade,Financials in CAD,Fiscal year is August - July
Minority Interest in Earnings,"191,211","594,835","258,752","-182,993","661,777","325,196",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income,"-9,924,309","-13,363,920","-17,806,922","-6,467,923","-21,541,845","-18,786,795",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Common,"-9,924,309","-13,363,920","-17,806,922","-6,467,923","-21,541,845","-18,786,795",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Basic),"470,306,200","455,694,947","450,684,512","387,006,229","286,374,573","252,121,055",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Diluted),"470,306,200","455,694,947","450,684,512","387,006,229","286,374,573","252,121,055",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Change (YoY),3.781%,1.112%,16.454%,35.140%,13.586%,30.992%,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Basic),-0.021,-0.029,-0.040,-0.017,-0.075,-0.075,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Diluted),-0.021,-0.029,-0.040,-0.017,-0.075,-0.075,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow,"90,082","-2,329,856","-5,100,295","-5,122,161","-16,073,967","-28,259,812",Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Per Share,0.000,-0.005,-0.011,-0.013,-0.056,-0.112,Upgrade,Financials in CAD,Fiscal year is August - July
Gross Margin,9.520%,-23.116%,-0.877%,20.154%,19.099%,29.330%,Upgrade,Financials in CAD,Fiscal year is August - July
Operating Margin,-15.581%,-52.776%,-40.597%,-30.234%,-139.041%,-55.197%,Upgrade,Financials in CAD,Fiscal year is August - July
Profit Margin,-49.466%,-73.134%,-142.024%,-54.012%,-180.078%,-104.026%,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Margin,0.449%,-12.750%,-40.679%,-42.774%,-134.369%,-156.479%,Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA,"-1,585,863","-8,763,394","-4,056,907","-2,960,381","-16,162,845","-9,427,806",Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA Margin,-7.904%,-47.957%,-32.357%,-24.721%,-135.112%,-52.203%,Upgrade,Financials in CAD,Fiscal year is August - July
D&A For EBITDA,"1,540,055","880,588","1,033,067","660,095","469,931","540,671",Upgrade,Financials in CAD,Fiscal year is August - July
EBIT,"-3,125,918","-9,643,982","-5,089,974","-3,620,476","-16,632,776","-9,968,477",Upgrade,Financials in CAD,Fiscal year is August - July
EBIT Margin,-15.581%,-52.776%,-40.596%,-30.234%,-139.041%,-55.197%,Upgrade,Financials in CAD,Fiscal year is August - July
