Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"2,157,665","2,130,974","364,500",-,-,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),278.558%,484.629%,-,-,-,Financials in CAD,Fiscal year is January - December
Gross Profit,"2,157,665","2,130,974","364,500",-,-,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","4,560,314","5,639,834","4,354,302","5,706,584","187,479",Financials in CAD,Fiscal year is January - December
Research & Development,"808,342","793,551","839,156","1,390,249",-,Financials in CAD,Fiscal year is January - December
Operating Expenses,"5,582,810","6,642,182","5,584,170","7,268,923","191,095",Financials in CAD,Fiscal year is January - December
Operating Income,"-3,425,145","-4,511,208","-5,219,670","-7,268,923","-191,095",Financials in CAD,Fiscal year is January - December
Interest Expense,"-339,404","-374,567","-184,670","-40,083",-,Financials in CAD,Fiscal year is January - December
Earnings From Equity Investments,"-68,966","-68,966",-,-,-,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-316,555","-367,291","-471,297","18,750",-,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,150,070","-5,322,032","-5,875,637","-7,290,256","-191,095",Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-2,001,099",-,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-10,682,334",-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,"20,968",-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-4,150,070","-5,322,032","-16,537,003","-9,291,355","-191,095",Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,"-70,538","-37,748",-,Financials in CAD,Fiscal year is January - December
Net Income,"-4,150,070","-5,322,032","-16,466,465","-9,253,607","-191,095",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-4,150,070","-5,322,032","-16,466,465","-9,253,607","-191,095",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"228,422,139","187,682,017","169,646,834","147,037,695","87,101,168",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"228,422,139","187,682,017","169,646,834","147,037,695","87,101,168",Financials in CAD,Fiscal year is January - December
Shares Change (YoY),30.554%,10.631%,15.376%,68.813%,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.018,-0.028,-0.097,-0.063,-,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.018,-0.028,-0.097,-0.063,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-3,080,156","-4,245,277","-3,958,140","-5,537,698","-76,418",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.013,-0.023,-0.023,-0.038,-0.001,Financials in CAD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-,-,Financials in CAD,Fiscal year is January - December
Operating Margin,-158.743%,-211.697%,-1432.008%,-,-,Financials in CAD,Fiscal year is January - December
Profit Margin,-192.341%,-249.746%,-4517.549%,-,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-142.754%,-199.218%,-1085.909%,-,-,Financials in CAD,Fiscal year is January - December
EBITDA,"-3,449,102","-4,438,474","-5,155,089","-7,210,954",-,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-159.853%,-208.284%,-,-,-,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"-23,957","72,734","64,581","57,969",-,Financials in CAD,Fiscal year is January - December
EBIT,"-3,425,145","-4,511,208","-5,219,670","-7,268,923","-191,095",Financials in CAD,Fiscal year is January - December
EBIT Margin,-158.743%,-211.697%,-,-,-,Financials in CAD,Fiscal year is January - December
