Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"141,647,000","141,536,000","142,410,000","140,158,000","141,268,000","122,988,000","114,176,000","112,099,000","111,238,000","97,499,000","85,090,000","88,495,000","94,382,000","83,367,000","66,137,000","54,283,000","41,473,000","25,384,000","22,592,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0.268%,15.081%,24.728%,25.031%,26.996%,26.143%,34.183%,26.673%,17.859%,16.952%,28.657%,63.025%,127.575%,228.423%,192.745%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"97,918,000","99,963,000","90,373,000","92,617,000","97,712,000","94,669,000","76,902,000","68,324,000","71,992,000","60,283,000","57,720,000","57,660,000","53,428,000","48,851,000","36,470,000","31,391,000","23,121,000","13,206,000","15,100,000",Financials in USD,Fiscal year is January - December
Gross Profit,"43,729,000","41,573,000","52,037,000","47,541,000","43,556,000","28,319,000","37,274,000","43,775,000","39,246,000","37,216,000","27,370,000","30,835,000","40,954,000","34,516,000","29,667,000","22,892,000","18,352,000","12,178,000","7,492,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","37,382,000","34,519,000","40,755,000","39,370,000","32,514,000","29,048,000","28,499,000","30,977,000","31,183,000","30,588,000","29,677,000","28,983,000","26,172,000","28,142,000","22,727,000","16,748,000","12,701,000","7,720,000","7,698,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"46,146,000","43,095,000","49,473,000","46,977,000","40,009,000","36,088,000","35,891,000","36,011,000","34,455,000","33,645,000","32,409,000","31,610,000","28,692,000","30,612,000","25,146,000","18,443,000","15,000,000","9,689,000","9,649,000",Financials in USD,Fiscal year is January - December
Operating Income,"-2,417,000","-1,522,000","2,564,000","564,000","3,547,000","-7,769,000","1,383,000","7,764,000","4,791,000","3,571,000","-5,039,000","-775,000","12,262,000","3,904,000","4,521,000","4,449,000","3,352,000","2,489,000","-2,157,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-16,481,000","-8,535,000","-8,538,000","-8,565,000","-8,963,000","-10,481,000","-8,975,000","-8,725,000","-8,434,000","-9,246,000","-6,031,000","-7,388,000","-12,376,000","-36,888,000","-7,337,000","-4,963,000","-2,627,000","-2,873,000","-2,530,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"409,000","379,000","310,000","632,000","902,000","24,044,000","265,000","229,000","273,000","151,000","103,000","50,000","44,000","82,000","80,000","1,000","3,000","-3,000","6,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,489,000","-9,678,000","-5,664,000","-7,369,000","-4,514,000","5,794,000","-7,327,000","-732,000","-3,370,000","-5,524,000","-10,967,000","-8,113,000","-70,000","-32,902,000","-2,736,000","-513,000","728,000","-387,000","-4,681,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-224,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"11,000",-,-,"-216,000","442,000","105,000","296,000","72,000","-818,000","44,000","-649,000",-,-,-,-,"-286,000",-,Financials in USD,Fiscal year is January - December
