Fiscal Quarter,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2005,+5 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '07 Mar 31, 2007","Dec '06 Dec 31, 2006","Sep '06 Sep 30, 2006","Jun '06 Jun 30, 2006","Dec '05 Dec 31, 2005",+5 Quarters,,
Revenue,"87,150","87,150","87,150","-9,773",-,"2,453","7,320","-386,223","362,416","77,463",309,-,-,-,-,-,"50,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),-,3452.792%,1090.574%,-,-,-96.833%,2268.932%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,-,-,-,"-1,210",-,"-6,713","7,923","358,762","6,763","37,352",182,"129,338",-,-,-,"160,500","1,238,182","7,254","14,814","7,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"87,150","87,150","87,150","-8,563",-,"9,166",-603,"-744,985","355,653","40,111",127,"-129,338",-,-,-,"-160,500","-1,188,182","-7,254","-14,814","-7,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","324,959","46,109","157,956","230,192","-44,082","68,940","237,502","-259,964","367,453","340,753","153,813","-212,746","40,312","43,986","40,491","176,838","-1,192,637","683,346","612,901","101,657",Upgrade,Financials in USD,Fiscal year is April - March
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-343,83,260,75,Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"464,929","85,769","187,581","216,954","-44,082","95,980","244,134","-375,073","479,757","342,155","173,696","-265,426","50,182","53,630","51,545","176,838","-3,992,980","683,429","613,161","2,925,588",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-377,779","1,381","-100,431","-225,517","44,082","-86,814","-244,737","-369,912","-124,104","-302,044","-173,569","136,088","-50,182","-53,630","-51,545","-337,338","2,804,798","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-64,147","-7,561","-5,875","-86,481",-,"-22,424","-22,424","-211,803","-43,892","-142,430","-5,301",-,"-2,548","-2,548","-2,624","-2,167","-3,407",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"6,502",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,-,"-89,696","89,696",-,-,-,-,-1,"-37,502",-,-,-,"50,000","-50,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-441,926","-6,180","-106,306","-311,998","-45,614","-19,542","-267,161","-581,715","-167,996","-444,474","-178,871","105,088","-52,730","-56,178","-54,169","-289,505","2,751,391","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,266","-2,401,060",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,-,-,"-6,900",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-441,926","-6,180","-106,306","-311,998","-45,614","-19,542","-267,161","-588,615","-167,996","-444,474","-178,871","105,088","-52,730","-56,178","-54,169","-287,239","350,331","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-441,926","-6,180","-106,306","-311,998","-45,614","-19,542","-267,161","-588,615","-167,996","-444,474","-178,871","105,088","-52,730","-56,178","-54,169","-287,239","350,331","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-441,926","-6,180","-106,306","-311,998","-45,614","-19,542","-267,161","-588,615","-167,996","-444,474","-178,871","105,088","-52,730","-56,178","-54,169","-287,239","350,331","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"4,514,464,056","3,795,364,503","3,550,364,697","3,449,391,607","1,363,628,371","1,779,608,287","947,648,455","550,997,402","465,934,785","452,930,488","416,373,966","467,572,818","416,373,966","416,373,966","446,373,966","3,262,787","3,228,257","3,260,000","3,260,000","3,100,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"4,514,464,056","3,795,364,503","3,550,364,697","3,449,391,607","1,363,628,371","1,779,608,287","947,648,455","550,997,402","465,934,785","452,930,488","416,373,966","467,572,818","416,373,966","416,373,966","446,373,966","3,262,787","3,228,257","3,260,000","3,260,000","3,100,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),231.063%,113.270%,274.650%,526.027%,192.665%,292.910%,127.596%,17.842%,11.903%,8.780%,-6.721%,14230.473%,12797.795%,12672.208%,13592.453%,5.251%,4.128%,5.161%,226.000%,210.000%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.000,0.000,-0.000,-0.000,-0.000,-0.088,0.109,-0.212,-0.193,-0.946,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.000,0.000,-0.000,-0.000,-0.000,-0.088,0.109,-0.212,-0.193,-0.946,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-56,303","-86,102","-36,849","-298,059",-,"151,913","-253,909","-6,592","-295,882","-289,792","-124,006","300,640",40,"-112,919","-306,900","-116,203",-,-,"2,684,748","-113,181",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-,0.000,-0.000,-0.000,-0.001,-0.001,-0.000,0.001,0.000,-0.000,-0.001,-0.036,-,-,0.824,-0.037,Upgrade,Financials in USD,Fiscal year is April - March
Gross Margin,100.000%,100.000%,100.000%,-,-,373.665%,-8.238%,-,98.134%,51.781%,41.100%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Operating Margin,-433.481%,1.585%,-115.239%,-,-,-3539.095%,-3343.402%,-,-34.244%,-389.920%,-56171.197%,-,-,-,-,-,5609.596%,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Profit Margin,-507.087%,-7.091%,-121.980%,-,-,-796.657%,-3649.740%,-,-46.354%,-573.789%,-57887.055%,-,-,-,-,-,700.662%,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-64.605%,-98.797%,-42.282%,-,-,6192.947%,-3468.702%,-,-81.642%,-374.104%,-40131.392%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-370,532","1,494","-100,092","-213,180","44,082","-85,349","-238,105","-359,148","-14,605","-300,641","-153,686","145,958","-40,312","-21,874","-40,491","-335,691","3,510,762","2,133,173","2,195,881","-108,732",Upgrade,Financials in USD,Fiscal year is April - March
EBITDA Margin,-,1.714%,-114.850%,-,-,-,-,-,-4.030%,-,-,-,-,-,-,-,7021.524%,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"7,247",113,339,"12,337",-,"1,465","6,632","10,764","109,499","1,403","19,883","9,870","9,870","31,756","11,054","1,647","705,964","2,823,856","2,823,856","2,823,856",Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-377,779","1,381","-100,431","-225,517","44,082","-86,814","-244,737","-369,912","-124,104","-302,044","-173,569","136,088","-50,182","-53,630","-51,545","-337,338","2,804,798","-690,683","-627,975","-2,932,588",Upgrade,Financials in USD,Fiscal year is April - March
EBIT Margin,-,1.585%,-115.239%,-,-,-,-,-,-34.243%,-,-,-,-,-,-,-,5609.596%,-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Revenue as Reported,-,-,-,-,-,-,-,"53,965",-,-,-,-,-,-,-,-,"50,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
