Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Cost of Revenue,-,-,-,"1,166,973","-1,248,150","4,649",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,-,-,-,"-1,166,973","1,248,150","-4,649",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","184,164","392,216","712,190","1,027,578","1,031,491","791,188",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,-,-,516,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"184,190","410,070","740,285","1,085,050","1,122,937","867,926",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-184,190","-410,070","-740,285","-2,252,023","125,213","-872,575",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,"-355,121","-396,385","-290,083","-757,026","-800,262",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"98,577",-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"30,790","30,051","-53,409","20,250","-22,198","-5,594",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-44,787","-4,681","-15,846","-45,843","-30,506","-29,509",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-99,610","-739,821","-1,205,925","-2,567,699","-684,517","-1,707,940",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-200,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"28,348","535,394",-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-173,535","-173,535",-,-,"-10,579,025","-1,102,500",Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"21,829","21,829",-,-,-,"60,000",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-251,316","-1,091,527","-1,205,925","-2,539,351","-10,728,148","-2,750,440",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-251,316","-1,091,527","-1,205,925","-2,539,351","-10,728,148","-2,750,440",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-251,316","-1,091,527","-1,205,925","-2,539,351","-10,728,148","-2,750,440",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"38,792,403","38,792,403","33,048,403","27,153,736","26,892,566","26,756,443",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,792,403","38,792,403","33,048,403","27,153,736","26,892,566","26,756,443",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),2.332%,17.381%,21.708%,0.971%,0.509%,3.675%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.006,-0.028,-0.036,-0.094,-0.399,-0.103,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.006,-0.028,-0.036,-0.094,-0.399,-0.103,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"193,327","-126,850","-425,604","-824,705","-320,718","-884,705",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,0.005,-0.003,-0.013,-0.030,-0.012,-0.033,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-170,773","-392,216","-712,190","-2,216,004","165,170","-851,788",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"13,417","17,854","28,095","36,019","39,957","20,787",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-184,190","-410,070","-740,285","-2,252,023","125,213","-872,575",Upgrade,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,"20,013","13,370","40,953","64,487","72,382",Upgrade,Financials in CAD,Fiscal year is January - December
