Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"51,356,693","29,861,453","44,985,330","27,193,717","37,534,888","22,467,332","28,969,441","13,633,153","18,911,857","7,394,291",Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,"4,019,743","2,940,419","3,969,579","2,172,692","3,346,468","2,373,604","3,605,130","2,110,062","3,682,501","2,576,774",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"55,376,436","32,801,872","48,954,909","29,366,409","40,881,356","24,840,936","32,574,571","15,743,215","22,594,358","9,971,065",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),13.117%,11.699%,19.749%,18.218%,25.501%,57.788%,44.171%,57.889%,2.393%,11.019%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"5,289,977","2,443,133","4,256,918","3,264,147","3,998,729","5,252,090","2,387,366","1,785,386","7,150,789","149,965",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"50,086,459","30,358,739","44,697,991","26,102,262","36,882,627","19,588,846","30,187,205","13,957,829","15,443,569","9,821,100",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","13,351,307","9,490,156","8,599,602","7,050,501","7,126,329","5,903,303","6,434,427","5,132,599","7,563,032","4,663,650",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"1,595,797","752,499","678,203","590,253","669,012","563,977","183,272","364,281","-3,356,265","3,697,569",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-562,936",-,"-23,817",-,"-216,835",-,"83,597","-83,597","-667,386","667,386",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"15,415,262","16,461,159","14,829,930","11,844,008","10,841,345","10,083,244","8,511,728","7,066,676","3,985,510","9,028,605",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"34,671,197","13,897,580","29,868,061","14,258,254","26,041,282","9,505,602","21,675,477","6,891,153","11,458,059","792,495",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-2,434,386","-2,019,906","-1,924,641","-1,268,072","-1,406,236","-868,121","-1,062,411","-772,726","-2,042,853","-11,137",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"3,661,153","3,663,718","2,568,559","1,337,297","304,732","139,339",-,"216,707","253,912","309,016",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-24,685","-735,693","466,793","272,472","655,309","-50,992","-840,977","-524,313","1,133,865","-479,821",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,664,-,Upgrade,Financials in AUD,Fiscal year is July - June
