Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,"107,000","8,000","138,000","361,000","354,000","806,000","11,343,000","2,830,000","3,553,000","1,807,000","1,771,000","2,349,000","1,792,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-69.774%,-99.007%,-98.783%,-87.244%,-90.037%,-55.396%,540.486%,20.477%,98.270%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"203,000","6,996,000","11,551,000","11,859,000","13,923,000","15,530,000","14,803,000","15,537,000","13,964,000","12,975,000","8,567,000","9,045,000","8,135,000","7,397,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"-203,000","-6,889,000","-11,543,000","-11,721,000","-13,562,000","-15,176,000","-13,997,000","-4,194,000","-11,134,000","-9,422,000","-6,760,000","-7,274,000","-5,786,000","-5,605,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,109,000","5,164,000","4,681,000","3,735,000","8,877,000","9,617,000","9,040,000","9,584,000","8,164,000","9,404,000","5,065,000","5,739,000","5,882,000","4,552,000","6,372,000","2,807,000","2,574,000","2,258,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,109,000","5,164,000","4,681,000","3,735,000","8,877,000","9,617,000","9,040,000","9,584,000","8,164,000","9,404,000","5,065,000","5,739,000","5,882,000","4,552,000","6,372,000","2,807,000","2,574,000","2,258,000",Financials in USD,Fiscal year is January - December
Operating Income,"-6,109,000","-5,164,000","-4,681,000","-3,735,000","-9,080,000","-16,506,000","-20,583,000","-21,305,000","-21,726,000","-24,580,000","-19,062,000","-9,933,000","-17,016,000","-13,974,000","-13,132,000","-10,081,000","-8,360,000","-7,863,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-65,000",-,-,-,-,"-1,000",-,"-7,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"227,000","280,000","333,000","392,000","420,000","425,000","259,000","45,000",-,"13,000","8,000","8,000",-,-,"1,000",-,"21,000","91,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"40,000",-,-,"-129,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,048,000","1,042,000","1,000,000","995,000","1,757,000","1,053,000","486,000","216,000",-,-,"-1,000","-30,000","-8,000","-6,000",-,"-2,000","80,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,834,000","-3,842,000","-3,348,000","-2,348,000","-6,903,000","-15,028,000","-19,838,000","-21,044,000","-21,791,000","-24,567,000","-19,055,000","-9,955,000","-17,024,000","-13,981,000","-13,091,000","-10,090,000","-8,259,000","-7,901,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-34,000","265,000","-46,000","-801,000","-3,236,000","-243,000","-1,270,000","-903,000",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
