Fiscal Quarter,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007",+20 Quarters,,
Revenue,"469,071","470,522","680,422","445,900","394,707","693,103","357,628","357,887","93,680","330,398","69,718","67,684","97,846","138,487","87,251","78,723","156,539","87,245","240,370","105,497",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),18.840%,-32.114%,90.260%,24.592%,321.335%,109.778%,412.964%,428.762%,-4.258%,138.577%,-20.095%,-14.023%,-37.494%,58.733%,-63.701%,-25.379%,-1.775%,-37.972%,311.437%,2537.425%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"135,239","164,457","209,531","131,992","127,795","352,693","120,827","82,223","29,037","124,745","24,489","2,388","52,751","93,049","48,332","20,713","98,641","27,857","108,165","54,398",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"333,832","306,065","470,891","313,908","266,912","340,410","236,801","275,664","64,643","205,653","45,229","65,296","45,095","45,438","38,919","58,010","57,898","59,388","132,205","51,099",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","926,100","780,081","906,904","756,429","720,937","710,625","711,666","652,789","731,492","693,034","607,590","615,338","633,565","648,068","662,566","745,247","601,253","835,193","708,871","712,325",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"133,009","87,942","87,085","75,913","109,221","90,747","225,163","176,046","196,752","208,193","167,672","163,079","159,752","239,278","160,414","260,308","173,638","198,238","195,177","199,505",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,082,005","890,086","1,017,084","858,908","858,003","829,519","963,446","855,809","956,674","930,518","804,344","811,191","825,137","919,876","856,452","1,037,141","807,109","1,068,332","939,097","953,917",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-748,173","-584,021","-546,193","-545,000","-591,091","-489,109","-726,645","-580,145","-892,031","-724,865","-759,115","-745,895","-780,042","-874,438","-817,533","-979,131","-749,211","-1,008,944","-806,892","-902,818",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-50,673","-50,123","-12,117",-,-,-,-,"-277,265","-224,172","-218,636","-168,279","-153,731","-153,732","-152,060","-107,253","-60,986","-57,863","-609,131","-315,993",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,133,384,740,892,704,928,"1,204",688,"1,027","1,014",345,575,929,"3,102","5,043","10,612","14,360","17,074","18,790","12,233",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"14,674","-29,942","-17,648","-11,240","-23,373","-59,065","7,992","-61,588","-4,013",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-784,039","-663,702","-575,218","-555,348","-613,760","-547,246","-717,449","-918,310","-1,119,189","-942,487","-927,049","-899,051","-932,845","-1,023,396","-919,743","-1,029,505","-792,714","-1,601,001","-1,104,095","-890,585",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,145","-4,597","-6,620",998,"8,143","-25,151","7,715","3,199",-,-,-,-,-,-,-,"5,000","25,000",-,"-30,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
