Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"15,265,000","12,719,000","15,084,000","15,558,000","14,750,000","15,470,000","14,120,000","14,673,000","21,688,000","29,029,000",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),1.200%,-18.248%,2.264%,0.569%,4.462%,5.432%,-34.895%,-49.454%,-2.661%,117.870%,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"11,103,000","6,960,000","13,998,000","7,269,000","8,353,000","8,155,000","6,562,000","5,497,000","6,819,000","5,796,000",Financials in AUD,Fiscal year is July - June
Gross Profit,"4,162,000","5,759,000","1,086,000","8,289,000","6,397,000","7,315,000","7,558,000","9,176,000","14,869,000","23,233,000",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","9,660,000","9,131,000","8,490,000","10,430,000","9,918,000","9,641,000","7,057,000","9,898,000","7,781,000","9,393,000",Financials in AUD,Fiscal year is July - June
Research & Development,"1,256,000","1,628,000","1,115,000","3,541,000","3,369,000","2,916,000","3,370,000","1,072,000","883,000","1,413,000",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-4,658,000","1,866,000","3,196,000","1,749,000","1,755,000","1,814,000","1,686,000","1,354,000","998,000","918,000",Financials in AUD,Fiscal year is July - June
Operating Expenses,"13,515,000","10,867,000","13,250,000","18,480,000","18,415,000","17,809,000","14,376,000","16,151,000","12,330,000","14,859,000",Financials in AUD,Fiscal year is July - June
Operating Income,"-9,353,000","-5,108,000","-12,164,000","-10,191,000","-12,018,000","-10,494,000","-6,818,000","-6,975,000","2,539,000","8,374,000",Financials in AUD,Fiscal year is July - June
