Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",,
Revenue,"16,732","7,048",-,-,-,Financials in USD,Fiscal year is July - June
Cost of Revenue,"8,368","4,500",-,-,-,Financials in USD,Fiscal year is July - June
Gross Profit,"8,364","2,548",-,-,-,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","7,212,004","5,767,881","3,469,479","2,677,384","2,798,622",Financials in USD,Fiscal year is July - June
Research & Development,-,-,-,"-165,825","-498,532",Financials in USD,Fiscal year is July - June
Operating Expenses,"7,212,004","5,767,881","3,469,479","2,511,559","2,300,090",Financials in USD,Fiscal year is July - June
Operating Income,"-7,203,640","-5,765,333","-3,469,479","-2,511,559","-2,300,090",Financials in USD,Fiscal year is July - June
Interest Expense,"-1,456,719","-1,966,143","-2,064,547","-2,357,222","-283,280",Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"195,857",53,"-322,090","-57,570",-,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-8,464,502","-7,731,423","-5,856,116","-4,926,351","-2,583,370",Financials in USD,Fiscal year is July - June
Asset Writedown,"-78,850","-78,850",-,-,-,Financials in USD,Fiscal year is July - June
Other Unusual Items,"-1,686,782","-1,178,183",-,"200,468","-416,255",Financials in USD,Fiscal year is July - June
Pretax Income,"-10,230,134","-8,988,456","-5,856,116","-4,725,883","-2,999,625",Financials in USD,Fiscal year is July - June
Net Income,"-11,300,485","-8,988,456","-5,856,116","-4,725,883","-2,999,625",Financials in USD,Fiscal year is July - June
Net Income to Common,"-11,300,485","-8,988,456","-5,856,116","-4,725,883","-2,999,625",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"1,628,622","1,270,110","861,565","536,445","457,240",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,628,622","1,270,110","861,565","536,445","457,240",Financials in USD,Fiscal year is July - June
Shares Change (YoY),56.897%,47.419%,60.606%,17.322%,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-6.939,-7.077,-6.797,-8.810,-6.560,Financials in USD,Fiscal year is July - June
EPS (Diluted),-6.939,-7.077,-6.797,-8.810,-6.560,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-5,923,350","-4,266,353","-2,418,422","-1,484,641","-499,157",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-3.637,-3.359,-2.807,-2.768,-1.092,Financials in USD,Fiscal year is July - June
Gross Margin,49.988%,36.152%,-,-,-,Financials in USD,Fiscal year is July - June
Operating Margin,-43053.072%,-81800.979%,-,-,-,Financials in USD,Fiscal year is July - June
Profit Margin,-67538.160%,-127532.009%,-,-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-35401.327%,-60532.818%,-,-,-,Financials in USD,Fiscal year is July - June
EBIT,"-7,203,640","-5,765,333","-3,469,479","-2,511,559","-2,300,090",Financials in USD,Fiscal year is July - June
