Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters,,
Revenue,"3,594,000","4,088,000","4,996,000","4,725,000","3,033,000","5,162,000","4,602,000","6,030,000","6,032,000","6,512,000","4,951,000","7,562,000","2,993,000","2,949,000","3,265,000","2,791,000","7,301,000","1,733,000","3,815,000","3,820,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),18.497%,-20.806%,8.561%,-21.642%,-49.718%,-20.731%,-7.049%,-20.259%,101.537%,120.821%,51.639%,170.942%,-59.006%,70.167%,-14.417%,-26.937%,48.818%,-81.489%,-10.214%,-38.427%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"1,627,000","1,853,000","2,585,000","1,665,000","1,534,000","2,093,000","1,866,000","2,145,000","3,094,000","2,865,000","2,239,000","2,911,000","1,468,000","1,227,000","1,149,000","1,203,000","1,172,000","641,000","1,351,000","1,688,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"1,967,000","2,235,000","2,411,000","3,060,000","1,499,000","3,069,000","2,736,000","3,885,000","2,938,000","3,647,000","2,712,000","4,651,000","1,525,000","1,722,000","2,116,000","1,588,000","6,129,000","1,092,000","2,464,000","2,132,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","2,670,000","2,812,000","2,587,000","2,576,000","2,360,000","2,742,000","2,437,000","2,776,000","2,286,000","2,916,000","2,595,000","3,079,000","2,062,000","2,197,000","2,159,000","1,909,000","1,890,000","1,866,000","2,183,000","2,128,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"157,000","163,000","170,000","218,000","143,000","178,000","160,000","160,000","161,000","161,000","127,000","171,000","126,000","118,000","219,000","325,000","212,000","336,000","228,000","38,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"3,139,000","3,279,000","3,142,000","3,173,000","2,880,000","3,295,000","2,972,000","3,313,000","2,805,000","3,447,000","3,088,000","3,597,000","2,538,000","2,666,000","2,709,000","2,482,000","2,517,000","2,616,000","2,825,000","2,718,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-1,172,000","-1,044,000","-731,000","-113,000","-1,381,000","-226,000","-236,000","572,000","133,000","200,000","-376,000","1,054,000","-1,013,000","-944,000","-593,000","-894,000","3,612,000","-1,524,000","-361,000","-586,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-15,000","-17,000","-18,000","-20,000","-21,000","-21,000","-23,000","-24,000","-25,000","-48,000","-61,000","-62,000","-63,000","-63,000","-48,000","-53,000","-52,000","-55,000","-92,000","-219,000",Upgrade,Financials in CAD,Fiscal year is January - December
