Fiscal Quarter,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q3 2000,Q2 2000,Q1 2000,Q4 1999,Q3 1999,Q2 1999,Q1 1999,Q4 1998,Q3 1998,Currency,Fiscal_Year_period
Period Ending,"Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Sep '07 Sep 30, 2007","Jun '07 Jun 30, 2007","Mar '07 Mar 31, 2007","Dec '06 Dec 31, 2006","Sep '06 Sep 30, 2006","Jun '06 Jun 30, 2006","Mar '06 Mar 31, 2006","Sep '00 Sep 30, 2000","Jun '00 Jun 30, 2000","Mar '00 Mar 31, 2000","Dec '99 Dec 31, 1999","Sep '99 Sep 30, 1999","Jun '99 Jun 30, 1999","Mar '99 Mar 31, 1999","Dec '98 Dec 31, 1998","Sep '98 Sep 30, 1998",,
Revenue,"10,842","14,094","22,065","31,857","31,857",-,-,-,-,"3,413,000","3,412,000","3,355,000","3,226,600","2,638,000","2,446,000","2,061,000","2,417,900","2,467,900",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-65.967%,-,-,-,-,-,-,-,-,29.378%,39.493%,62.785%,33.446%,6.892%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"16,172","16,808","4,173","5,213","5,213",-,-,-,-,"2,341,000","1,946,000","1,863,000","2,118,900","1,361,000","1,331,000","1,067,000","1,322,600","1,083,400",Financials in USD,Fiscal year is January - December
Gross Profit,"-5,330","-2,714","17,892","26,644","26,644",-,-,-,-,"1,072,000","1,466,000","1,492,000","1,107,700","1,277,000","1,115,000","994,000","1,095,300","1,384,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","278,541","217,443","248,383","407,244","407,244","2,445","1,223",-,-,"2,397,000","1,688,000","1,324,000","1,833,400","1,375,000","1,173,000","1,029,000","2,202,800","1,113,700",Financials in USD,Fiscal year is January - December
Other Operating Expenses,475,94,294,-,-,-,-,-,-,-,-,-,"-323,000",-,-,-,"-761,000","240,900",Financials in USD,Fiscal year is January - December
Operating Expenses,"310,817","249,338","280,306","923,489","923,489","2,445","1,223",-,-,"2,565,000","1,934,000","1,453,000","2,025,400","1,509,000","1,293,000","1,141,000","1,888,800","1,354,600",Financials in USD,Fiscal year is January - December
Operating Income,"-316,147","-252,052","-262,414","-896,845","-896,845","-2,445","-1,223",-,-,"-1,493,000","-468,000","39,000","-917,700","-232,000","-178,000","-147,000","-793,500","29,900",Financials in USD,Fiscal year is January - December
Interest Expense,"-125,000","-125,000","-125,000","-125,000","-125,000",-,-,-,-,"-241,000","-157,000","-152,000","-240,100","-123,000","-143,000","-110,000","-290,600","-149,100",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"-651,000","-169,000","-33,000","-59,100","-106,000","-368,000","-455,000","241,200","324,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-441,147","-377,052","-387,414","-1,021,845","-1,021,845","-2,445","-1,223",-,-,"-2,385,000","-794,000","-146,000","-1,216,900","-461,000","-689,000","-712,000","-842,900","204,800",Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-135,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
