Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"24,109,000","22,162,000","20,953,000","27,733,000","27,542,000","28,529,000","24,942,000","25,797,000","18,322,000","18,556,000","16,650,000","14,018,000","13,369,000","12,440,000","12,626,000","11,425,000","7,578,000","5,891,000","5,036,000","1,533,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-12.465%,-22.318%,-15.993%,7.505%,50.322%,53.745%,49.802%,84.028%,37.048%,49.164%,31.871%,22.696%,76.419%,111.170%,150.715%,645.271%,163.125%,347.644%,895.257%,1010.870%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"14,036,000","13,359,000","10,781,000","16,427,000","15,668,000","20,935,000","16,183,000","19,651,000","6,628,000","13,068,000","13,547,000","5,866,000","8,233,000","6,026,000","4,155,000","6,795,000","4,512,000","3,957,000","2,888,000","1,459,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"10,073,000","8,803,000","10,172,000","11,306,000","11,874,000","7,594,000","8,759,000","6,146,000","11,694,000","5,488,000","3,103,000","8,152,000","5,136,000","6,414,000","8,471,000","4,630,000","3,066,000","1,934,000","2,148,000","74,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","8,476,000","7,274,000","7,164,000","10,700,000","7,205,000","6,833,000","7,202,000","6,740,000","5,568,000","4,714,000","4,245,000","4,594,000","3,798,000","3,933,000","3,530,000","3,380,000","2,673,000","2,340,000","3,016,000","1,818,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"9,857,000","7,597,000","8,470,000","11,599,000","8,388,000","7,328,000","8,637,000","8,154,000","5,725,000","6,598,000","6,272,000","6,367,000","4,869,000","5,996,000","4,786,000","4,578,000","3,778,000","3,651,000","4,550,000","2,927,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"216,000","1,206,000","1,702,000","-293,000","3,486,000","266,000","122,000","-2,008,000","5,969,000","-1,110,000","-3,169,000","1,785,000","267,000","418,000","3,685,000","52,000","-712,000","-1,717,000","-2,402,000","-2,853,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-728,000","-753,000","-772,000","-753,000","-696,000","-710,000","-661,000","-694,000","-637,000","-808,000","-1,019,000","-1,046,000","-1,038,000","-1,017,000","-989,000","-1,126,000","-664,000","-699,000","-1,020,000","-202,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-104,000","5,000","-90,000","-196,000","-39,000","-134,000","-111,000","-433,000","-99,000","-152,000","35,000","-34,000","-52,000","-36,000","-45,000","1,000","-9,000","-16,000","22,000","-14,000",Upgrade,Financials in CAD,Fiscal year is January - December
