Fiscal Year,TTM,FY 2023,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Oct '23 Oct 31, 2023","Oct '22 Oct 31, 2022","Oct '21 Oct 31, 2021","Oct '20 Oct 31, 2020",2019 - 2017,,
Revenue,"21,828,522","21,828,522","23,353,185","17,757,283","9,378,673","4,239,604",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),17.642%,-6.529%,31.513%,89.337%,121.216%,8.016%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,603,878","7,603,878","10,681,671","9,634,205","3,278,205","2,393,907",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"14,224,644","14,224,644","12,671,514","8,123,078","6,100,468","1,845,697",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,624,118","8,624,118","6,465,877","5,852,236","3,983,250","2,196,421",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,368,762","10,368,762","7,390,631","6,674,148","4,444,084","2,811,019",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"3,855,882","3,855,882","5,280,883","1,448,930","1,656,384","-965,322",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,713,942","-1,713,942","-1,397,348","-894,020","-1,147,443","-858,653",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,319,954","2,319,954","-4,122,011","-3,432","-1,281,065","481,142",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,461,894","4,461,894","-238,476","551,478","-772,124","-1,342,833",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"2,400,096","2,400,096","129,113","-333,777","-35,902","-263,483",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-526,194","-526,194","-182,025","-6,250","-7,542","-8,404",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"453,858","-48,636","-741,768",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"6,335,796","6,335,796","-291,388","665,309","-864,204","-2,356,488",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,301,234","2,301,234","370,932","245,358","150,543",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"4,034,562","4,034,562","-662,320","419,951","-1,014,747","-2,356,488",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-177,642","-177,642","129,279","27,507","-1,395,558","75,049",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"3,856,920","3,856,920","-533,041","447,458","-2,410,305","-2,281,439",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"3,856,920","3,856,920","-533,041","447,458","-2,410,305","-2,281,439",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"182,005,886","182,005,886","172,708,792","169,193,812","135,231,802","90,596,827",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"214,046,728","214,046,728","172,708,792","169,193,812","135,231,802","90,596,827",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),25.296%,23.935%,2.077%,25.114%,49.268%,27.729%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-,-,-0.003,0.003,-0.018,-0.025,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-,-,-0.003,0.003,-0.020,-0.025,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"626,514","626,514","4,272,569","892,892","-2,285,597","-850,568",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.003,0.003,0.025,0.005,-0.017,-0.009,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,65.165%,65.165%,54.260%,45.745%,65.046%,43.535%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,17.664%,17.664%,22.613%,8.160%,17.661%,-22.769%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,17.669%,17.669%,-2.283%,2.520%,-25.700%,-53.813%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,2.870%,2.870%,18.295%,5.028%,-24.370%,-20.062%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"4,974,372","4,974,372","5,859,524","2,199,846","1,841,396","-168,887",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,22.788%,22.788%,25.091%,12.388%,19.634%,-3.983%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,118,490","1,118,490","578,641","750,916","185,012","796,435",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"3,855,882","3,855,882","5,280,883","1,448,930","1,656,384","-965,322",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,17.664%,17.664%,22.613%,8.160%,17.661%,-22.769%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,36.321%,36.321%,-,36.879%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"21,828,522","21,828,522","23,353,185","17,757,283","9,378,673","4,239,604",Upgrade,Financials in USD,Fiscal year is January - December
