Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"6,894,000,000","5,442,000,000","6,256,000,000","6,843,000,000","5,168,000,000","4,872,000,000","5,239,000,000","5,990,000,000","3,999,000,000","3,876,000,000","4,925,000,000","4,896,000,000","3,761,000,000","3,211,000,000","3,661,000,000","4,581,000,000","2,970,000,000","3,070,000,000","4,639,000,000","4,890,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),33.398%,11.700%,19.412%,14.240%,29.232%,25.697%,6.376%,22.345%,6.328%,20.710%,34.526%,6.876%,26.633%,4.593%,-21.082%,-6.319%,1.365%,-2.940%,42.083%,90.198%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"1,290,000,000","1,275,000,000","1,521,000,000","1,356,000,000","1,135,000,000","1,394,000,000","1,067,000,000","1,308,000,000","932,000,000","1,017,000,000","1,156,000,000","1,016,000,000","959,000,000","783,000,000","726,000,000","863,000,000","632,000,000","689,000,000","1,042,000,000","1,041,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"5,604,000,000","4,167,000,000","4,735,000,000","5,487,000,000","4,033,000,000","3,478,000,000","4,172,000,000","4,682,000,000","3,067,000,000","2,859,000,000","3,769,000,000","3,880,000,000","2,802,000,000","2,428,000,000","2,935,000,000","3,718,000,000","2,338,000,000","2,381,000,000","3,597,000,000","3,849,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","2,694,000,000","2,629,000,000","2,454,000,000","2,943,000,000","2,578,000,000","2,222,000,000","2,026,000,000","2,121,000,000","1,834,000,000","1,879,000,000","1,804,000,000","1,824,000,000","1,571,000,000","1,468,000,000","1,431,000,000","1,552,000,000","1,416,000,000","1,477,000,000","1,536,000,000","1,465,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"845,000,000","898,000,000","805,000,000","792,000,000","761,000,000","545,000,000","645,000,000","643,000,000","526,000,000","557,000,000","526,000,000","547,000,000","485,000,000","484,000,000","471,000,000","486,000,000","405,000,000","345,000,000","359,000,000","310,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"-15,000,000","-3,000,000","8,000,000","-122,000,000","45,000,000","61,000,000","7,000,000","-29,000,000","8,000,000","-14,000,000","2,000,000","-77,000,000","38,000,000","9,000,000",-,"-80,000,000","54,000,000","19,000,000","5,000,000","36,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"3,524,000,000","3,524,000,000","3,267,000,000","3,613,000,000","3,384,000,000","2,828,000,000","2,678,000,000","2,735,000,000","2,368,000,000","2,422,000,000","2,332,000,000","2,294,000,000","2,094,000,000","1,961,000,000","1,902,000,000","1,958,000,000","1,875,000,000","1,841,000,000","1,900,000,000","1,811,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"2,080,000,000","643,000,000","1,468,000,000","1,874,000,000","649,000,000","650,000,000","1,494,000,000","1,947,000,000","699,000,000","437,000,000","1,437,000,000","1,586,000,000","708,000,000","467,000,000","1,033,000,000","1,760,000,000","463,000,000","540,000,000","1,697,000,000","2,038,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
