Fiscal Quarter,Q4 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Currency,Fiscal_Year_period
Period Ending,"Dec '12 Dec 31, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008",,
Revenue,"291,235","375,741","530,989","448,607","215,443","145,302","139,263","102,543","339,545","200,324","54,669","77,038","33,599","29,598","33,199","288,215","-1,424","2,351",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),35.180%,158.593%,281.285%,337.482%,-36.550%,-27.467%,154.739%,33.107%,910.581%,576.816%,64.671%,-73.271%,-,1158.954%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"267,624","309,318","283,160","166,565","223,659","122,376","68,889","49,045","230,261","130,699",-,"37,481",-,-,"-2,242","1,121",-80,"1,201",Financials in USD,Fiscal year is January - December
Gross Profit,"23,611","66,423","247,829","282,042","-8,216","22,926","70,374","53,498","109,284","69,625","54,669","39,557","33,599","29,598","35,441","287,094","-1,344","1,150",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","239,375","452,302","280,700","335,501","264,552","179,183","311,190","234,390","113,115","624,263","400,076","169,820","72,841","80,633","43,971","209,917","-4,243","12,435",Financials in USD,Fiscal year is January - December
Operating Expenses,"282,775","459,496","300,049","340,263","269,314","183,945","311,260","234,460","113,185","624,333","400,146","169,890","72,911","80,703","43,848","210,198","-4,267","12,582",Financials in USD,Fiscal year is January - December
Operating Income,"-259,164","-393,073","-52,220","-58,221","-277,530","-161,019","-240,886","-180,962","-3,901","-554,708","-345,477","-130,333","-39,312","-51,105","-8,407","76,896","2,923","-11,432",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-635,-370,-661,-711,-,-183,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,70,-900,900,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-259,164","-393,073","-52,220","-58,221","-277,530","-161,019","-240,886","-180,962","-3,901","-554,708","-345,407","-131,233","-39,047","-51,475","-9,068","76,185","2,996","-11,615",Financials in USD,Fiscal year is January - December
Net Income,"-259,164","-393,073","-52,220","-58,221","-277,530","-161,019","-240,886","-180,962","-3,901","-554,708","-345,407","-131,233","-39,047","-51,475","-9,068","76,185","2,996","-11,615",Financials in USD,Fiscal year is January - December
Net Income to Common,"-259,164","-393,073","-52,220","-58,221","-277,530","-161,019","-240,886","-180,962","-3,901","-554,708","-345,407","-131,233","-39,047","-51,475","-9,068","76,185","2,996","-11,615",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"496,063,353","455,472,212","433,628,806","431,828,806","368,323,806","333,107,088","329,107,088","283,168,626","271,343,626","265,736,126","114,763,611","190,987,405","96,403,405","79,693,405","264,416,261","37,585,000","2,286,200","2,286,200",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"496,063,353","455,472,212","433,628,806","431,828,806","368,323,806","333,107,088","329,107,088","283,168,626","271,343,626","265,736,126","114,763,611","190,987,405","96,403,405","79,693,405","264,416,261","37,585,000","2,286,200","2,286,200",Financials in USD,Fiscal year is January - December
