Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",,
Revenue,-,"453,460","1,611,518","2,150,672","8,346,858","7,883,115",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-71.861%,-25.069%,-74.234%,5.883%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,999,"117,601","704,705","766,957","2,052,807","2,366,569",Financials in USD,Fiscal year is January - December
Gross Profit,-999,"335,859","906,813","1,383,715","6,294,051","5,516,546",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,937,360","2,808,106","4,914,711","7,323,994","18,713,530","9,006,752",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"1,152,065","106,214",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,088,350","3,393,818","6,099,614","8,476,059","19,654,035","9,101,997",Financials in USD,Fiscal year is January - December
Operating Income,"-2,089,349","-3,057,959","-5,192,801","-7,092,344","-13,359,984","-3,585,451",Financials in USD,Fiscal year is January - December
Interest Expense,"-437,921","-368,139","-176,836","-1,462,750","-299,331","-184,183",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,090","507,944",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"255,443","-3,137,512","-35,687","593,917","703,142","-17,920",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,268,737","-6,055,666","-5,405,324","-7,961,177","-12,956,173","-3,787,554",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-12,564,000",-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-9,610","-92,803",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-2,944,401","-606,595",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-197,610","-2,196,100","698,820","1,501,941","-1,343,304",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,258,603","-10,299,580","-4,799,307","-6,459,236","-29,807,878","-4,394,149",Financials in USD,Fiscal year is January - December
Net Income,"-3,258,603","-10,299,580","-4,799,307","-6,459,236","-29,807,878","-4,394,149",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"322,175","3,388,151",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,258,603","-10,299,580","-4,799,307","-6,781,411","-33,196,029","-4,394,149",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"591,753","293,778","145,736","111,491","96,371","33,661",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"591,753","293,778","145,736","111,491","96,371","33,661",Financials in USD,Fiscal year is January - December
Shares Change (YoY),152.300%,101.582%,30.715%,15.689%,186.299%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.507,-35.059,-32.932,-60.825,-344.461,-130.541,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.507,-35.059,-32.932,-60.825,-344.461,-130.541,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-918,105","-1,913,738","-4,817,640","-7,260,027","-12,311,961","-3,556,002",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.552,-6.514,-33.057,-65.118,-127.756,-105.642,Financials in USD,Fiscal year is January - December
Gross Margin,-,74.066%,56.271%,64.339%,75.406%,69.979%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-674.361%,-322.230%,-329.773%,-160.060%,-45.483%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-2271.332%,-297.813%,-315.316%,-397.707%,-55.741%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-422.030%,-298.950%,-337.570%,-147.504%,-45.109%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,080,351","-3,043,744","-5,176,972","-7,010,874","-12,525,693","-3,490,206",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-150.065%,-44.274%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,998","14,215","15,829","81,470","834,291","95,245",Financials in USD,Fiscal year is January - December
EBIT,"-2,089,349","-3,057,959","-5,192,801","-7,092,344","-13,359,984","-3,585,451",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-160.060%,-45.483%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,"4,910,000","1,876,000",Financials in USD,Fiscal year is January - December
