Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","2,515,000","2,512,000","2,727,000","2,529,000","2,790,000","2,644,000","3,214,000","4,666,000","3,679,000","3,745,000","3,645,000","4,117,000","3,635,000","4,643,000","4,948,000","2,878,000","1,565,000","1,389,000","2,255,000","2,031,000",Upgrade,Financials in ILS,Fiscal year is January - December
Research & Development,"4,230,000","4,699,000","5,505,000","4,298,000","4,705,000","4,637,000","4,973,000","5,274,000","4,590,000","5,514,000","5,934,000","5,454,000","6,740,000","3,384,000","5,214,000","3,051,000","2,744,000","2,766,000","2,796,000","2,546,000",Upgrade,Financials in ILS,Fiscal year is January - December
Operating Expenses,"6,745,000","7,211,000","8,232,000","6,827,000","7,495,000","7,281,000","8,187,000","9,940,000","8,269,000","9,259,000","9,579,000","9,571,000","10,375,000","8,027,000","10,162,000","5,929,000","4,309,000","4,155,000","5,051,000","4,577,000",Upgrade,Financials in ILS,Fiscal year is January - December
Operating Income,"-6,745,000","-7,211,000","-8,232,000","-6,827,000","-7,495,000","-7,281,000","-8,187,000","-9,940,000","-8,269,000","-9,259,000","-9,579,000","-9,571,000","-10,375,000","-8,027,000","-10,162,000","-5,929,000","-4,309,000","-4,155,000","-5,051,000","-4,577,000",Upgrade,Financials in ILS,Fiscal year is January - December
Interest Expense,"-297,000","-209,000","-201,000","-645,000","-213,000","-275,000","-218,000","-198,000","-238,000","-906,000","-231,000",-,"-926,000","-9,556,000","-9,400,000","-151,000","-106,000","-822,000","-1,775,000",-,Upgrade,Financials in ILS,Fiscal year is January - December
Interest & Investment Income,"54,000","366,000","509,000",-,"999,000","855,000","789,000","156,000","345,000","4,872,000","2,506,000","1,220,000",-,-,"1,204,000",-,-,-,"560,000","755,000",Upgrade,Financials in ILS,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"-3,930,000",-,-,-,"50,000",-,-,-,"-185,000",Upgrade,Financials in ILS,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-31,000",-,-,-,"-24,000","-7,938,000",-,-,"-3,726,000","-227,000",-,-,"-1,445,000","1,112,000",-,-,"-686,000",Upgrade,Financials in ILS,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,988,000","-7,054,000","-7,924,000","-7,503,000","-6,709,000","-6,701,000","-7,616,000","-10,006,000","-16,100,000","-5,293,000","-7,304,000","-16,007,000","-11,528,000","-17,583,000","-18,358,000","-7,475,000","-3,303,000","-4,977,000","-6,266,000","-4,693,000",Upgrade,Financials in ILS,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-26,600,000",-,-,-,-,-,Upgrade,Financials in ILS,Fiscal year is January - December
Pretax Income,"-6,988,000","-7,054,000","-7,924,000","-7,503,000","-6,709,000","-6,701,000","-7,616,000","-10,006,000","-16,100,000","-5,293,000","-7,304,000","-16,007,000","-11,528,000","-17,583,000","-44,958,000","-7,475,000","-3,303,000","-4,977,000","-6,266,000","-4,693,000",Upgrade,Financials in ILS,Fiscal year is January - December
Net Income,"-6,988,000","-7,054,000","-7,924,000","-7,503,000","-6,709,000","-6,701,000","-7,616,000","-10,006,000","-16,100,000","-5,293,000","-7,304,000","-16,007,000","-11,528,000","-17,583,000","-44,958,000","-7,475,000","-3,303,000","-4,977,000","-6,266,000","-4,693,000",Upgrade,Financials in ILS,Fiscal year is January - December
Net Income to Common,"-6,988,000","-7,054,000","-7,924,000","-7,503,000","-6,709,000","-6,701,000","-7,616,000","-10,006,000","-16,100,000","-5,293,000","-7,304,000","-16,007,000","-11,528,000","-17,583,000","-44,958,000","-7,475,000","-3,303,000","-4,977,000","-6,266,000","-4,693,000",Upgrade,Financials in ILS,Fiscal year is January - December
