Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,-,-,-,-,-,-,-,-,"-58,058","58,058",Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,"9,022,474","909,030","3,883,834","1,004,101","3,640,082",-,"1,934,072","50,000","2,835,388","681,009",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"9,022,474","909,030","3,883,834","1,004,101","3,640,082",-,"1,934,072","50,000","2,777,330","739,067",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),132.308%,-9.468%,6.696%,-,88.208%,-,-30.362%,-93.235%,-41.932%,825.813%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"9,022,474","909,030","3,883,834","1,004,101","3,640,082",-,"1,934,072","50,000","2,777,330","739,067",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","3,110,454","2,817,143","3,020,245","2,030,638","1,924,806","1,345,162","1,509,725","1,311,972","1,310,393","1,457,117",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"6,582,706","8,952,776","3,515,541","5,384,406","4,467,719","3,747,128","1,616,316","789,921","2,527,447","3,009,723",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"10,625,173","12,562,153","7,388,214","8,484,874","7,372,090","5,801,349","3,491,822","2,412,089","4,147,383","4,764,718",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-1,602,699","-11,653,123","-3,504,380","-7,480,773","-3,732,008","-5,801,349","-1,557,750","-2,362,089","-1,370,053","-4,025,651",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-13,177","-11,115","-6,538","-10,061","-10,036","-8,443","-10,475","-11,843","-14,024","-14,858",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"184,247","106,774","230,742","135,912","26,200","14,872","10,777","16,313","94,057",-,Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-55,994",805,"-33,386","-83,786","13,394",-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-1,487,623","-11,556,659","-3,313,562","-7,438,708","-3,702,450","-5,794,920","-1,557,448","-2,357,619","-1,290,020","-4,040,509",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-1,487,623","-11,556,659","-3,313,562","-7,438,708","-3,702,450","-5,794,920","-1,557,448","-2,357,619","-1,290,020","-4,040,509",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-1,487,623","-11,556,659","-3,313,562","-7,438,708","-3,702,450","-5,794,920","-1,557,448","-2,357,619","-1,290,020","-4,040,509",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-1,487,623","-11,556,659","-3,313,562","-7,438,708","-3,702,450","-5,794,920","-1,557,448","-2,357,619","-1,290,020","-4,040,509",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"2,284,912,893","2,063,689,107","1,788,776,976","1,814,319,024","1,778,492,572","1,655,691,428","1,336,810,125","1,473,511,875","1,113,600,399","1,122,363,611",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"2,284,912,893","2,063,689,107","1,788,776,976","1,814,319,024","1,778,492,572","1,655,691,428","1,336,810,125","1,473,511,875","1,113,600,399","1,122,363,611",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),27.736%,13.745%,0.578%,9.581%,33.040%,12.364%,20.044%,31.286%,-0.905%,3.854%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.001,-0.006,-0.002,-0.004,-0.002,-0.004,-0.001,-0.002,-0.001,-0.004,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.001,-0.006,-0.002,-0.004,-0.002,-0.004,-0.001,-0.002,-0.001,-0.004,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-10,466,035","-6,492,998","-6,063,479","-2,671,361","-5,922,800","-3,597,269","-2,795,563","1,065,473","-3,389,303","510,930",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.005,-0.003,-0.003,-0.001,-0.003,-0.002,-0.002,0.001,-0.003,0.000,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-17.763%,-1281.929%,-90.230%,-745.022%,-102.525%,-,-80.543%,-4724.178%,-49.330%,-544.694%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-16.488%,-1271.318%,-85.317%,-740.833%,-101.713%,-,-80.527%,-4715.238%,-46.448%,-546.704%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-116.000%,-714.278%,-156.121%,-266.045%,-162.711%,-,-144.543%,2130.946%,-122.035%,69.132%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-1,439,511","-11,481,659","-3,340,331","-7,320,222","-3,572,049","-5,641,647","-1,417,212","-2,181,660","-1,210,871","-3,867,012",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"163,188","171,464","164,049","160,551","159,959","159,702","140,538","180,429","159,182","158,639",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-1,602,699","-11,653,123","-3,504,380","-7,480,773","-3,732,008","-5,801,349","-1,557,750","-2,362,089","-1,370,053","-4,025,651",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"9,206,721","1,015,804","4,114,576","1,140,013","3,666,282","14,872","1,944,849","66,313","2,871,387","739,067",Upgrade,Financials in AUD,Fiscal year is July - June
