Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",,
Revenue,-,"178,000",-,"11,943,000","3,452,000","3,215,000","2,869,000","12,350,000","4,755,000","4,539,000","5,454,000","2,487,000","6,121,000","5,980,000","6,410,000","6,243,000","4,181,000","4,505,000","5,179,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-94.463%,-,-3.296%,-27.403%,-29.169%,-47.396%,396.582%,-22.317%,-24.097%,-14.914%,-60.163%,46.400%,32.741%,23.769%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,504,000","12,729,000","12,976,000","15,583,000","19,631,000","18,760,000","17,010,000","17,206,000","20,520,000","17,682,000","14,740,000","13,730,000","13,910,000","12,037,000","11,868,000","9,778,000","8,489,000","9,361,000","8,479,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-10,504,000","-12,551,000","-12,976,000","-3,640,000","-16,179,000","-15,545,000","-14,141,000","-4,856,000","-15,765,000","-13,143,000","-9,286,000","-11,243,000","-7,789,000","-6,057,000","-5,458,000","-3,535,000","-4,308,000","-4,856,000","-3,300,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,614,000","4,557,000","5,279,000","5,530,000","6,919,000","6,958,000","6,912,000","6,975,000","6,691,000","5,933,000","6,120,000","6,372,000","4,612,000","4,029,000","5,498,000","7,081,000","4,065,000","3,667,000","3,453,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"5,614,000","4,557,000","5,279,000","5,530,000","6,919,000","6,958,000","6,912,000","6,975,000","6,691,000","5,933,000","6,120,000","6,372,000","4,612,000","4,029,000","5,498,000","7,081,000","4,065,000","3,667,000","3,453,000",Financials in USD,Fiscal year is January - December
Operating Income,"-16,118,000","-17,108,000","-18,255,000","-9,170,000","-23,098,000","-22,503,000","-21,053,000","-11,831,000","-22,456,000","-19,076,000","-15,406,000","-17,615,000","-12,401,000","-10,086,000","-10,956,000","-10,616,000","-8,373,000","-8,523,000","-6,753,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"164,000","340,000","505,000","615,000","436,000","156,000","15,000","8,000","8,000","11,000","9,000","17,000","56,000","103,000","374,000","359,000","492,000","548,000","671,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000","-2,000","63,000","-133,000","19,000","111,000",-,"1,000","-2,000","-5,000","-2,000","-3,000","-6,000","-3,000","-1,000","-2,000","-2,000","-3,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,956,000","-16,770,000","-17,687,000","-8,688,000","-22,643,000","-22,236,000","-21,038,000","-11,822,000","-22,450,000","-19,070,000","-15,399,000","-17,601,000","-12,351,000","-9,986,000","-10,583,000","-10,259,000","-7,883,000","-7,978,000","-6,082,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-7,683,000",-,-,"-4,859,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,639,000","-16,770,000","-17,687,000","-13,547,000","-22,643,000","-22,236,000","-21,038,000","-11,822,000","-22,450,000","-19,070,000","-15,399,000","-17,601,000","-12,351,000","-9,986,000","-10,583,000","-10,259,000","-7,883,000","-7,978,000","-6,082,000",Financials in USD,Fiscal year is January - December
Net Income,"-23,639,000","-16,770,000","-17,687,000","-13,547,000","-22,643,000","-22,236,000","-21,038,000","-11,822,000","-22,450,000","-19,070,000","-15,399,000","-17,601,000","-12,351,000","-9,986,000","-10,583,000","-10,259,000","-7,883,000","-7,978,000","-6,082,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,639,000","-16,770,000","-17,687,000","-13,547,000","-22,643,000","-22,236,000","-21,038,000","-11,822,000","-22,450,000","-19,070,000","-15,399,000","-17,601,000","-12,351,000","-9,986,000","-10,583,000","-10,259,000","-7,883,000","-7,978,000","-6,082,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,491,125","29,491,125","29,491,125","29,442,556","29,284,151","28,367,355","28,145,036","28,049,859","28,050,130","27,919,647","26,264,019","16,372,736","1,758,039","1,739,114","1,737,596","1,729,724","1,722,300","1,604,883","1,589,821",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,491,125","29,491,125","29,491,125","29,442,556","29,284,151","28,367,355","28,145,036","28,049,859","28,050,130","27,919,647","26,264,019","16,372,736","1,758,039","1,739,114","1,737,596","1,729,724","1,722,300","1,604,883","1,589,821",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.707%,3.961%,4.783%,4.965%,4.399%,1.604%,7.162%,71.321%,1495.535%,1505.395%,1411.515%,846.552%,2.075%,8.364%,9.295%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.802,-0.569,-0.600,-0.460,-0.773,-0.784,-0.747,-0.421,-0.800,-0.683,-0.586,-1.075,-7.025,-5.742,-6.091,-5.931,-4.577,-4.971,-3.826,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.802,-0.569,-0.600,-0.460,-0.773,-0.784,-0.747,-0.421,-0.800,-0.683,-0.586,-1.075,-7.025,-5.742,-6.091,-5.931,-4.577,-4.971,-3.826,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,532,000","-15,317,000","-23,837,000","-20,861,000","-21,992,000","-20,556,000","-20,662,000","-21,020,000","-20,984,000","-19,915,000","-20,831,000","-19,362,000","-15,307,000","-12,434,000","2,775,000","-9,884,000","-14,969,000","645,000","-11,451,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.493,-0.519,-0.808,-0.709,-0.751,-0.725,-0.734,-0.749,-0.748,-0.713,-0.793,-1.183,-8.707,-7.150,1.597,-5.714,-8.691,0.402,-7.203,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-30.478%,-,-,-,-39.320%,-,-289.557%,-170.260%,-,-127.250%,-101.288%,-85.148%,-56.623%,-103.038%,-107.791%,-63.719%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-9611.236%,-,-76.781%,-669.119%,-699.938%,-733.810%,-95.798%,-472.261%,-420.269%,-282.472%,-708.283%,-202.598%,-168.662%,-170.920%,-170.046%,-200.263%,-189.190%,-130.392%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-9421.348%,-,-113.430%,-655.939%,-691.633%,-733.287%,-95.725%,-472.135%,-420.137%,-282.343%,-707.720%,-201.781%,-166.990%,-165.101%,-164.328%,-188.543%,-177.092%,-117.436%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-8605.056%,-,-174.671%,-637.080%,-639.378%,-720.181%,-170.202%,-441.304%,-438.753%,-381.940%,-778.528%,-250.074%,-207.926%,43.292%,-158.321%,-358.024%,14.317%,-221.104%,Financials in USD,Fiscal year is January - December
EBITDA,"-15,492,000","-16,913,000","-18,041,000","-8,499,000","-22,823,000","-22,221,000","-20,777,000","-11,555,000","-22,164,000","-18,763,000","-15,079,000","-17,284,000","-12,067,000","-9,751,000","-10,614,000","-10,238,000","-8,024,000","-8,182,000","-6,437,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-71.163%,-,-,-,-93.563%,-,-,-276.476%,-,-197.141%,-163.060%,-165.585%,-163.992%,-191.916%,-181.620%,-124.290%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"626,000","195,000","214,000","671,000","275,000","282,000","276,000","276,000","292,000","313,000","327,000","331,000","334,000","335,000","342,000","378,000","349,000","341,000","316,000",Financials in USD,Fiscal year is January - December
EBIT,"-16,118,000","-17,108,000","-18,255,000","-9,170,000","-23,098,000","-22,503,000","-21,053,000","-11,831,000","-22,456,000","-19,076,000","-15,406,000","-17,615,000","-12,401,000","-10,086,000","-10,956,000","-10,616,000","-8,373,000","-8,523,000","-6,753,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-76.781%,-,-,-,-95.797%,-,-,-282.471%,-,-202.598%,-168.662%,-170.920%,-170.046%,-200.263%,-189.190%,-130.392%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"178,000",-,"11,943,000","3,452,000","3,215,000",-,"12,350,000","4,755,000","4,539,000",-,-,-,-,-,"6,243,000","4,181,000","4,505,000","5,179,000",Financials in USD,Fiscal year is January - December
