Fiscal Year,TTM,FY 2023,FY 2022,FY 2015,FY 2014,FY 2013,2012,Currency,Fiscal_Year_period
Period Ending,"May '23 May 31, 2023","May '23 May 31, 2023","May '22 May 31, 2022","May '15 May 31, 2015","May '14 May 31, 2014","May '13 May 31, 2013",2012,,
Revenue,"74,760","74,760","61,000",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Revenue Growth (YoY),-,22.557%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Gross Profit,"74,760","74,760","61,000",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
"Selling, General & Admin","194,565","194,565","219,423","26,017","23,269","17,501",Upgrade,Financials in USD,Fiscal year is June - May
Operating Expenses,"211,377","211,377","285,423","26,017","23,269","17,501",Upgrade,Financials in USD,Fiscal year is June - May
Operating Income,"-136,617","-136,617","-224,423","-26,017","-23,269","-17,501",Upgrade,Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),-,-,"-128,823",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Pretax Income,"-136,617","-136,617","-353,246","-26,017","-23,269","-17,501",Upgrade,Financials in USD,Fiscal year is June - May
Net Income,"-136,617","-136,617","-353,246","-26,017","-23,269","-17,501",Upgrade,Financials in USD,Fiscal year is June - May
Net Income to Common,"-136,617","-136,617","-353,246","-26,017","-23,269","-17,501",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"199,731,320","199,731,320","110,022,572","110,022,572","101,799,695","60,000,072",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"199,731,320","199,731,320","110,022,572","110,022,572","101,799,695","60,000,072",Upgrade,Financials in USD,Fiscal year is June - May
Shares Change (YoY),81.537%,81.537%,-,8.078%,69.666%,44.385%,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.001,-0.001,-0.003,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.001,-0.001,-0.003,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow,"79,324","79,324","-55,584","-32,467","-20,819","-14,846",Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,0.000,0.000,-0.001,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is June - May
Gross Margin,100.000%,100.000%,100.000%,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Operating Margin,-182.741%,-182.741%,-367.907%,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Profit Margin,-182.741%,-182.741%,-579.092%,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Margin,106.105%,106.105%,-91.121%,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
EBITDA,"-119,805","-119,805","-158,423",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
EBITDA Margin,-160.253%,-160.253%,-259.710%,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
D&A For EBITDA,"16,812","16,812","66,000",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
EBIT,"-136,617","-136,617","-224,423","-26,017","-23,269","-17,501",Upgrade,Financials in USD,Fiscal year is June - May
EBIT Margin,-182.741%,-182.741%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Revenue as Reported,"74,760","74,760","61,000",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
