Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Operating Revenue,-,-,-,"3,405","268,184","553,692",Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,"125,200","125,200","42,016",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"125,200","125,200","42,016","3,405","268,184","553,692",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),197.982%,197.982%,1133.950%,-98.730%,-51.564%,-28.062%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"125,200","125,200","42,016","3,405","268,184","553,692",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","201,422","201,422","211,812",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"738,980","738,980","1,308,350","1,463,134","1,609,230","2,383,801",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"1,704,934","1,704,934","1,521,412","1,463,134","1,609,230","2,383,801",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-1,579,734","-1,579,734","-1,479,396","-1,459,729","-1,341,046","-1,830,109",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-17,930","-17,930","-20,180","12,926",-650,"298,070",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-495,789","-495,789","-608,082","-912,919","-669,614","-765,317",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-2,093,453","-2,093,453","-2,107,658","-2,359,722","-2,011,310","-2,297,356",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,-,"105,859","1,100,159",Upgrade,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-2,109","-2,109",-,"-12,307",-,"-148,195",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-2,095,562","-2,095,562","-2,107,658","-2,372,029","-1,905,451","-1,345,392",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,-,"-414,729","-444,860","-376,923",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-2,095,562","-2,095,562","-2,107,658","-1,957,300","-1,460,591","-968,469",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-2,095,562","-2,095,562","-2,107,658","-1,957,300","-1,460,591","-968,469",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"1,663,114,200","1,663,114,200","1,346,990,359","875,675,135","571,440,981","571,440,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,663,114,200","1,663,114,200","1,346,990,359","875,675,135","571,440,981","571,440,981",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),23.469%,23.469%,53.823%,53.240%,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.001,-0.001,-0.002,-0.002,-0.003,-0.002,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.001,-0.001,-0.002,-0.002,-0.003,-0.002,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-1,523,301","-1,523,301","-1,986,291","-2,046,007","-1,461,523","-3,109,785",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.001,-0.001,-0.001,-0.002,-0.003,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-1261.768%,-1261.768%,-3521.030%,-42870.162%,-500.047%,-330.528%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-1673.772%,-1673.772%,-5016.322%,-57483.113%,-544.623%,-174.911%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-1216.694%,-1216.694%,-4727.463%,-60088.311%,-544.970%,-561.645%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-1,579,202","-1,579,202","-1,478,864","-1,458,986","-1,336,269","-1,813,260",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,532,532,532,743,"4,777","16,849",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-1,579,734","-1,579,734","-1,479,396","-1,459,729","-1,341,046","-1,830,109",Upgrade,Financials in AUD,Fiscal year is July - June
