Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,-,-,"-4,710","4,710","34,024","45,200","20,550",-,-,-,Financials in AUD,Fiscal year is July - June
Other Revenue,-,-,-,-,-,-,-,-,"-825,953","825,953",Financials in AUD,Fiscal year is July - June
Revenue,-,-,"-4,710","4,710","34,024","45,200","20,550",-,"-825,953","825,953",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,-,-,-89.580%,65.567%,-,-,-,-,2835.156%,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"8,988",-,"11,466","7,361","73,104","70,647","99,138",-,-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"-8,988",-,"-16,176","-2,651","-39,080","-25,447","-78,588",-,"-825,953","825,953",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","2,997,360","3,772,208","2,361,345","5,025,898","4,652,577","4,200,462","5,814,039","3,771,014","1,339,957","1,600,031",Financials in AUD,Fiscal year is July - June
Research & Development,"11,959,168","46,374,458","24,949,431","27,729,766","15,562,459","23,449,532","16,321,795","17,195,123","9,704,400","4,315,825",Financials in AUD,Fiscal year is July - June
Operating Expenses,"14,956,528","50,146,666","27,310,776","32,755,664","20,215,036","27,649,994","22,135,834","20,966,137","11,044,357","5,915,856",Financials in AUD,Fiscal year is July - June
Operating Income,"-14,965,516","-50,146,666","-27,326,952","-32,758,315","-20,254,116","-27,675,441","-22,214,422","-20,966,137","-11,870,310","-5,089,903",Financials in AUD,Fiscal year is July - June
Interest Expense,"-7,891","-6,479","-7,662","-8,754","-14,271","-14,362","-18,889","-18,833","-20,067","-14,101",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"195,037","211,977","1,083,740","318,837","11,584","40,160","4,651","204,475","997,647",-,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"31,789","-78,356","-104,776","-284,493","894,265",-,"313,266",-,-,-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"5,051,780","1,061,137","6,313,064","775,890","7,097,991","664,606","8,348,705","50,000","3,697,847",-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-9,694,801","-48,958,387","-20,042,586","-31,956,835","-12,264,547","-26,985,037","-13,566,689","-20,730,495","-7,194,883","-5,104,004",Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,"89,408",-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-9,694,801","-48,958,387","-20,042,586","-31,867,427","-12,264,547","-26,985,037","-13,566,689","-20,730,495","-7,194,883","-5,104,004",Financials in AUD,Fiscal year is July - June
Net Income,"-9,694,801","-48,958,387","-20,042,586","-31,867,427","-12,264,547","-26,985,037","-13,566,689","-20,730,495","-7,194,883","-5,104,004",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-9,694,801","-48,958,387","-20,042,586","-31,867,427","-12,264,547","-26,985,037","-13,566,689","-20,730,495","-7,194,883","-5,104,004",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"286,777,250","299,789,784","230,297,612","269,213,496","234,082,028","231,279,568","232,065,811","227,745,785","208,792,504","193,420,396",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"286,777,250","299,789,784","230,297,612","269,213,496","234,082,028","231,279,568","232,065,811","227,745,785","208,792,504","193,420,396",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),24.525%,11.358%,-1.617%,16.402%,0.869%,1.552%,11.147%,17.747%,33.053%,49.752%,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.034,-0.163,-0.087,-0.118,-0.052,-0.117,-0.058,-0.091,-0.034,-0.026,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.034,-0.163,-0.093,-0.118,-0.052,-0.118,-0.059,-0.091,-0.035,-0.026,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-14,921,759","-51,022,912","-27,431,964","-17,754,315","-15,476,799","-16,728,467","-15,658,898","-19,301,369","-4,235,124","-5,982,470",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.052,-0.170,-0.119,-0.066,-0.066,-0.072,-0.067,-0.085,-0.020,-0.031,Financials in AUD,Fiscal year is July - June
Operating Margin,-,-,-,-695505.626%,-59528.909%,-61228.852%,-108099.377%,-,-,-616.246%,Financials in AUD,Fiscal year is July - June
Profit Margin,-,-,-,-676590.807%,-36046.752%,-59701.409%,-66017.951%,-,-,-617.953%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-,-,-376949.363%,-45487.888%,-37009.883%,-76199.017%,-,-,-724.311%,Financials in AUD,Fiscal year is July - June
EBITDA,"-14,892,177","-50,073,269","-27,250,196","-32,681,415","-20,157,734","-27,578,573","-22,268,756","-20,862,954","-11,864,604","-5,016,832",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"73,339","73,397","76,756","76,900","96,382","96,868","-54,334","103,183","5,706","73,071",Financials in AUD,Fiscal year is July - June
EBIT,"-14,965,516","-50,146,666","-27,326,952","-32,758,315","-20,254,116","-27,675,441","-22,214,422","-20,966,137","-11,870,310","-5,089,903",Financials in AUD,Fiscal year is July - June
