Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","10,433,575","12,230,292","8,816,940","4,973,245","4,629,070","114,496",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,005,752","3,914,979","1,787,488","2,224,555","936,776","484,113",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,439,327","16,145,271","10,604,428","7,197,800","5,565,846","598,609",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,439,327","-16,145,271","-10,604,428","-7,197,800","-5,565,846","-598,609",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,309","-9,165","-5,237","-2,805,856","-609,458",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,211,284","-2,089,704","-3,639,293","-225,315","-1,573,879",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,651,920","-18,244,140","-14,248,958","-10,228,971","-7,749,183","-598,609",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-8,735","-45,585","-552,809",-,"-76,825",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,660,655","-18,289,725","-14,801,767","-10,228,971","-7,826,008","-598,609",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,660,655","-18,289,725","-14,801,767","-10,228,971","-7,826,008","-598,609",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"1,471,864","35,844",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,660,655","-18,289,725","-14,801,767","-10,228,971","-9,297,872","-634,453",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,030,069","1,662,795","514,216","392,118","339,759","339,759",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,030,069","1,662,795","514,216","392,118","339,759","339,759",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),606.409%,223.365%,31.138%,15.411%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.511,-10.999,-28.785,-26.086,-27.366,-1.867,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.511,-11.000,-28.790,-26.086,-27.370,-1.867,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,319,951","-10,768,504","-6,071,183","-5,512,639","-2,348,822","-419,375",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.853,-6.476,-11.807,-14.059,-6.913,-1.234,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-15,439,327","-16,145,271","-10,604,428","-7,197,800","-5,565,846","-598,609",Upgrade,Financials in USD,Fiscal year is January - December
