Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"178,457,000","181,176,000","181,705,000","185,014,000","186,926,000","193,626,000","190,490,000","195,811,000","206,426,000","213,213,000","209,479,000","212,920,000","212,773,000","205,504,000","174,487,000","157,676,000","148,987,000","91,909,000","64,512,000","39,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-4.531%,-6.430%,-4.612%,-5.514%,-9.446%,-9.187%,-9.065%,-8.035%,-2.983%,3.751%,20.054%,35.036%,42.813%,123.595%,170.472%,296.002%,326.640%,215.524%,217.387%,144.546%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"86,345,000","89,578,000","92,083,000","92,091,000","96,919,000","111,187,000","108,322,000","111,876,000","111,351,000","105,279,000","107,018,000","83,360,000","98,766,000","98,470,000","91,414,000","70,919,000","76,454,000","60,122,000","40,924,000","27,514,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"92,112,000","91,598,000","89,622,000","92,923,000","90,007,000","82,439,000","82,168,000","83,935,000","95,075,000","107,934,000","102,461,000","129,560,000","114,007,000","107,034,000","83,073,000","86,757,000","72,533,000","31,787,000","23,588,000","12,303,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","57,747,000","53,513,000","54,555,000","55,822,000","62,330,000","66,753,000","73,829,000","80,066,000","74,150,000","78,002,000","77,129,000","65,159,000","72,893,000","75,937,000","60,956,000","65,372,000","43,281,000","45,506,000","44,486,000","29,566,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,"15,998,000",-,"4,471,000",-,"13,167,000",-,"2,347,000","1,868,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"63,449,000","58,702,000","59,977,000","65,800,000","68,272,000","71,098,000","78,102,000","86,081,000","78,566,000","83,654,000","81,681,000","85,641,000","78,680,000","86,098,000","66,598,000","82,679,000","47,598,000","52,702,000","50,182,000","30,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"28,663,000","32,896,000","29,645,000","27,123,000","21,735,000","11,341,000","4,066,000","-2,146,000","16,509,000","24,280,000","20,780,000","43,919,000","35,327,000","20,936,000","16,475,000","4,078,000","24,935,000","-20,915,000","-26,594,000","-18,624,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-15,787,000","-14,559,000","-14,819,000","-14,333,000","-12,328,000","-19,632,000","-16,010,000","-15,904,000","-15,712,000","-14,545,000","-14,508,000","-15,050,000","-13,773,000","-11,778,000","-11,547,000","-8,453,000","-9,091,000","-8,475,000","-7,084,000","-4,598,000",Upgrade,Financials in USD,Fiscal year is January - December
