Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Mar '22 Mar 31, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018",2017,,
Revenue,"9,474,528","9,474,528","717,151","221,482","129,759",-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),1221.134%,1221.134%,223.797%,70.687%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"3,605,300","3,605,300","920,042",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"5,869,228","5,869,228","-202,891","221,482","129,759",-,Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","18,712,114","18,712,114","11,846,491","8,678,743","3,200,839","1,040",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"25,251,343","25,251,343","13,832,535","14,619,268","3,888,413","1,040",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-19,382,115","-19,382,115","-14,035,426","-14,397,786","-3,758,654","-1,040",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,-,-,"-125,220","-196,555","-45,100","-90,543",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,-,-,"106,770","936,761","279,706","47,164",Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),-,-,"-258,187","-37,787","11,560",-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-31,782,679","-31,782,679",483,"2,507,834","1,013,608","1,722",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-51,164,794","-51,164,794","-14,311,580","-11,187,533","-2,498,880","-42,697",Upgrade,Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,-,-,"-286,846","-1,363,261",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,"-589,843",-,"-1,055,000",-,Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,"960,264","-8,493,100","3,814,156",-,Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,"-757,837","25,822","-1,632,322",-,Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,"-7,094,981","-1,266,385",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
