Fiscal Quarter,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Currency,Fiscal_Year_period
Period Ending,"Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012",,
Revenue,"2,459,642","2,459,642","1,783,390","2,804,030","11,204,864","12,591,660","13,350,868","12,580,984","10,448,616","11,523,869","11,676,915","12,151,799","10,478,158","11,113,404","10,713,075","10,319,992","9,884,955","11,137,836","11,137,836",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-78.048%,-80.466%,-86.642%,-77.712%,7.238%,9.266%,14.336%,3.532%,-0.282%,3.693%,8.997%,17.750%,6.001%,-0.219%,-3.814%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,113,781","2,113,781","1,490,460","1,892,801","6,894,055","7,802,077","7,905,107","7,954,475","6,489,279","7,375,728","7,543,503","7,574,974","6,321,419","7,020,226","6,586,842","6,521,224","6,379,355","6,941,538","6,941,538",Financials in USD,Fiscal year is January - December
Gross Profit,"345,860","345,860","292,930","911,229","4,310,809","4,789,583","5,445,761","4,626,509","3,959,337","4,148,141","4,133,412","4,576,825","4,156,739","4,093,178","4,126,233","3,798,768","3,505,600","4,196,298","4,196,298",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","812,062","812,062","2,215,320","1,986,541","755,623","1,469,850","923,273","1,119,917","923,600","1,162,898","802,532","156,075","557,924","594,897","427,611","477,972","339,886","381,695","381,696",Financials in USD,Fiscal year is January - December
Operating Expenses,"812,062","812,062","2,215,320","1,986,541","755,623","1,469,850","923,273","1,119,917","923,600","1,162,898","802,532","156,075","557,924","594,897","427,611","477,972","339,886","381,695","381,696",Financials in USD,Fiscal year is January - December
Operating Income,"-466,202","-466,202","-1,922,390","-1,075,312","3,555,186","3,319,733","4,522,488","3,506,592","3,035,737","2,985,243","3,330,880","4,420,750","3,598,815","3,498,281","3,698,622","3,320,796","3,165,714","3,814,602","3,814,603",Financials in USD,Fiscal year is January - December
Interest Expense,"-151,456","-151,456","-159,800","-196,140","-251,372","-217,505","-268,165","-342,054","-305,034","-322,630","-327,384","-250,113","-292,627","-294,989","-345,851","-326,981","-323,056","-259,864","-259,865",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,828","31,828",-,"2,971","28,372","26,134","19,903","24,221","17,423","11,490","16,931","18,104",29,11,42,-,"20,752","1,149","1,150",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-950,"3,699","-5,934",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-29,676","-29,676","76,526","48,128","25,055","-49,924","381,023","84,883","-52,098","-50,327","-36,283","-97,076",-775,"-30,605","28,703","-20,237",-360,"3,917","3,917",Financials in USD,Fiscal year is January - December
